schema_version,mode,group_id,curve_label,setting_id,pt_bin,z_bin,phi_bin,pt_lo,pt_hi,pt_center,z_lo,z_hi,z_center,phi_lo,phi_hi,phi_center,n_sig,n_pos,n_dum,n_posdum,n_net,n_sim,y_sig,y_pos,y_dum,y_posdum,y_net,y_net_err,y_sim,y_sim_err,sim_scale,sigma_model,mean_xB,mean_Q2,nominal_z,xsec,xsec_err,rel_net_err,rel_sim_err,rel_xsec_err,flag_bits,valid_default,note
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,0,0,0.1,0.05,0,1,0.5,0,0.392699,0.19635,13,0,4,0,13,60,0.0218104,0,0.0109826,-0.0021416,0.0183747,0.00947508,0.0555428,0.00961259,1e-05,0.00324496,0.25,3.3,0.36,0.0010735,0.000583904,0.515657,0.173066,0.543925,256,0,XSEC_BAD_RELERR
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,1,0,0.1,0.05,0,1,0.5,0.392699,0.785398,0.589049,19,0,6,0,19,45,0.0278653,-0.00563261,0.0158679,-0.0021416,0.0287834,0.0122342,0.04012,0.00795759,1e-05,0.00324496,0.25,3.3,0.36,0.00232804,0.00109195,0.425043,0.198345,0.469043,2,0,MC_STARVED
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,2,0,0.1,0.05,0,1,0.5,0.785398,1.1781,0.981748,28,0,19,0,28,83,0.0369522,-0.00281631,0.0647035,-0.0021416,0.0222698,0.0149927,0.0766954,0.0114748,1e-05,0.00324496,0.25,3.3,0.36,0.000942229,0.000649812,0.673229,0.149615,0.689654,256,0,XSEC_BAD_RELERR
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,3,0,0.1,0.05,0,1,0.5,1.1781,1.5708,1.37445,96,1,32,2,96,110,0.142964,0.00844892,0.0854512,0.00428708,0.113268,0.0286989,0.0884401,0.0123751,1e-05,0.00324496,0.25,3.3,0.36,0.00415592,0.0012029,0.253372,0.139926,0.289442,0,1,
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,4,0,0.1,0.05,0,1,0.5,1.5708,1.9635,1.76715,438,5,151,3,438,547,0.640919,0.0140711,0.393122,0.00643257,0.525621,0.0622546,0.491636,0.0326772,1e-05,0.00324496,0.25,3.3,0.36,0.00346927,0.00047118,0.11844,0.0664664,0.135815,0,1,
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,5,0,0.1,0.05,0,1,0.5,1.9635,2.35619,2.15984,962,10,291,10,962,1384,1.43516,0.0225166,0.609123,0.0342306,1.26215,0.0912032,1.39234,0.0575036,1e-05,0.00324496,0.25,3.3,0.36,0.00294154,0.000244825,0.0722604,0.0413,0.0832302,0,1,
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,6,0,0.1,0.05,0,1,0.5,2.35619,2.74889,2.55254,1347,5,459,18,1347,2103,2.02519,-0.0506874,1.16829,0.0513633,1.78349,0.102702,2.24205,0.0743263,1e-05,0.00324496,0.25,3.3,0.36,0.00258127,0.000171514,0.057585,0.033151,0.0664457,0,1,
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,7,0,0.1,0.05,0,1,0.5,2.74889,3.14159,2.94524,1537,12,492,16,1537,2370,2.42862,-0.0112722,1.24394,0.0320812,2.12265,0.112901,2.59919,0.0810048,1e-05,0.00324496,0.25,3.3,0.36,0.00265003,0.000163366,0.0531888,0.0311654,0.0616468,0,1,
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,8,0,0.1,0.05,0,1,0.5,3.14159,3.53429,3.33794,1463,11,482,14,1463,2293,2.21058,0.00563609,1.25138,0.0256719,1.88407,0.109994,2.45679,0.078349,1e-05,0.00324496,0.25,3.3,0.36,0.00248851,0.000165544,0.0583809,0.0318909,0.0665234,0,1,
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,9,0,0.1,0.05,0,1,0.5,3.53429,3.92699,3.73064,1342,16,466,14,1342,2059,1.9834,0.0535081,1.1903,0.0427931,1.6295,0.109428,2.13243,0.0716899,1e-05,0.00324496,0.25,3.3,0.36,0.00247965,0.000186219,0.067154,0.0336189,0.0750992,0,1,
