mode,group_id,curve_label,setting_id,pt_bin,z_bin,pt_lo,pt_hi,pt_center,z_lo,z_hi,z_center,npts,npts_fit,phi_min,phi_max,phi_span,phi_occ,phi_nsectors,dominant_wfrac,M0,M0_err,A,A_err,B,B_err,A_sig,B_sig,chi2,ndf,chi2_ndf,prob,fit_tier,fit_status,cov_status,fit_flag_bits,valid_fit_default,valid_M0_default,valid_A_default,valid_B_default,attempts,note
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,-1,0,0.1,0.05,-999,-999,0.36,10,10,1.37445,4.90874,3.53429,6,8,0.196769,0.00451516,0.000652933,0.5533,0.141068,0.152218,0.0695821,3.92221,2.18761,8.81788,7,1.2597,0.265997,2,0,3,0,1,1,1,1,t2:ok_or_best,
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.50,pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,0,-1,0,0.1,0.05,-999,-999,0.5,8,8,1.76715,4.51604,2.74889,4,8,0.236547,0.00379331,0.00023611,0.384392,0.0516658,-999,-999,7.43997,-999,9.512,6,1.58533,0.146764,1,0,3,0,1,1,1,0,t1:ok_or_best,
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.67,pass4/pi+sidis/LH2/z0p67/x0p25/q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2,0,-1,0,0.1,0.05,-999,-999,0.67,8,8,1.76715,4.51604,2.74889,4,8,0.295046,0.00351619,0.000287737,0.428516,0.0615885,-999,-999,6.95774,-999,5.82044,6,0.970073,0.443602,1,0,3,0,1,1,1,0,t1:ok_or_best,
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.90,pass4/pi+sidis/LH2/z0p9/x0p25/q23p3/hmsPneg1p531_shmsP6p538_hmsTh29p045_shmsTh7p865_thpq2,0,-1,0,0.1,0.05,-999,-999,0.9,2,2,2.94524,3.33794,0.3927,2,8,0.505109,0.00243675,0.000177003,-999,-999,-999,-999,-999,-999,2.96631,1,2.96631,0.0850158,0,0,3,0,1,1,0,0,t0:ok_or_best,
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.36,10,10,1.37445,4.90874,3.53429,6,8,0.214284,0.00443385,0.000605642,0.541069,0.13078,0.0968736,0.0645348,4.13726,1.50111,6.01288,7,0.858983,0.538246,2,0,3,0,1,1,1,1,t2:ok_or_best,
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.50,pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.5,8,8,1.76715,4.51604,2.74889,4,8,0.200095,0.00318401,0.000111506,0.299165,0.0320039,-999,-999,9.34776,-999,20.8176,6,3.4696,0.0019783,1,0,3,0,1,1,1,0,t1:ok_or_best,
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.67,pass4/pi+sidis/LH2/z0p67/x0p25/q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.67,8,8,1.76715,4.51604,2.74889,4,8,0.222756,0.00257295,0.000111669,0.289825,0.0400406,-999,-999,7.23828,-999,8.70941,6,1.45157,0.190592,1,0,3,0,1,1,1,0,t1:ok_or_best,
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.90,pass4/pi+sidis/LH2/z0p9/x0p25/q23p3/hmsPneg1p531_shmsP6p538_hmsTh29p045_shmsTh7p865_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.9,8,8,1.76715,4.51604,2.74889,4,8,0.266622,0.00303532,0.000179172,0.404932,0.049528,-999,-999,8.17582,-999,10.7428,6,1.79046,0.0966598,1,0,3,0,1,1,1,0,t1:ok_or_best,
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,2,-1,0.2,0.3,0.25,-999,-999,0.36,5,5,2.55254,4.12334,1.5708,3,8,0.380862,0.00450006,0.000908533,0.67081,0.0897176,-999,-999,7.47691,-999,4.52099,3,1.507,0.210426,1,0,3,0,1,1,1,0,t1:ok_or_best,
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.50,pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,2,-1,0.2,0.3,0.25,-999,-999,0.5,8,8,1.76715,4.51604,2.74889,4,8,0.232026,0.0025493,3.60003e-05,-999,-999,-999,-999,-999,-999,46.6196,7,6.65994,6.62146e-08,0,0,3,128,0,0,0,0,t1:bad(PROB); t0:ok_or_best,PROB_TINY
