run,category,target_raw,run_type_raw,BCM4A_Q,h_esing_Eff,comp_livetime,electr_deadtime,fan_mean,boil_corr,ps5,ps6,ps_choice,ps_factor
25280,signal,LD2,PI+SIDIS,35.873,0.9985,1.0,99.9582,29.0705,1.007056,-1.0,1.0,ps6,1.0
25281,signal,LD2,PI+SIDIS,35.875,0.9984,1.0,99.9581,28.0791,1.007092,-1.0,1.0,ps6,1.0
25282,signal,LD2,PI+SIDIS,16.876,0.9984,1.0,99.9791,26.0012,1.003515,-1.0,1.0,ps6,1.0
25283,signal,LD2,PI+SIDIS,18.268,0.9986,1.0,99.9791,26.1906,1.003538,-1.0,1.0,ps6,1.0
25309,signal,LD2,PI+SIDIS,35.161,0.9982,1.0,99.9585,34.1712,1.006894,-1.0,1.0,ps6,1.0
25310,signal,LD2,PI+SIDIS,9.481,0.9981,1.0,99.9582,31.8301,1.007061,-1.0,1.0,ps6,1.0
25311,signal,LD2,PI+SIDIS,23.54,0.9984,1.0,99.9587,29.1209,1.006794,-1.0,1.0,ps6,1.0
25312,signal,LD2,PI+SIDIS,17.793,0.9985,1.0,99.9791,27.6763,1.003501,-1.0,1.0,ps6,1.0
25313,signal,LD2,PI+SIDIS,18.153,0.9987,1.0,99.979,27.287,1.003539,-1.0,1.0,ps6,1.0
25314,signal,LD2,PI+SIDIS,15.213,0.9983,1.0,99.959,27.155,1.006652,-1.0,1.0,ps6,1.0
25293,dummy,Dummy,PI+SIDIS,67.538,0.9984,1.0,99.972,27.8089,1.0,-1.0,1.0,ps6,1.0
25317,dummy,Dummy,PI+SIDIS,67.11,0.9982,1.0,99.9721,26.238,1.0,-1.0,1.0,ps6,1.0
