run,category,target_raw,run_type_raw,BCM4A_Q,h_esing_Eff,comp_livetime,electr_deadtime,fan_mean,boil_corr,ps5,ps6,ps_choice,ps_factor
24907,signal,LD2,PI+SIDIS,31.407,0.9985,1.0,99.9554,33.2864,1.006434,-1.0,1.0,ps6,1.0
24908,signal,LD2,PI+SIDIS,35.947,0.9983,1.0,99.955,33.3488,1.006597,-1.0,1.0,ps6,1.0
24909,signal,LD2,PI+SIDIS,18.329,0.9986,1.0,99.9778,33.322,1.003282,-1.0,1.0,ps6,1.0
24910,signal,LD2,PI+SIDIS,17.293,0.9983,1.0,99.9776,33.3345,1.003309,-1.0,1.0,ps6,1.0
24938,signal,LD2,PI+SIDIS,36.01,0.9983,1.0,99.9549,33.3324,1.006664,-1.0,1.0,ps6,1.0
24939,signal,LD2,PI+SIDIS,15.914,0.9985,1.0,99.9553,33.317,1.006488,-1.0,1.0,ps6,1.0
24943,signal,LD2,PI+SIDIS,40.258,0.9985,1.0,99.955,33.5091,1.006581,-1.0,1.0,ps6,1.0
24944,signal,LD2,PI+SIDIS,37.464,0.9984,1.0,99.955,33.8424,1.006561,-1.0,1.0,ps6,1.0
24945,signal,LD2,PI+SIDIS,25.947,0.9985,1.0,99.9549,34.2689,1.006559,-1.0,1.0,ps6,1.0
24946,signal,LD2,PI+SIDIS,18.296,0.9984,1.0,99.9774,33.6875,1.003354,-1.0,1.0,ps6,1.0
24947,signal,LD2,PI+SIDIS,17.836,0.9983,1.0,99.9776,33.596,1.003318,-1.0,1.0,ps6,1.0
24924,dummy,Dummy,PI+SIDIS,74.779,0.9984,1.0,99.9695,33.5526,1.0,-1.0,1.0,ps6,1.0
24952,dummy,Dummy,PI+SIDIS,89.991,0.9984,1.0,99.9687,33.6808,1.0,-1.0,1.0,ps6,1.0
