run,dp_idx,dp_label,dp_lo,dp_hi,var,norm_win_lo,norm_win_hi,intD_win,intS_win,sim_scale,entriesD,entriesS,muD,muD_err,sigD,sigD_err,statusD,chi2D,ndfD,muS,muS_err,sigS,sigS_err,statusS,chi2S,ndfS,dmu_GeV,dmu_err_GeV,dmu_MeV,dmu_err_MeV
23839,0,full,-10.000000,20.000000,W,0.910204,1.010681,61420.000000,202.477405,303.342489,90644.000000,95136.000000,0.957620,0.000093,0.021214,0.000089,0,1204.319676,12,0.945483,0.000059,0.013801,0.000051,0,5105.420217,12,0.012137,0.000110,12.137340,0.109792
23839,0,full,-10.000000,20.000000,Em,0.003621,0.032317,51661.000000,162.685944,317.550482,90644.000000,95136.000000,0.017489,0.000037,0.006823,0.000035,0,1347.824113,11,-0.108317,0.001135,0.024026,0.000176,4,3305.405748,11,0.125806,0.001136,125.805903,1.135870
23839,0,full,-10.000000,20.000000,Pmz,-0.054955,0.018162,61660.000000,205.874800,299.502416,90644.000000,95136.000000,-0.013788,0.000046,0.009643,0.000047,0,5749.202101,9,-0.005253,0.000027,0.006067,0.000020,0,8556.856903,9,-0.008535,0.000054,-8.535030,0.053760
23839,0,full,-10.000000,20.000000,Pmx,-0.053894,0.021476,60979.000000,202.308975,301.415199,90644.000000,95136.000000,-0.013329,0.000057,0.012074,0.000058,0,4480.229971,10,-0.004339,0.000029,0.006507,0.000023,0,7963.453154,10,-0.008990,0.000064,-8.989999,0.064097
23839,0,full,-10.000000,20.000000,Pmy,-0.022325,0.039168,75945.000000,259.091408,293.120489,90644.000000,95136.000000,0.008385,0.000040,0.010679,0.000037,0,1569.595609,8,-0.000725,0.000022,0.006433,0.000017,0,65.198938,7,0.009110,0.000045,9.109723,0.045337
23839,1,b1,-2.000000,-1.000000,W,0.903795,1.006393,9322.000000,41.400083,225.168633,13280.000000,21789.000000,0.952681,0.000269,0.022074,0.000246,0,287.034900,12,0.946771,0.000132,0.015152,0.000102,0,1197.230593,12,0.005910,0.000300,5.909854,0.300018
23839,1,b1,-2.000000,-1.000000,Em,0.001918,0.030280,6825.000000,34.779484,196.236378,13280.000000,21789.000000,0.014863,0.000080,0.005373,0.000074,0,374.911542,11,0.004263,0.000275,0.005257,0.000220,0,1701.957952,11,0.010600,0.000286,10.599675,0.286065
23839,1,b1,-2.000000,-1.000000,Pmz,-0.058921,0.018122,8790.000000,42.355573,207.528773,13280.000000,21789.000000,-0.014448,0.000149,0.010002,0.000146,0,1404.858594,10,-0.005869,0.000057,0.006607,0.000044,0,2887.214341,10,-0.008579,0.000159,-8.579061,0.159297
23839,1,b1,-2.000000,-1.000000,Pmx,-0.059082,0.024637,9337.000000,42.001459,222.301802,13280.000000,21789.000000,-0.010194,0.000184,0.011240,0.000191,0,1736.963794,11,-0.004306,0.000053,0.006010,0.000038,0,3014.435655,10,-0.005889,0.000192,-5.888606,0.191624
23839,1,b1,-2.000000,-1.000000,Pmy,-0.023878,0.035951,10989.000000,49.074576,223.924501,13280.000000,21789.000000,0.005807,0.000094,0.009687,0.000089,0,237.032131,7,-0.000225,0.000042,0.006054,0.000031,0,5.364760,5,0.006032,0.000103,6.031968,0.103345
23839,2,b2,-1.000000,0.000000,W,0.906138,1.003523,16316.000000,61.521432,265.208392,20288.000000,24193.000000,0.953065,0.000191,0.021583,0.000190,0,387.872505,11,0.945539,0.000104,0.013657,0.000086,0,1308.568581,11,0.007525,0.000217,7.525456,0.217137
23839,2,b2,-1.000000,0.000000,Em,0.002254,0.029572,13764.000000,49.294019,279.222513,20288.000000,24193.000000,0.014935,0.000057,0.005498,0.000050,0,643.761242,11,0.003742,0.000314,0.004880,0.000233,0,2127.633201,11,0.011194,0.000319,11.193725,0.318568
23839,2,b2,-1.000000,0.000000,Pmz,-0.052465,0.017777,16586.000000,62.438500,265.637388,20288.000000,24193.000000,-0.013252,0.000090,0.009515,0.000094,0,1798.210142,9,-0.005177,0.000046,0.005832,0.000032,0,2677.903048,9,-0.008076,0.000101,-8.075520,0.100886
23839,2,b2,-1.000000,0.000000,Pmx,-0.053018,0.023344,16859.000000,62.102181,271.471946,20288.000000,24193.000000,-0.010683,0.000109,0.011271,0.000113,0,1762.526628,10,-0.004297,0.000048,0.006191,0.000036,0,2529.285521,9,-0.006385,0.000119,-6.385077,0.119103
23839,2,b2,-1.000000,0.000000,Pmy,-0.020053,0.035008,18117.000000,66.879036,270.892061,20288.000000,24193.000000,0.007425,0.000071,0.009332,0.000065,0,211.179034,6,-0.000849,0.000041,0.006174,0.000031,0,8.068324,5,0.008274,0.000082,8.274190,0.082219
23839,3,b3,0.000000,1.000000,W,0.912470,1.008781,18859.000000,58.459643,322.598615,21681.000000,17090.000000,0.958137,0.000157,0.019567,0.000155,0,270.364091,10,0.944962,0.000110,0.012901,0.000106,0,752.355289,10,0.013175,0.000192,13.174744,0.191942
23839,3,b3,0.000000,1.000000,Em,0.003660,0.032067,16764.000000,47.723064,351.276687,21681.000000,17090.000000,0.017207,0.000061,0.006435,0.000060,0,644.279291,11,-0.104096,0.002392,0.023354,0.000393,4,792.641276,11,0.121303,0.002393,121.302716,2.393276
23839,3,b3,0.000000,1.000000,Pmz,-0.049534,0.017153,19187.000000,58.441747,328.309830,21681.000000,17090.000000,-0.013342,0.000084,0.010120,0.000082,0,1121.966155,8,-0.004940,0.000052,0.005784,0.000036,0,1386.844763,8,-0.008403,0.000099,-8.402599,0.099002
23839,3,b3,0.000000,1.000000,Pmx,-0.053242,0.020358,19138.000000,58.395340,327.731630,21681.000000,17090.000000,-0.014209,0.000094,0.011585,0.000097,0,1117.490347,9,-0.004470,0.000059,0.006668,0.000046,0,1318.308768,9,-0.009739,0.000111,-9.738910,0.110762
23839,3,b3,0.000000,1.000000,Pmy,-0.018357,0.036023,19594.000000,59.305980,330.388267,21681.000000,17090.000000,0.008898,0.000073,0.009842,0.000066,0,177.489058,6,-0.000995,0.000051,0.006445,0.000039,0,13.626260,4,0.009892,0.000089,9.892419,0.089178
23839,4,b4,1.000000,2.000000,W,0.924383,1.002865,12953.000000,23.035610,562.303321,14310.000000,5564.000000,0.962838,0.000148,0.016066,0.000139,0,182.839795,9,0.943153,0.000195,0.012358,0.000189,0,58.382628,9,0.019685,0.000245,19.684561,0.244858
23839,4,b4,1.000000,2.000000,Em,0.008458,0.035407,12065.000000,6.632135,1819.172903,14310.000000,5564.000000,0.021622,0.000062,0.006162,0.000057,0,156.329304,11,-0.107246,0.008176,0.023040,0.001422,4,168.303066,11,0.128868,0.008176,128.867795,8.175958
23839,4,b4,1.000000,2.000000,Pmz,-0.044113,0.012135,13247.000000,23.719513,558.485329,14310.000000,5564.000000,-0.014235,0.000078,0.008278,0.000074,0,485.256843,6,-0.004695,0.000082,0.005746,0.000067,0,142.716232,6,-0.009540,0.000113,-9.540285,0.113004
23839,4,b4,1.000000,2.000000,Pmx,-0.046965,0.015017,12941.000000,23.700640,546.019004,14310.000000,5564.000000,-0.015680,0.000097,0.010617,0.000096,0,429.805330,8,-0.003784,0.000102,0.007123,0.000078,0,123.440658,8,-0.011896,0.000141,-11.895702,0.140823
23839,4,b4,1.000000,2.000000,Pmy,-0.014922,0.039223,12869.000000,23.544503,546.581941,14310.000000,5564.000000,0.012267,0.000093,0.010071,0.000082,0,72.124707,6,-0.000298,0.000118,0.007123,0.000104,0,8.427047,5,0.012565,0.000150,12.564816,0.150316
