fit_model,de0_fixed,dthe_fixed,dthp_fixed,dpp_fixed,sign_convention,run,dp_idx,dp_label,dp_lo,dp_hi,e0_MeV,the0_deg,pe0_MeV,q0_MeV,thq0_deg,W0_MeV,dW_MeV,dW_err_MeV,dEm_MeV,dEm_err_MeV,dPmz_MeV,dPmz_err_MeV,dPmx_MeV,dPmx_err_MeV,dthe,dpe,dthp,dpp,pred_dW_MeV,pred_dEm_MeV,pred_dPmz_MeV,pred_dPmx_MeV,res_dW_MeV,res_dEm_MeV,res_dPmz_MeV,res_dPmx_MeV,sse
dpeOnly,1,1,1,1,data_minus_sim,23839,0,full,-10,20,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,12.13734,0.109792,125.805903,1.13587,-8.53503,0.05376,-8.989999,0.064097,0,-6.20253365191918,0,0,53.4827123327691,43.7939225664823,-25.4144093761827,-35.6653255953012,-41.3453723327691,82.0119804335177,16.8793793761827,26.6753265953012,9431.89124505408
dpeOnly,1,1,1,1,data_minus_sim,23839,1,b1,-2,-1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,5.909854,0.300018,10.599675,0.286065,-8.579061,0.159297,-5.888606,0.191624,0,-1.11924260353871,0,0,9.65091582810173,7.90258089084546,-4.58601134857141,-6.43578158789825,-3.74106182810173,2.69709410915454,-3.99304965142859,0.547175587898246,37.5137068780818
dpeOnly,1,1,1,1,data_minus_sim,23839,2,b2,-1,0,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,7.525456,0.217137,11.193725,0.318568,-8.07552,0.100886,-6.385077,0.119103,0,-1.22792438537375,0,0,10.5880484258262,8.66994497223152,-5.03132667458081,-7.06071509941976,-3.06259242582616,2.52378002776848,-3.04419332541919,0.675638099419757,25.4725378392051
dpeOnly,1,1,1,1,data_minus_sim,23839,3,b3,0,1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,13.174744,0.191942,121.302716,2.393276,-8.402599,0.099002,-9.73891,0.110762,0,-6.09287707311072,0,0,52.537174333472,43.0196757843214,-24.965099893796,-35.0347868821963,-39.3624303334719,78.2830402156786,16.562500893796,25.2958768821963,8591.83313026322
dpeOnly,1,1,1,1,data_minus_sim,23839,4,b4,1,2,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,19.684561,0.244858,128.867795,8.175958,-9.540285,0.113004,-11.895702,0.140823,0,-6.82028360653513,0,0,58.8093973570548,48.1556391159004,-27.9455927795763,-39.2174632384469,-39.1248363570548,80.7121558840996,18.4053077795763,27.3217612384469,9130.43891905713
dpeOnly,1,1,1,1,data_minus_sim,23839,5,b5,2,3,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,963.203067,0.551342,23.723824,0.229808,-15.676216,0.326809,-15.047189,0.418119,0,-49.5452501729341,0,0,427.214830448233,349.821697289639,-203.007890195118,-284.891236111486,535.988236551767,-326.097873289639,187.331674195118,269.844047111486,501532.17860415
dpeOnly,1,1,1,1,data_minus_sim,23840,0,full,-10,20,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,13.207961,0.07891,134.393091,1.995627,-9.721082,0.03814,-10.03543,0.043538,0,-6.66637003909356,0,0,57.4822437270151,47.0689092031362,-27.3149436560043,-38.332441438583,-44.2742827270151,87.3241817968638,17.5938616560043,28.297011438583,10695.9896618093
dpeOnly,1,1,1,1,data_minus_sim,23840,1,b1,-2,-1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,6.794793,0.199954,130.231674,3.27481,-9.474083,0.096185,-6.828134,0.112878,0,-6.06808475424931,0,0,52.3233971043365,42.8446258848139,-24.8635152549551,-34.8922280225308,-45.5286041043365,87.3870481151861,15.3894322549551,28.0640940225308,10733.7779684105
dpeOnly,1,1,1,1,data_minus_sim,23840,2,b2,-1,0,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,8.542232,0.148294,122.038222,1.926731,-9.333021,0.069446,-7.312114,0.076736,0,-5.83495135940829,0,0,50.3131530667913,41.1985524551003,-23.9082689204325,-33.5516825453498,-41.7709210667913,80.8396695448997,14.5752479204325,26.2395685453498,9180.81482828487
dpeOnly,1,1,1,1,data_minus_sim,23840,3,b3,0,1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,14.64035,0.142298,123.902669,3.3592,-9.623696,0.07093,-10.831713,0.079626,0,-6.33579751168928,0,0,54.6318093109424,44.7348521096661,-25.9604478948451,-36.4316090554991,-39.9914593109424,79.1678168903339,16.3367518948451,25.5998960554991,8789.10418952629
dpeOnly,1,1,1,1,data_minus_sim,23840,4,b4,1,2,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,21.531604,0.32977,186.740051,16.608879,-10.709578,0.094512,-13.239251,0.11857,0,-9.33129598508637,0,0,80.4611545650991,65.8850200174818,-38.234274811542,-53.6560909155658,-58.929550565099,120.855030982518,27.524696811542,40.4168399155658,20469.7603269178
dpeOnly,1,1,1,1,data_minus_sim,23840,5,b5,2,3,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,964.075773,0.362565,24.962315,0.134675,-16.174635,0.198354,-15.529435,0.268824,0,-49.6663879272468,0,0,428.259367411695,350.677008639801,-203.504242919954,-285.587792985161,535.816405588305,-325.714693639801,187.329607919954,270.058357985161,501213.180871526
dpeOnly,1,1,1,1,data_minus_sim,23841,0,full,-10,20,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,13.192509,0.119308,135.191432,1.3861,-10.056658,0.059903,-10.21588,0.071099,0,-6.71185043236777,0,0,57.8744084336932,47.390030366377,-27.5012961045562,-38.5939592513602,-44.6818994336932,87.801401633623,17.4446381045562,28.3780792513602,10815.1890464269
dpeOnly,1,1,1,1,data_minus_sim,23841,1,b1,-2,-1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,6.644117,0.320784,130.23626,2.938709,-10.130305,0.185974,-7.410035,0.222786,0,-6.09547789561118,0,0,52.5596004982341,43.0380392831086,-24.9757565659644,-35.0497419290369,-45.9154834982341,87.1982207168914,14.8454515659644,27.6397069290369,10696.1021523888
dpeOnly,1,1,1,1,data_minus_sim,23841,2,b2,-1,0,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,8.817599,0.236229,122.206936,2.056694,-9.663695,0.114043,-7.495708,0.12679,0,-5.8692863582742,0,0,50.6092141557502,41.4409798833157,-24.0489539640097,-33.7491129798446,-41.7916151557502,80.7659561166843,14.3852589640097,26.2534049798446,9165.85571326586
dpeOnly,1,1,1,1,data_minus_sim,23841,3,b3,0,1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,14.609115,0.208569,129.317225,2.814748,-9.917448,0.106079,-10.968771,0.119934,0,-6.56533560673211,0,0,56.6110520842225,46.3555403839253,-26.9009627621917,-37.7514811199892,-42.0019370842225,82.9616846160747,16.9835147621917,26.7827101199892,9652.55716821299
dpeOnly,1,1,1,1,data_minus_sim,23841,4,b4,1,2,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,21.582258,0.362477,186.237103,12.592691,-10.949081,0.123922,-13.405001,0.154186,0,-9.32451695523586,0,0,80.4027008873382,65.8371556567206,-38.2064982528867,-53.61711066646,-58.8204428873382,120.399947343279,27.2574172528867,40.21210966646,20315.9723808524
dpeOnly,1,1,1,1,data_minus_sim,23841,5,b5,2,3,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,963.195482,0.747266,25.170557,0.261526,-16.223231,0.450374,-15.588218,0.568438,0,-49.6343119110165,0,0,427.982784897984,350.450531098547,-203.372813885727,-285.403351976559,535.212697102016,-325.279974098547,187.149582885727,269.815133976559,500084.865585856
dpeOnly,1,1,1,1,data_minus_sim,23842,0,full,-10,20,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,13.155856,0.099538,131.712951,1.917381,-9.976376,0.048472,-10.153478,0.056268,0,-6.56497800542612,0,0,56.6079685882107,46.3530154860717,-26.8994975180683,-37.74942486883,-43.4521125882107,85.3599355139283,16.9231215180683,27.59594686883,10222.3330048231
