fit_model,de0_fixed,sign_convention,run,dp_idx,dp_label,dp_lo,dp_hi,e0_MeV,the0_deg,pe0_MeV,q0_MeV,thq0_deg,W0_MeV,dW_MeV,dW_err_MeV,dEm_MeV,dEm_err_MeV,dPmz_MeV,dPmz_err_MeV,dPmx_MeV,dPmx_err_MeV,dthe,dpe,dthp,dpp,pred_dW_MeV,pred_dEm_MeV,pred_dPmz_MeV,pred_dPmx_MeV,res_dW_MeV,res_dEm_MeV,res_dPmz_MeV,res_dPmx_MeV,det,matrix_ok
full4,1,data_minus_sim,23839,0,full,-10,20,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,12.13734,0.109792,125.805903,1.13587,-8.53503,0.05376,-8.989999,0.064097,4101.38273089149,-6697.52334418486,-9538.04084321256,22426.8902970309,12.1373400000157,125.805902999993,-8.5350299999991,-8.98999899999399,-1.56834545350648e-11,6.87805368215777e-12,-9.04165631254727e-13,-6.01296790136985e-12,1.23275984544669,1
full4,1,data_minus_sim,23839,1,b1,-2,-1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,5.909854,0.300018,10.599675,0.286065,-8.579061,0.159297,-5.888606,0.191624,15.4074541758695,-25.8403362483357,-34.9764089852303,81.7177378925913,5.90985400000008,10.599675,-8.579061,-5.88860599999995,-8.08242361927114e-14,3.73034936274053e-14,-3.5527136788005e-15,-4.70734562441066e-14,1.23275984544669,1
full4,1,data_minus_sim,23839,2,b2,-1,0,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,7.525456,0.217137,11.193725,0.318568,-8.07552,0.100886,-6.385077,0.119103,31.563338633352,-52.4045800336988,-72.8049155409714,170.623826952742,7.52545600000013,11.1937249999999,-8.07551999999998,-6.38507699999994,-1.33226762955019e-13,8.5265128291212e-14,-1.59872115546023e-14,-6.12843109593086e-14,1.23275984544669,1
full4,1,data_minus_sim,23839,3,b3,0,1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,13.174744,0.191942,121.302716,2.393276,-8.402599,0.099002,-9.73891,0.110762,3928.56223718245,-6415.48856097897,-9136.09348007707,21482.1091803586,13.1747440000254,121.302715999998,-8.40259900000092,-9.73890999998912,-2.53841392350296e-11,1.67688085639384e-12,9.18376485969929e-13,-1.08819619981659e-11,1.23275984544669,1
full4,1,data_minus_sim,23839,4,b4,1,2,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,19.684561,0.244858,128.867795,8.175958,-9.540285,0.113004,-11.895702,0.140823,4074.88703862216,-6655.14046741491,-9477.35589414891,22283.1352040227,19.6845610000237,128.867794999991,-9.54028499999549,-11.8957019999907,-2.36788366692053e-11,8.98126018000767e-12,-4.50839365839784e-12,-9.29389898374211e-12,1.23275984544669,1
full4,1,data_minus_sim,23839,5,b5,2,3,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,963.203067,0.551342,23.723824,0.229808,-15.676216,0.326809,-15.047189,0.418119,-12898.8330731695,20947.5532771165,29722.5974481816,-70341.9989273596,963.203066999849,23.7238240000152,-15.6762159999926,-15.0471889999899,1.50635059981141e-10,-1.51558765537629e-11,-7.43582972972945e-12,-1.0114575843545e-11,1.23275984544669,1
full4,1,data_minus_sim,23840,0,full,-10,20,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,13.207961,0.07891,134.393091,1.995627,-9.721082,0.03814,-10.03543,0.043538,4357.81243187752,-7116.30703493002,-10134.2642392697,23828.8593349805,13.2079610000292,134.393090999998,-9.72108199999639,-10.0354299999963,-2.91731083734703e-11,1.90425453183707e-12,-3.61310981134011e-12,-3.73212571957993e-12,1.23275984544669,1
full4,1,data_minus_sim,23840,1,b1,-2,-1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,6.794793,0.199954,130.231674,3.27481,-9.474083,0.096185,-6.828134,0.112878,4303.5563869682,-7026.98224048381,-10007.6128669742,23530.9331187738,6.79479300004459,130.231674000002,-9.47408300000097,-6.82813399999941,-4.45918857394645e-11,-2.38742359215394e-12,9.73443547991337e-13,-5.91526827520283e-13,1.23275984544669,1
full4,1,data_minus_sim,23840,2,b2,-1,0,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,8.542232,0.148294,122.038222,1.926731,-9.333021,0.069446,-7.312114,0.076736,3987.69530631118,-6511.49482381822,-9273.32588340255,21804.0972884784,8.54223200004344,122.038222000003,-9.33302099999855,-7.31211399999665,-4.34408065075331e-11,-2.8563817977556e-12,-1.4477308241112e-12,-3.34576810701037e-12,1.23275984544669,1
full4,1,data_minus_sim,23840,3,b3,0,1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,14.64035,0.142298,123.902669,3.3592,-9.623696,0.07093,-10.831713,0.079626,3961.67600061364,-6469.72166243511,-9213.0541878624,21662.9587014717,14.6403500000524,123.902669000003,-9.62369600000238,-10.8317130000032,-5.24220666875408e-11,-2.78532752417959e-12,2.38209452163574e-12,3.21875859299325e-12,1.23275984544669,1
