run,dp_idx,dp_label,dp_lo,dp_hi,setting,coeff_tag,W_obs,Em_obs,Pmz_obs,Pmy_obs,W_err,Em_err,Pmz_err,Pmy_err,de0_ref,dpe_ref_input,dthe_ref,dthp_ref,dpp_ref,W_pred_ref,Em_pred_ref,Pmz_pred_ref,Pmy_pred_ref,r_W,r_Em,r_Pmz,r_Pmy,SSE_ref,large_dthe_warn,large_dthp_warn,large_dpp_warn,poor_ref_consistency_warn,notes
23839,0,full,-10.000,20.000,setting_A,A,12.137340,125.805903,-8.535030,9.109723,0.109792,1.135870,0.053760,0.045337,0.000000,-6.202534,2.935263,-14.422782,-9.993689,12.137340,64.776635,-64.993824,9.109723,0.000000,-61.029268,-56.458794,-0.000000,6912.166928,0,1,1,1,large_dthp;large_dpp;poor_ref_consistency
23840,0,full,-10.000,20.000,setting_A,A,13.207961,134.393091,-9.721082,9.158206,0.078910,1.995627,0.038140,0.031634,0.000000,-6.666370,3.143192,-15.243500,-10.706618,13.207961,69.548471,-69.709497,9.158206,-0.000000,-64.844620,-59.988415,0.000000,7803.434677,1,1,1,1,large_dthe;large_dthp;large_dpp;poor_ref_consistency
23841,0,full,-10.000,20.000,setting_A,A,13.192509,135.191432,-10.056658,9.009724,0.119308,1.386100,0.059903,0.050148,0.000000,-6.711850,3.172134,-15.241020,-10.807314,13.192509,70.081023,-70.290957,9.009724,0.000000,-65.110409,-60.234299,-0.000000,7867.536199,1,1,1,1,large_dthe;large_dthp;large_dpp;poor_ref_consistency
23842,0,full,-10.000,20.000,setting_A,A,13.155856,131.712951,-9.976376,9.115577,0.099538,1.917381,0.048472,0.040665,0.000000,-6.564978,3.084819,-15.073322,-10.514212,13.155856,68.428589,-68.521380,9.115577,0.000000,-63.284362,-58.545004,0.000000,7432.428025,1,1,1,1,large_dthe;large_dthp;large_dpp;poor_ref_consistency
23844,0,full,-10.000,20.000,setting_A,A,13.412685,132.864509,-9.965812,9.086621,0.082722,1.916171,0.040152,0.033295,0.000000,-6.629238,3.105919,-15.185229,-10.573618,13.412685,69.007017,-69.041025,9.086621,-0.000000,-63.857492,-59.075213,0.000000,7567.660030,1,1,1,1,large_dthe;large_dthp;large_dpp;poor_ref_consistency
23845,0,full,-10.000,20.000,setting_A,A,13.278694,132.235647,-9.950759,9.082065,0.084849,1.899293,0.041248,0.034337,0.000000,-6.591851,3.092547,-15.112672,-10.544549,13.278694,68.682022,-68.744862,9.082065,0.000000,-63.553625,-58.794103,0.000000,7495.809757,1,1,1,1,large_dthe;large_dthp;large_dpp;poor_ref_consistency
23846,0,full,-10.000,20.000,setting_A,A,13.581334,134.709368,-10.045768,9.116233,0.079564,1.939175,0.038520,0.031886,0.000000,-6.716252,3.147213,-15.344100,-10.721776,13.581334,69.932466,-69.971536,9.116233,-0.000000,-64.776902,-59.925768,-0.000000,7787.144728,1,1,1,1,large_dthe;large_dthp;large_dpp;poor_ref_consistency
23847,0,full,-10.000,20.000,setting_A,A,13.614161,131.606765,-10.101213,9.163318,0.084350,1.940663,0.041080,0.034161,0.000000,-6.596477,3.071553,-15.198102,-10.459144,13.614161,68.535326,-68.449240,9.163318,-0.000000,-63.071439,-58.348027,0.000000,7382.498652,1,1,1,1,large_dthe;large_dthp;large_dpp;poor_ref_consistency
23848,0,full,-10.000,20.000,setting_A,A,13.813230,131.880272,-10.118301,9.114956,0.091137,1.923071,0.044435,0.036612,0.000000,-6.617694,3.070404,-15.232616,-10.471287,13.813230,68.710619,-68.557187,9.114956,-0.000000,-63.169653,-58.438886,0.000000,7405.508563,1,1,1,1,large_dthe;large_dthp;large_dpp;poor_ref_consistency
23849,0,full,-10.000,20.000,setting_B,B,19.365838,3.988586,-0.576284,11.753313,0.294696,0.112943,0.134699,0.104586,0.000000,-1.697213,-0.273276,-5.363560,1.371807,19.365838,4.626563,0.042929,11.753313,0.000000,0.637977,0.619213,0.000000,0.790440,0,1,0,0,large_dthp
23850,0,full,-10.000,20.000,setting_B,B,19.234531,3.887077,-0.770276,11.791240,0.276174,0.107656,0.121492,0.098085,0.000000,-1.691103,-0.268737,-5.362199,1.353625,19.234531,4.657985,-0.022042,11.791240,0.000000,0.770908,0.748234,0.000000,1.154154,0,1,0,0,large_dthp
23851,0,full,-10.000,20.000,setting_B,B,19.152572,3.857953,-0.879353,11.765142,0.260336,0.103753,0.117674,0.092491,0.000000,-1.680312,-0.269376,-5.343444,1.328476,19.152572,4.688194,-0.073531,11.765142,0.000000,0.830241,0.805822,-0.000000,1.338649,0,1,0,0,large_dthp
