setting,dp_idx,bin,dp_lo,dp_hi,summary_status,dW_measured,dW_err,dEm_measured,dEm_err,dPmz_measured,dPmz_err,dPmy_measured,dPmy_err,dthe_guess,dthe_guess_err,dpe_guess,dpe_guess_err,dthp_guess,dthp_guess_err,dpp_guess,dpp_guess_err,cov_dthe_dthe,cov_dthe_dpe,cov_dthe_dthp,cov_dthe_dpp,cov_dpe_dpe,cov_dpe_dthp,cov_dpe_dpp,cov_dthp_dthp,cov_dthp_dpp,cov_dpp_dpp,dW_pred,dW_pred_err,dEm_pred,dEm_pred_err,dPmz_pred,dPmz_pred_err,dPmy_pred,dPmy_pred_err,dW_resid,dW_resid_err,dEm_resid,dEm_resid_err,dPmz_resid,dPmz_resid_err,dPmy_resid,dPmy_resid_err,guess_strategy,guess_valid,source_guess_trivial,guess_note
A,0,full,-10.000000,20.000000,ok,13.465625,0.029490,13.583917,0.010195,-9.874471,0.014557,9.113559,0.012105,-0.509590,0.001478,-0.351449,0.001119,-5.000000,0.000017,-5.000000,0.000041,0.000002,-0.000000,0.000000,0.000000,0.000001,0.000000,-0.000000,0.000000,-0.000000,0.000000,10.204513,0.020273,12.981230,0.007902,-9.860800,0.010758,7.239851,0.007467,-3.261112,0.035786,-0.602687,0.012899,0.013671,0.018101,-1.873708,0.014223,bounded_minuit_chi2_all_observables,1,0,bounded_minuit_chi2_applied_parameter_at_limit
A,1,b1,-2.000000,-1.000000,ok,6.676582,0.076272,10.620126,0.020999,-9.886464,0.039648,6.093132,0.026131,-0.385890,0.022358,-0.042023,0.035275,-3.487577,0.049008,-4.999986,1.647919,0.000500,-0.000774,-0.001004,0.000215,0.001244,0.001663,-0.000344,0.002402,-0.000459,0.000096,5.795568,0.060178,10.796652,0.228555,-9.303395,0.249839,6.093019,0.026121,-0.881014,0.097153,0.176526,0.229518,0.583069,0.252966,-0.000113,0.036948,bounded_minuit_chi2_all_observables,1,0,bounded_minuit_chi2_applied_parameter_at_limit
A,2,b2,-1.000000,0.000000,ok,8.864658,0.056844,11.144146,0.015812,-9.469704,0.027016,8.318530,0.021922,-0.495321,0.017140,-0.116828,0.027204,-4.855103,0.038603,-4.999992,0.900844,0.000294,-0.000458,0.000606,0.000093,0.000740,-0.001007,-0.000150,0.001491,0.000203,0.000031,7.981179,0.044616,11.324790,0.180486,-8.980881,0.196701,8.318505,0.174610,-0.883479,0.072262,0.180644,0.181177,0.488823,0.198547,-0.000025,0.175980,bounded_minuit_chi2_all_observables,1,0,bounded_minuit_chi2_applied_parameter_at_limit
A,3,b3,0.000000,1.000000,ok,14.936879,0.052611,13.536455,0.017893,-9.742441,0.026797,10.018819,0.024521,-0.554630,0.002712,-0.341746,0.002026,-5.000000,0.000046,-5.000000,0.000107,0.000007,-0.000001,0.000000,0.000000,0.000004,0.000000,-0.000000,0.000000,0.000000,0.000000,10.755047,0.037676,12.912730,0.014304,-9.562037,0.019467,7.110974,0.013878,-4.181832,0.064710,-0.623725,0.022908,0.180404,0.033121,-2.907845,0.028176,bounded_minuit_chi2_all_observables,1,0,bounded_minuit_chi2_applied_parameter_at_limit
A,4,b4,1.000000,2.000000,ok,21.041620,0.068077,18.044115,0.023912,-10.788871,0.034088,12.667341,0.040265,-0.569805,0.003568,-0.825607,0.002743,-5.000000,0.000043,-5.000000,0.000100,0.000013,-0.000002,0.000000,0.000000,0.000008,0.000000,-0.000000,0.000000,-0.000000,0.000000,15.139594,0.051231,16.328786,0.019363,-11.458608,0.025221,4.266557,0.019334,-5.902026,0.085200,-1.715329,0.030769,-0.669737,0.042404,-8.400784,0.044666,bounded_minuit_chi2_all_observables,1,0,bounded_minuit_chi2_applied_parameter_at_limit
A,5,b5,2.000000,3.000000,no valid rows,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,bounded_minuit_chi2_all_observables,0,0,excluded_settingA_b5_no_faithful_measurement
B,0,full,-10.000000,20.000000,ok,19.912064,0.158651,3.934732,0.062267,-0.755711,0.071597,11.774515,0.056592,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,bounded_minuit_chi2_all_observables,0,0,migrad_failed
B,1,b1,-2.000000,-1.000000,ok,11.161092,0.462163,-1.827742,0.118095,4.380130,0.172748,9.892274,0.142104,-0.740101,0.122735,0.222324,0.243019,-3.119480,0.166289,0.138300,0.378764,0.015067,-0.029295,-0.018778,0.045767,0.059105,0.038972,-0.091919,0.027669,-0.060404,0.143737,10.909515,0.405463,-1.760382,0.101783,4.520050,0.120026,9.891875,0.141965,-0.251577,0.614813,0.067360,0.155904,0.139920,0.210353,-0.000399,0.200867,bounded_minuit_chi2_all_observables,1,0,bounded_minuit_chi2_applied
B,2,b2,-1.000000,0.000000,ok,12.121441,0.441048,0.850109,0.120431,1.037342,0.176575,11.620013,0.143163,-0.674485,0.123915,0.054455,0.245686,-3.709779,0.167916,-0.396028,0.382927,0.015358,-0.029946,-0.019238,0.046768,0.060410,0.039829,-0.093951,0.028219,-0.061751,0.146922,11.219424,0.392684,1.129368,0.103322,1.620078,0.120619,11.619879,0.143023,-0.902017,0.590528,0.279259,0.158679,0.582736,0.213840,-0.000134,0.202364,bounded_minuit_chi2_all_observables,1,0,bounded_minuit_chi2_applied
B,3,b3,0.000000,1.000000,ok,17.015062,0.389060,2.775196,0.116642,-0.174292,0.167037,13.058886,0.139699,-0.881173,0.118541,-0.072716,0.235510,-4.444696,0.160855,-0.766006,0.367079,0.014055,-0.027519,-0.017737,0.042959,0.055506,0.036594,-0.086324,0.025917,-0.056753,0.134996,15.897534,0.351670,3.192176,0.098942,0.655856,0.113183,13.058956,0.139565,-1.117528,0.524442,0.416980,0.152954,0.830148,0.201772,0.000070,0.197469,bounded_minuit_chi2_all_observables,1,0,bounded_minuit_chi2_applied
