setting,dp_idx,dp_label,dp_lo,dp_hi,var,n_runs_all,n_runs_valid,n_rows_all,n_valid,n_invalid,mean_dmu_MeV,weighted_mean_dmu_MeV,weighted_mean_err_dmu_MeV,rms_dmu_MeV,sem_dmu_MeV,min_dmu_MeV,max_dmu_MeV,mean_input_dmuErr_MeV,summary_status
A,0,full,-10,20,Em,9,9,9,9,0,13.507076,13.583917,0.010195,0.641542,0.213847,11.841865,13.898755,0.031993,"ok"
A,0,full,-10.000000,20.000000,Pmy,9,9,9,9,0,9.106565,9.113559,0.012105,0.045440,0.015147,9.010021,9.163614,0.037565,"ok"
A,0,full,-10.000000,20.000000,Pmz,9,9,9,9,0,-9.830100,-9.874471,0.014557,0.499733,0.166578,-10.118290,-8.535019,0.045077,"ok"
A,0,full,-10.000000,20.000000,W,9,9,9,9,0,13.400499,13.465625,0.029490,0.470005,0.156668,12.293329,13.873089,0.091080,"ok"
A,1,b1,-2.000000,-1.000000,Em,9,9,9,9,0,10.537084,10.620126,0.020999,0.670668,0.223556,8.825468,10.992996,0.066532,"ok"
A,1,b1,-2.000000,-1.000000,Pmy,9,9,9,9,0,6.086023,6.093132,0.026131,0.065388,0.021796,6.009902,6.189398,0.081889,"ok"
A,1,b1,-2.000000,-1.000000,Pmz,9,9,9,9,0,-9.854472,-9.886464,0.039648,0.536767,0.178922,-10.378786,-8.579091,0.126436,"ok"
A,1,b1,-2.000000,-1.000000,W,9,9,9,9,0,6.620648,6.676582,0.076272,0.380541,0.126847,6.076561,7.097476,0.237922,"ok"
A,2,b2,-1.000000,0.000000,Em,9,9,9,9,0,11.075525,11.144146,0.015812,0.663012,0.221004,9.405582,11.596003,0.049649,"ok"
A,2,b2,-1.000000,0.000000,Pmy,9,9,9,9,0,8.311628,8.318530,0.021922,0.063175,0.021058,8.216902,8.397435,0.067914,"ok"
A,2,b2,-1.000000,0.000000,Pmz,9,9,9,9,0,-9.419747,-9.469704,0.027016,0.515017,0.171672,-9.669790,-8.075476,0.084044,"ok"
A,2,b2,-1.000000,0.000000,W,9,9,9,9,0,8.806643,8.864658,0.056844,0.534364,0.178121,7.556202,9.336855,0.176831,"ok"
A,3,b3,0.000000,1.000000,Em,9,9,9,9,0,13.461614,13.536455,0.017893,0.676248,0.225416,11.715197,13.938200,0.055676,"ok"
A,3,b3,0.000000,1.000000,Pmy,9,9,9,9,0,10.012290,10.018819,0.024521,0.068769,0.022923,9.903269,10.151003,0.075422,"ok"
A,3,b3,0.000000,1.000000,Pmz,9,9,9,9,0,-9.697817,-9.742441,0.026797,0.498550,0.166183,-10.014737,-8.402827,0.082657,"ok"
A,3,b3,0.000000,1.000000,W,9,9,9,9,0,14.863991,14.936879,0.052611,0.592251,0.197417,13.383496,15.407555,0.161759,"ok"
A,4,b4,1.000000,2.000000,Em,9,9,9,9,0,17.992753,18.044115,0.023912,0.677548,0.225849,16.216247,18.383731,0.072930,"ok"
A,4,b4,1.000000,2.000000,Pmy,9,9,9,9,0,12.662617,12.667341,0.040265,0.064337,0.021446,12.568636,12.730378,0.122145,"ok"
A,4,b4,1.000000,2.000000,Pmz,9,9,9,9,0,-10.764471,-10.788871,0.034088,0.476364,0.158788,-11.049890,-9.527734,0.103386,"ok"
A,4,b4,1.000000,2.000000,W,9,9,9,9,0,21.002681,21.041620,0.068077,0.567251,0.189084,19.559549,21.437863,0.206060,"ok"
A,5,b5,2.000000,3.000000,Em,9,0,9,0,9,0.000000,0.000000,0.000000,0.000000,0.000000,-999.000000,-999.000000,0.000000,"no valid rows"
A,5,b5,2.000000,3.000000,Pmy,9,0,9,0,9,0.000000,0.000000,0.000000,0.000000,0.000000,-999.000000,-999.000000,0.000000,"no valid rows"
A,5,b5,2.000000,3.000000,Pmz,9,0,9,0,9,0.000000,0.000000,0.000000,0.000000,0.000000,-999.000000,-999.000000,0.000000,"no valid rows"
A,5,b5,2.000000,3.000000,W,9,0,9,0,9,0.000000,0.000000,0.000000,0.000000,0.000000,-999.000000,-999.000000,0.000000,"no valid rows"
