run,setting,ebeam_MeV,dp_idx,dp_label,dp_lo,dp_hi,dp_center,var,entries,fit_lo_GeV,fit_hi_GeV,mu_seed_GeV,sig_seed_GeV,peak_GeV,peak_err_GeV,sigma_GeV,sigma_err_GeV,peak_MeV,peak_err_MeV,sigma_MeV,sigma_err_MeV,fit_status,chi2,ndf,chi2_ndf,fit_valid
23839,A,8583.100000,0,full,-10.000000,20.000000,-999.000000,W,90644.000000,0.910204,1.010681,0.960442,0.025119,0.957620,0.000093,0.021214,0.000089,957.619874,0.092506,21.213639,0.089217,0,1204.319676,12,100.359973,1
23839,A,8583.100000,0,full,-10.000000,20.000000,-999.000000,Em,90644.000000,0.003621,0.032317,0.017969,0.007174,0.017489,0.000037,0.006823,0.000035,17.488809,0.036533,6.823433,0.035097,0,1347.824113,11,122.529465,1
23839,A,8583.100000,1,b1,-2.000000,-1.000000,-1.500000,W,13280.000000,0.903795,1.006393,0.955094,0.025649,0.952681,0.000269,0.022074,0.000246,952.680654,0.269454,22.074264,0.245767,0,287.034900,12,23.919575,1
23839,A,8583.100000,1,b1,-2.000000,-1.000000,-1.500000,Em,13280.000000,0.001918,0.030280,0.016099,0.007090,0.014863,0.000080,0.005373,0.000074,14.863044,0.080115,5.372626,0.074164,0,374.911542,11,34.082867,1
23839,A,8583.100000,2,b2,-1.000000,0.000000,-0.500000,W,20288.000000,0.906138,1.003523,0.954830,0.024346,0.953065,0.000191,0.021583,0.000190,953.064906,0.190828,21.582751,0.189554,0,387.872505,11,35.261137,1
23839,A,8583.100000,2,b2,-1.000000,0.000000,-0.500000,Em,20288.000000,0.002254,0.029572,0.015913,0.006829,0.014935,0.000057,0.005498,0.000050,14.935405,0.056510,5.497549,0.050066,0,643.761242,11,58.523749,1
23839,A,8583.100000,3,b3,0.000000,1.000000,0.500000,W,21681.000000,0.912470,1.008781,0.960626,0.024078,0.958137,0.000157,0.019567,0.000155,958.136828,0.157424,19.566638,0.154737,0,270.364091,10,27.036409,1
23839,A,8583.100000,3,b3,0.000000,1.000000,0.500000,Em,21681.000000,0.003660,0.032067,0.017863,0.007102,0.017207,0.000061,0.006435,0.000060,17.206537,0.061010,6.434892,0.059770,0,644.279291,11,58.570845,1
23839,A,8583.100000,4,b4,1.000000,2.000000,1.500000,W,14310.000000,0.924383,1.002865,0.963624,0.019620,0.962838,0.000148,0.016066,0.000139,962.838003,0.148135,16.066140,0.139470,0,182.839795,9,20.315533,1
23839,A,8583.100000,4,b4,1.000000,2.000000,1.500000,Em,14310.000000,0.008458,0.035407,0.021933,0.006737,0.021622,0.000062,0.006162,0.000057,21.622266,0.062313,6.161782,0.057067,0,156.329304,11,14.211755,1
23839,A,8583.100000,5,b5,2.000000,3.000000,2.500000,W,787.000000,0.923900,1.000286,0.962093,0.019097,0.963203,0.000551,0.013371,0.000550,963.203067,0.551342,13.370526,0.550340,0,26.041301,8,3.255163,1
23839,A,8583.100000,5,b5,2.000000,3.000000,2.500000,Em,787.000000,0.010440,0.035788,0.023114,0.006337,0.023724,0.000230,0.005401,0.000208,23.723824,0.229808,5.401099,0.207949,0,7.635735,10,0.763574,1
23840,A,8583.100000,0,full,-10.000000,20.000000,-999.000000,W,282420.000000,0.911130,1.011740,0.961435,0.025152,0.958690,0.000052,0.021169,0.000050,958.690495,0.052247,21.168930,0.049791,0,3363.245917,12,280.270493,1
23840,A,8583.100000,0,full,-10.000000,20.000000,-999.000000,Em,282420.000000,0.005039,0.034215,0.019627,0.007294,0.019061,0.000021,0.007016,0.000021,19.060754,0.021029,7.015883,0.021229,0,3772.333495,11,342.939409,1
23840,A,8583.100000,1,b1,-2.000000,-1.000000,-1.500000,W,42105.000000,0.904062,1.010131,0.957097,0.026517,0.953572,0.000150,0.022539,0.000145,953.571651,0.150023,22.539491,0.145129,0,1142.796358,13,87.907412,1
23840,A,8583.100000,1,b1,-2.000000,-1.000000,-1.500000,Em,42105.000000,0.003823,0.030917,0.017370,0.006773,0.016415,0.000043,0.005393,0.000040,16.414893,0.042858,5.392841,0.039971,0,658.122723,10,65.812272,1
23840,A,8583.100000,2,b2,-1.000000,0.000000,-0.500000,W,63382.000000,0.906217,1.007823,0.957020,0.025401,0.954082,0.000106,0.021242,0.000104,954.081682,0.106104,21.241811,0.104429,0,1064.954295,11,96.814027,1
23840,A,8583.100000,2,b2,-1.000000,0.000000,-0.500000,Em,63382.000000,0.003895,0.030763,0.017329,0.006717,0.016463,0.000032,0.005562,0.000029,16.462773,0.031784,5.561558,0.029072,0,1384.131633,10,138.413163,1
23840,A,8583.100000,3,b3,0.000000,1.000000,0.500000,W,67769.000000,0.913603,1.009918,0.961761,0.024079,0.959603,0.000090,0.020210,0.000089,959.602509,0.090489,20.210343,0.089402,0,1042.578493,11,94.779863,1
23840,A,8583.100000,3,b3,0.000000,1.000000,0.500000,Em,67769.000000,0.005172,0.033872,0.019522,0.007175,0.018825,0.000035,0.006638,0.000035,18.825136,0.034678,6.637686,0.035237,0,1630.485261,11,148.225933,1
23840,A,8583.100000,4,b4,1.000000,2.000000,1.500000,W,43377.000000,0.925931,1.003766,0.964849,0.019459,0.964254,0.000086,0.015876,0.000081,964.254386,0.085843,15.876205,0.080647,0,317.089956,8,39.636245,1
23840,A,8583.100000,4,b4,1.000000,2.000000,1.500000,Em,43377.000000,0.009829,0.037520,0.023675,0.006923,0.023380,0.000037,0.006352,0.000036,23.379797,0.037287,6.352068,0.035652,0,529.022852,11,48.092987,1
23840,A,8583.100000,5,b5,2.000000,3.000000,2.500000,W,2118.000000,0.928741,0.998946,0.963843,0.017551,0.964076,0.000363,0.014143,0.000311,964.075773,0.362565,14.143182,0.311092,0,15.396044,7,2.199435,1
23840,A,8583.100000,5,b5,2.000000,3.000000,2.500000,Em,2118.000000,0.012389,0.036285,0.024337,0.005974,0.024962,0.000135,0.005057,0.000123,24.962315,0.134675,5.057169,0.123234,0,26.383665,9,2.931518,1
23841,A,8583.100000,0,full,-10.000000,20.000000,-999.000000,W,71932.000000,0.911091,1.011695,0.961393,0.025151,0.958675,0.000104,0.021136,0.000099,958.675043,0.103621,21.136020,0.098693,0,889.555693,12,74.129641,1
23841,A,8583.100000,0,full,-10.000000,20.000000,-999.000000,Em,71932.000000,0.005407,0.034387,0.019897,0.007245,0.019343,0.000042,0.006959,0.000041,19.343436,0.041601,6.958838,0.041195,0,996.808443,11,90.618949,1
23841,A,8583.100000,1,b1,-2.000000,-1.000000,-1.500000,W,10847.000000,0.905036,1.006064,0.955550,0.025257,0.953397,0.000292,0.022073,0.000300,953.396649,0.292355,22.072884,0.299953,0,204.831383,11,18.621035,1
23841,A,8583.100000,1,b1,-2.000000,-1.000000,-1.500000,Em,10847.000000,0.004089,0.031233,0.017661,0.006786,0.016741,0.000089,0.005489,0.000084,16.740857,0.088565,5.488762,0.083968,0,293.233411,11,26.657583,1
23841,A,8583.100000,2,b2,-1.000000,0.000000,-0.500000,W,16131.000000,0.905846,1.008627,0.957236,0.025695,0.954357,0.000212,0.021434,0.000207,954.357049,0.212299,21.434435,0.206958,0,248.575053,11,22.597732,1
23841,A,8583.100000,2,b2,-1.000000,0.000000,-0.500000,Em,16131.000000,0.003990,0.031980,0.017985,0.006997,0.016907,0.000065,0.005746,0.000060,16.906905,0.065290,5.746488,0.060435,0,472.837191,11,42.985199,1
23841,A,8583.100000,3,b3,0.000000,1.000000,0.500000,W,17352.000000,0.913577,1.009861,0.961719,0.024071,0.959571,0.000177,0.019998,0.000175,959.571275,0.177315,19.997528,0.174580,0,294.660589,11,26.787326,1
23841,A,8583.100000,3,b3,0.000000,1.000000,0.500000,Em,17352.000000,0.005655,0.034102,0.019879,0.007112,0.019160,0.000067,0.006425,0.000065,19.160009,0.067148,6.425069,0.064891,0,483.908648,11,43.991695,1
23841,A,8583.100000,4,b4,1.000000,2.000000,1.500000,W,10744.000000,0.925925,1.004193,0.965059,0.019567,0.964305,0.000173,0.015882,0.000165,964.305041,0.173233,15.882497,0.164928,0,100.863986,8,12.607998,1
23841,A,8583.100000,4,b4,1.000000,2.000000,1.500000,Em,10744.000000,0.010149,0.037635,0.023892,0.006872,0.023604,0.000073,0.006263,0.000068,23.603821,0.073144,6.263359,0.068364,0,105.890468,11,9.626406,1
23841,A,8583.100000,5,b5,2.000000,3.000000,2.500000,W,491.000000,0.925432,1.000027,0.962730,0.018649,0.963195,0.000747,0.014060,0.000710,963.195482,0.747266,14.059812,0.710330,0,11.048007,8,1.381001,1
23841,A,8583.100000,5,b5,2.000000,3.000000,2.500000,Em,491.000000,0.012830,0.035869,0.024350,0.005760,0.025171,0.000262,0.004718,0.000233,25.170557,0.261526,4.717667,0.232958,0,18.628728,9,2.069859,1
23842,A,8583.100000,0,full,-10.000000,20.000000,-999.000000,W,124188.000000,0.911735,1.009158,0.960446,0.024356,0.958541,0.000080,0.020621,0.000079,958.541339,0.079595,20.620579,0.078950,0,761.682918,10,76.168292,1
23842,A,8583.100000,0,full,-10.000000,20.000000,-999.000000,Em,124188.000000,0.005385,0.034399,0.019892,0.007254,0.019395,0.000031,0.006913,0.000031,19.394659,0.031318,6.912646,0.030504,0,1709.344944,11,155.394995,1
23842,A,8583.100000,1,b1,-2.000000,-1.000000,-1.500000,W,18389.000000,0.904636,1.006417,0.955526,0.025445,0.952694,0.000222,0.021594,0.000230,952.694179,0.222423,21.594466,0.229685,0,425.654265,11,38.695842,1
23842,A,8583.100000,1,b1,-2.000000,-1.000000,-1.500000,Em,18389.000000,0.004097,0.031276,0.017686,0.006795,0.016896,0.000068,0.005596,0.000065,16.895669,0.067616,5.595936,0.064654,0,426.804966,11,38.800451,1
23842,A,8583.100000,2,b2,-1.000000,0.000000,-0.500000,W,28009.000000,0.906167,1.008518,0.957343,0.025588,0.954492,0.000164,0.021757,0.000163,954.491606,0.164445,21.757086,0.163382,0,446.767344,11,40.615213,1
