category,run,BCM2_I,Nnet,Nnet_err,norm_factor,yield,yield_err,BCM2_Q_mC,comp_livetime,h_esing_Eff,boil_corr,ps_choice,ps_factor,PeakCenterNs,CoinLoNs,CoinHiNs,RandomWindowListNs,rootfile,status
signal,24322,28.07,335.588,8.59323,0.0199436,6.69282,0.17138,51.264,1,0.9985,1.02086,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24322_-1.root",OK
signal,24323,27.67,189.15,6.47307,0.0334709,6.33103,0.21666,30.527,1,0.9986,1.02034,"ps5",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24323_-1.root",OK
signal,24324,28.032,329.175,8.48545,0.0202281,6.65859,0.171645,50.521,1,0.9988,1.02072,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24324_-1.root",OK
signal,24325,28.065,329.362,8.44516,0.0205529,6.76934,0.173572,49.748,1,0.9984,1.02083,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24325_-1.root",OK
signal,24326,26.876,289.612,8.03909,0.0221232,6.40715,0.17785,46.157,1,0.9987,1.01981,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24326_-1.root",OK
signal,24327,26.651,306.038,8.13318,0.0221173,6.76873,0.179884,46.112,1,0.9989,1.01875,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24327_-1.root",OK
signal,24328,27.876,306.038,8.28224,0.0204448,6.25688,0.169329,49.925,1,0.9985,1.01918,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24328_-1.root",OK
signal,24329,28.146,304.688,8.2768,0.0209873,6.39458,0.173708,48.646,1,0.9986,1.01952,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24329_-1.root",OK
signal,24330,26.501,255.825,7.51293,0.0260174,6.65591,0.195467,39.234,1,0.9982,1.01893,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24330_-1.root",OK
signal,24331,18.186,144.037,5.30052,0.049396,7.11488,0.261824,20.542,1,0.9986,1.01327,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24331_-1.root",OK
signal,24332,10.048,120.862,4.62893,0.0584874,7.06893,0.270734,17.252,1,0.9983,1.00731,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24332_-1.root",OK
signal,24385,28.057,123.675,5.22341,0.0544644,6.73588,0.28449,18.753,1,0.9985,1.01984,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24385_-1.root",OK
signal,24386,28.32,392.812,9.23026,0.017378,6.82631,0.160404,58.827,1,0.9985,1.02076,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24386_-1.root",OK
signal,24387,27.976,329.663,8.57832,0.0193474,6.3781,0.165968,52.836,1,0.9987,1.02091,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24387_-1.root",OK
signal,24388,27.829,365.587,9.04761,0.0173207,6.33225,0.156711,58.987,1,0.9986,1.02027,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24388_-1.root",OK
signal,24389,25.803,301.8,8.01413,0.0236724,7.14432,0.189713,43.071,1,0.9986,1.01816,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24389_-1.root",OK
signal,24390,26.798,303.15,8.15192,0.021963,6.65807,0.17904,46.496,1,0.9983,1.01945,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24390_-1.root",OK
signal,24396,27.924,337.987,8.65324,0.0209562,7.08294,0.181339,48.73,1,0.9985,1.01967,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24396_-1.root",OK
signal,24397,27.655,336.675,8.52513,0.0208352,7.0147,0.177623,49.002,1,0.9984,1.01933,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24397_-1.root",OK
signal,24398,19.059,236.288,6.83684,0.0310801,7.34384,0.21249,32.658,1,0.9986,1.01359,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24398_-1.root",OK
signal,24399,10.113,112.238,4.42865,0.066597,7.47468,0.294935,15.143,1,0.9991,1.00757,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24399_-1.root",OK
signal,24424,27.549,325.612,8.47176,0.0208664,6.79438,0.176776,48.952,1,0.9991,1.02053,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24424_-1.root",OK
signal,24425,27.875,338.25,8.63315,0.0205131,6.93855,0.177093,49.803,1,0.999,1.02059,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24425_-1.root",OK
signal,24426,18.63,228.113,6.77879,0.0308167,7.02968,0.2089,32.944,1,0.9984,1.0136,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24426_-1.root",OK
signal,24427,10.028,125.962,4.65378,0.060142,7.57563,0.279887,16.777,1,0.9985,1.00749,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24427_-1.root",OK
positron,24559,28.179,2.175,1.92824,0.0160822,0.0349787,0.0310104,63.78,1,0.9954,1.021,"ps6",1,22.925,21.925,23.925,"29.925-31.925;33.925-35.925","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24559_-1.root",OK
positron,24603,29.542,7.7625,2.08555,0.013842,0.107449,0.0288683,74.129,1,0.9955,1.02148,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24603_-1.root",OK
dummy,24335,21.185,26.475,2.49142,0.117663,3.11514,0.293149,8.515,1,0.9981,1,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24335_-1.root",OK
dummy,24336,36.437,191.325,6.80994,0.0164329,3.14402,0.111907,60.939,1,0.9986,1,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24336_-1.root",OK
dummy,24337,38.636,228.375,7.38569,0.0146238,3.3397,0.108007,68.464,1,0.9988,1,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24337_-1.root",OK
dummy,24338,40.777,246.45,7.68594,0.0132197,3.25798,0.101606,75.751,1,0.9986,1,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24338_-1.root",OK
dummy,24339,38.967,225.45,7.3224,0.0143993,3.24633,0.105438,69.552,1,0.9985,1,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24339_-1.root",OK
dummy,24400,37.545,167.775,6.36904,0.0202067,3.39017,0.128697,49.558,1,0.9986,1,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24400_-1.root",OK
dummy,24401,35.086,181.688,6.59563,0.0191313,3.47591,0.126183,52.328,1,0.9989,1,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24401_-1.root",OK
dummy,24402,38.401,239.325,7.60779,0.0143712,3.4394,0.109333,69.681,1,0.9986,1,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24402_-1.root",OK
positron_dummy,24560,37.257,0.2,1.78885,0.01102,0.00220401,0.0197132,91.026,1,0.9969,1,"ps6",1,31.175,30.175,32.175,"22.175-24.175;38.175-40.175;42.175-44.175","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24560_-1.root",OK
positron_dummy,24601,38.036,3.225,1.76449,0.0109666,0.0353672,0.0193504,91.626,1,0.9952,1,"ps6",1,55.025,54.025,56.025,"46.025-48.025;62.025-64.025;42.025-44.025;66.025-68.025","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24601_-1.root",OK
