category,run,BCM2_I,Nnet,Nnet_err,norm_factor,yield,yield_err,BCM2_Q_mC,comp_livetime,h_esing_Eff,boil_corr,ps_choice,ps_factor,PeakCenterNs,CoinLoNs,CoinHiNs,RandomWindowListNs,rootfile,status
signal,23878,7.345,78.675,4.64183,0.0813312,6.39873,0.377525,12.343,1,0.9987,1.00257,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23878_-1.root",OK
signal,23886,6.902,77.9625,4.58375,0.0846817,6.60199,0.38816,11.854,1,0.9986,1.00241,"ps6",1,51.425,50.425,52.425,"42.425-44.425;58.425-60.425;38.425-40.425;62.425-64.425","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23886_-1.root",OK
signal,23887,6.811,88.5375,4.75511,0.0862543,7.63674,0.410149,11.634,1,0.9989,1.00238,"ps6",1,51.425,50.425,52.425,"42.425-44.425;58.425-60.425;38.425-40.425;62.425-64.425","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23887_-1.root",OK
signal,23888,6.77,69.5625,4.23684,0.100891,7.01826,0.427461,9.953,1,0.9982,1.00236,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23888_-1.root",OK
signal,23889,6.696,68.85,4.30581,0.0937709,6.45613,0.40376,10.701,1,0.9989,1.00234,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23889_-1.root",OK
signal,23897,9.555,85.5,5.29799,0.06506,5.56263,0.344687,15.448,1,0.9983,1.00334,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23897_-1.root",OK
signal,23898,9.801,113.925,5.9579,0.0532693,6.0687,0.317373,18.867,1,0.9984,1.00342,"ps6",1,51.425,50.425,52.425,"42.425-44.425;58.425-60.425;38.425-40.425;62.425-64.425","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23898_-1.root",OK
signal,23899,9.857,111.75,5.83845,0.0557463,6.22965,0.325472,18.02,1,0.9989,1.00344,"ps6",1,51.425,50.425,52.425,"42.425-44.425;58.425-60.425;38.425-40.425;62.425-64.425","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23899_-1.root",OK
signal,23900,9.79,131.175,6.48023,0.0443518,5.81785,0.28741,22.649,1,0.9989,1.00342,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23900_-1.root",OK
dummy,23879,14.284,64.35,4.14947,0.0358897,2.3095,0.148923,27.905,1,0.9985,1,"ps6",1,51.575,50.575,52.575,"42.575-44.575;58.575-60.575;38.575-40.575;62.575-64.575","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23879_-1.root",OK
dummy,23890,14.069,38.5125,3.31467,0.0524162,2.01868,0.173742,19.101,1,0.9988,1,"ps6",1,51.425,50.425,52.425,"42.425-44.425;58.425-60.425;38.425-40.425;62.425-64.425","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23890_-1.root",OK
dummy,23891,7.688,31.6875,2.71325,0.0667779,2.11603,0.181185,14.984,1,0.9994,1,"ps6",1,51.575,50.575,52.575,"42.575-44.575;58.575-60.575;38.575-40.575;62.575-64.575","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23891_-1.root",OK
dummy,23901,9.302,30.7875,2.59239,0.0938049,2.88802,0.243179,10.685,1,0.9977,1,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23901_-1.root",OK
dummy,23902,19.601,77.85,4.86403,0.0279667,2.1772,0.136031,35.807,1,0.9986,1,"ps6",1,51.425,50.425,52.425,"42.425-44.425;58.425-60.425;38.425-40.425;62.425-64.425","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23902_-1.root",OK
dummy,23903,18.859,10.1625,1.79413,0.210568,2.1399,0.377787,4.76,1,0.9977,1,"ps6",1,51.575,50.575,52.575,"42.575-44.575;58.575-60.575;38.575-40.575;62.575-64.575","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23903_-1.root",OK
dummy,23948,20.349,97.9875,5.62837,0.0222094,2.17625,0.125003,45.08,1,0.9988,1,"ps6",1,51.425,50.425,52.425,"42.425-44.425;58.425-60.425;38.425-40.425;62.425-64.425","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23948_-1.root",OK
dummy,23949,9.693,16.275,2.00756,0.122942,2.00088,0.246813,8.138,1,0.9995,1,"ps6",1,51.425,50.425,52.425,"42.425-44.425;58.425-60.425;38.425-40.425;62.425-64.425","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23949_-1.root",OK
dummy,23955,19.13,74.6625,4.77135,0.0316686,2.36445,0.151102,31.615,1,0.9988,1,"ps6",1,51.425,50.425,52.425,"42.425-44.425;58.425-60.425;38.425-40.425;62.425-64.425","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23955_-1.root",OK
dummy,23956,9.707,25.35,2.44297,0.0907969,2.3017,0.221815,11.018,1,0.9996,1,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23956_-1.root",OK
positron_dummy,24600,24.477,5.8875,2.01351,0.0138117,0.0813161,0.0278099,72.708,1,0.9958,1,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24600_-1.root",OK
