category,run,BCM2_I,Nnet,Nnet_err,norm_factor,yield,yield_err,BCM2_Q_mC,comp_livetime,h_esing_Eff,boil_corr,ps_choice,ps_factor,PeakCenterNs,CoinLoNs,CoinHiNs,RandomWindowListNs,rootfile,status
signal,24097,14.584,15.1125,1.90366,0.595788,9.00384,1.13418,1.687,1,1,1.00509,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24097_-1.root",OK
signal,24098,13.874,158.288,6.30836,0.0445941,7.05869,0.281316,22.567,1,0.9985,1.00485,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24098_-1.root",OK
signal,24099,13.858,168.525,6.57759,0.0420385,7.08453,0.276512,23.934,1,0.9987,1.00484,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24099_-1.root",OK
signal,24100,13.558,145.575,6.06272,0.0488036,7.10459,0.295883,20.61,1,0.9989,1.00474,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24100_-1.root",OK
signal,24101,13.636,166.8,6.50298,0.0418809,6.98573,0.27235,24.015,1,0.999,1.00476,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24101_-1.root",OK
signal,24103,9.878,126.863,5.28165,0.0584631,7.41677,0.308781,17.181,1,0.999,1.00345,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24103_-1.root",OK
signal,24104,13.703,225.262,7.52368,0.0320176,7.21237,0.24089,31.42,1,0.9988,1.00479,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24104_-1.root",OK
signal,24110,13.611,146.025,6.05204,0.046762,6.82842,0.283005,21.521,1,0.9984,1.00475,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24110_-1.root",OK
signal,24111,14.077,139.5,6.00937,0.0454216,6.33632,0.272955,22.153,1,0.9987,1.00492,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24111_-1.root",OK
signal,24112,14.14,160.575,6.44935,0.041015,6.58599,0.26452,24.541,1,0.9984,1.00494,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24112_-1.root",OK
signal,24113,9.052,118.575,5.04204,0.0623512,7.39329,0.314377,16.105,1,0.999,1.00316,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24113_-1.root",OK
signal,24158,14.126,164.588,6.53738,0.0392452,6.45927,0.256561,25.645,1,0.9985,1.00493,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24158_-1.root",OK
signal,24159,13.879,163.35,6.41283,0.0411778,6.72639,0.264066,24.432,1,0.9988,1.00485,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24159_-1.root",OK
signal,24160,14.265,160.95,6.4722,0.0397264,6.39397,0.257117,25.328,1,0.9988,1.00498,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24160_-1.root",OK
signal,24161,14.103,152.438,6.32128,0.0426839,6.50663,0.269817,23.567,1,0.999,1.00493,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24161_-1.root",OK
signal,24185,14.045,148.425,6.1917,0.0430847,6.39484,0.266768,23.352,1,0.9988,1.00491,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24185_-1.root",OK
positron,24591,15.335,10.9125,2.06386,0.0280943,0.306579,0.0579827,35.882,1,0.9973,1.00536,"ps6",1,50.975,49.975,51.975,"41.975-43.975;57.975-59.975;37.975-39.975;61.975-63.975","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24591_-1.root",OK
positron,24592,14.809,2.325,1.82637,0.0308492,0.0717244,0.0563421,32.711,1,0.9961,1.00517,"ps6",1,23.225,22.225,24.225,"30.225-32.225;34.225-36.225","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24592_-1.root",OK
dummy,24116,32.264,108.6,5.30383,0.0173625,1.88557,0.092088,57.676,1,0.9986,1,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24116_-1.root",OK
dummy,24117,33.201,117.075,5.38461,0.0171811,2.01147,0.0925135,58.291,1,0.9985,1,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24117_-1.root",OK
dummy,24171,31.089,89.25,4.90949,0.0201522,1.79858,0.098937,49.687,1,0.9987,1,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24171_-1.root",OK
dummy,24172,33.395,115.575,5.48552,0.0164474,1.9009,0.0902223,60.867,1,0.9989,1,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24172_-1.root",OK
positron_dummy,24595,31.353,6.2625,1.57901,0.0144454,0.090464,0.0228094,69.386,1,0.9977,1,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24595_-1.root",OK
