category,run,BCM2_I,Nnet,Nnet_err,norm_factor,yield,yield_err,BCM2_Q_mC,comp_livetime,h_esing_Eff,boil_corr,ps_choice,ps_factor,PeakCenterNs,CoinLoNs,CoinHiNs,RandomWindowListNs,rootfile,status
signal,23876,15.516,115.237,5.53007,0.0317163,3.65491,0.175393,31.938,1,0.9984,1.01133,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23876_-1.root",OK
signal,23880,14.918,59.1375,3.99388,0.0565291,3.34299,0.22577,17.907,1,0.9987,1.01095,"ps5",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23880_-1.root",OK
signal,23881,12.93,64.1625,4.28042,0.0460911,2.95732,0.19729,21.921,1,0.9991,1.00945,"ps6",1,51.425,50.425,52.425,"42.425-44.425;58.425-60.425;38.425-40.425;62.425-64.425","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23881_-1.root",OK
signal,23882,13.887,79.9125,4.58191,0.0405666,3.24178,0.185873,24.935,1,0.9987,1.01021,"ps6",1,51.425,50.425,52.425,"42.425-44.425;58.425-60.425;38.425-40.425;62.425-64.425","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23882_-1.root",OK
signal,23883,13.783,77.4,4.51186,0.0412649,3.1939,0.186181,24.517,1,0.9985,1.01017,"ps6",1,51.425,50.425,52.425,"42.425-44.425;58.425-60.425;38.425-40.425;62.425-64.425","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23883_-1.root",OK
signal,23884,14.432,81.675,4.73481,0.0393612,3.21483,0.186368,25.704,1,0.9989,1.01063,"ps6",1,51.425,50.425,52.425,"42.425-44.425;58.425-60.425;38.425-40.425;62.425-64.425","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23884_-1.root",OK
signal,23885,7.095,43.6125,3.03194,0.0798876,3.4841,0.242214,12.599,1,0.9989,1.0054,"ps6",1,51.425,50.425,52.425,"42.425-44.425;58.425-60.425;38.425-40.425;62.425-64.425","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23885_-1.root",OK
signal,23892,20.226,121.2,6.09626,0.025389,3.07715,0.154778,40.002,1,0.9986,1.01419,"ps6",1,51.425,50.425,52.425,"42.425-44.425;58.425-60.425;38.425-40.425;62.425-64.425","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23892_-1.root",OK
signal,23893,19.841,107.438,5.71614,0.028254,3.03554,0.161504,35.92,1,0.9989,1.01377,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23893_-1.root",OK
signal,23894,19.932,99.525,5.72486,0.0282528,2.81186,0.161743,35.931,1,0.9986,1.01373,"ps6",1,51.425,50.425,52.425,"42.425-44.425;58.425-60.425;38.425-40.425;62.425-64.425","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23894_-1.root",OK
signal,23895,19.426,114.45,5.84182,0.0276219,3.16133,0.161362,36.741,1,0.9991,1.01394,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23895_-1.root",OK
signal,23896,9.969,74.4,4.21204,0.0448541,3.33714,0.188927,22.491,1,0.9987,1.0075,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23896_-1.root",OK
signal,23904,19.734,128.475,6.05297,nan,nan,nan,34.018,1,0.9986,-999,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23904_-1.root",BADMETA
signal,23905,18.88,120.075,5.89096,0.0306111,3.67563,0.180329,33.155,1,0.9987,1.01359,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23905_-1.root",OK
signal,23906,19.267,103.762,5.71097,0.0307388,3.18954,0.175549,33.035,1,0.9984,1.01383,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23906_-1.root",OK
