category,run,BCM2_I,Nnet,Nnet_err,norm_factor,yield,yield_err,BCM2_Q_mC,comp_livetime,h_esing_Eff,boil_corr,ps_choice,ps_factor,PeakCenterNs,CoinLoNs,CoinHiNs,RandomWindowListNs,rootfile,status
signal,24969,18.039,1553.66,18.1938,0.0330367,51.328,0.601065,30.717,1,0.9984,1.01317,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24969_-1.root",OK
signal,24970,18.03,1683,18.9618,0.0296934,49.974,0.563041,34.172,1,0.9985,1.01316,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24970_-1.root",OK
signal,24971,17.961,1704.97,19.0887,0.0303214,51.6972,0.578796,33.466,1,0.9984,1.01311,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24971_-1.root",OK
signal,24972,18.232,1734.86,19.2429,0.0300468,52.127,0.578187,33.775,1,0.9985,1.01331,"ps5",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24972_-1.root",OK
signal,24974,9.027,898.163,12.7978,0.0589667,52.9617,0.754646,17.1,1,0.9983,1.00662,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24974_-1.root",OK
signal,24975,9.054,916.35,12.9407,0.0599913,54.973,0.776329,16.807,1,0.9984,1.00666,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24975_-1.root",OK
signal,25002,8.921,901.837,12.8177,0.0601831,54.2754,0.771409,16.751,1,0.9984,1.00651,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25002_-1.root",OK
signal,25003,9.031,832.087,12.3107,0.0650395,54.1186,0.800681,15.5,1,0.9985,1.0066,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25003_-1.root",OK
dummy,24981,19.742,982.838,14.5889,0.027347,26.8777,0.398964,36.622,1,0.9985,1,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24981_-1.root",OK
dummy,24982,20.006,1083.56,15.1801,0.0268849,29.1314,0.408115,37.259,1,0.9983,1,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24982_-1.root",OK
dummy,25004,19.975,1052.44,15.1407,0.0261419,27.5128,0.395807,38.314,1,0.9984,1,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25004_-1.root",OK
dummy,25005,20.133,947.513,14.3146,0.0292042,27.6713,0.418047,34.3,1,0.9983,1,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25005_-1.root",OK
