category,run,BCM2_I,Nnet,Nnet_err,norm_factor,yield,yield_err,BCM2_Q_mC,comp_livetime,h_esing_Eff,boil_corr,ps_choice,ps_factor,PeakCenterNs,CoinLoNs,CoinHiNs,RandomWindowListNs,rootfile,status
signal,25499,14.005,1224.9,17.8831,0.0402956,49.358,0.720608,24.978,1,0.9984,1.00489,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25499_-1.root",OK
signal,25500,13.928,1140.75,17.333,0.0430953,49.1609,0.746968,23.357,1,0.9983,1.00486,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25500_-1.root",OK
signal,25501,13.987,1256.44,18.1802,0.0393725,49.4691,0.715798,25.566,1,0.9983,1.00489,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25501_-1.root",OK
signal,25502,14.034,1245.79,18.147,0.0392809,48.9357,0.712832,25.626,1,0.9983,1.0049,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25502_-1.root",OK
signal,25503,13.967,1194.34,17.7977,0.0403104,48.1442,0.717433,24.971,1,0.9983,1.00488,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25503_-1.root",OK
signal,25504,7.011,635.212,11.5376,0.0800522,50.8501,0.923613,12.54,1,0.9986,1.00245,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25504_-1.root",OK
signal,25505,7.017,652.838,11.6269,0.0796791,52.0175,0.926419,12.6,1,0.9985,1.00245,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25505_-1.root",OK
signal,25515,10.972,153.037,6.05355,0.33555,51.3517,2.03127,2.997,1,0.9982,1.00383,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25515_-1.root",OK
signal,25516,12.816,970.275,15.794,0.0487899,47.3396,0.770585,20.627,1,0.9981,1.00448,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25516_-1.root",OK
signal,25517,12.991,1081.54,16.5646,0.0465464,50.3417,0.771023,21.616,1,0.9984,1.00454,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25517_-1.root",OK
signal,25518,13.181,1200.15,17.4911,0.0417056,50.053,0.729477,24.129,1,0.9983,1.0046,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25518_-1.root",OK
signal,25519,12.991,1078.65,16.6745,0.0443086,47.7935,0.738823,22.71,1,0.9983,1.00454,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25519_-1.root",OK
signal,25520,13.028,1235.62,17.6764,0.0406801,50.2654,0.719078,24.731,1,0.9985,1.00455,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25520_-1.root",OK
dummy,25514,20.036,537.113,10.7264,0.0289836,15.5675,0.310889,34.561,1,0.9983,1,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25514_-1.root",OK
