category,run,BCM2_I,Nnet,Nnet_err,norm_factor,yield,yield_err,BCM2_Q_mC,comp_livetime,h_esing_Eff,boil_corr,ps_choice,ps_factor,PeakCenterNs,CoinLoNs,CoinHiNs,RandomWindowListNs,rootfile,status
signal,25205,31.166,1523.32,20.8986,0.0177818,27.0875,0.371615,57.751,1,0.9983,1.02517,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25205_-1.root",OK
signal,25206,30.851,1477.01,20.6138,0.01808,26.7044,0.372699,56.718,1,0.9985,1.02392,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25206_-1.root",OK
signal,25207,31.933,1621.2,21.5365,0.0168069,27.2474,0.361962,61.049,1,0.9982,1.0242,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25207_-1.root",OK
signal,25208,32.074,1221.6,18.8377,0.021661,26.461,0.408043,47.363,1,0.9984,1.02429,"ps5",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25208_-1.root",OK
signal,25210,15.718,784.162,13.2301,0.0350258,27.4659,0.463393,28.921,1,0.9985,1.01146,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25210_-1.root",OK
signal,25211,15.89,804.787,13.3301,0.0352045,28.3322,0.469281,28.779,1,0.9985,1.01163,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25211_-1.root",OK
signal,25217,31.868,1443.82,20.5471,0.0180694,26.0891,0.371273,56.66,1,0.9983,1.02207,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25217_-1.root",OK
signal,25218,30.8,1604.47,21.5934,0.0162604,26.0894,0.351118,62.91,1,0.9985,1.02141,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25218_-1.root",OK
signal,25219,31.872,1680.52,22.015,0.0158682,26.6669,0.349337,64.54,1,0.9984,1.02249,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25219_-1.root",OK
signal,25220,15.996,864.712,13.7621,0.0326767,28.2559,0.449699,31.011,1,0.9984,1.01171,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25220_-1.root",OK
signal,25221,16.042,764.025,13.0663,0.0357446,27.3098,0.467048,28.35,1,0.9984,1.01174,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25221_-1.root",OK
dummy,25214,39.022,1099.05,17.9574,0.015328,16.8463,0.275252,65.338,1,0.9985,1,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25214_-1.root",OK
dummy,25222,39.082,1244.89,19.0736,0.0137051,17.0613,0.261404,73.09,1,0.9983,1,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25222_-1.root",OK
