category,run,BCM2_I,normyield,normyield_err,target_raw,run_type_raw,BCM2_Q_mC,comp_livetime,h_esing_Eff,boil_corr,ps_choice,ps_factor
signal,24779,53.894,14.8745,0.422802,"LH2","PI+SIDIS",97.751,1,0.998,1.03794,"ps6",1
signal,24780,47.821,16.3733,0.556571,"LH2","PI+SIDIS",60.61,1,0.9986,1.03378,"ps5",1
signal,24781,52.939,14.9344,0.434846,"LH2","PI+SIDIS",92.57,1,0.9987,1.03679,"ps6",1
signal,24782,46.318,15.0017,0.42256,"LH2","PI+SIDIS",98.896,1,0.9984,1.03191,"ps6",1
signal,24783,43.637,15.3252,0.477765,"LH2","PI+SIDIS",78.708,1,0.9984,1.03023,"ps6",1
signal,24784,53.964,15.0701,0.437788,"LH2","PI+SIDIS",92.435,1,0.9985,1.03689,"ps6",1
signal,24785,42.865,14.897,0.469795,"LH2","PI+SIDIS",78.869,1,0.9987,1.02992,"ps6",1
signal,24786,43.651,14.6869,0.493566,"LH2","PI+SIDIS",70.654,1,0.9984,1.0308,"ps6",1
signal,24787,52.891,14.8865,0.438355,"LH2","PI+SIDIS",90.742,1,0.9986,1.0371,"ps6",1
signal,24788,41.938,14.964,0.485948,"LH2","PI+SIDIS",74.419,1,0.9985,1.02977,"ps6",1
signal,24789,46.515,15.3143,0.47362,"LH2","PI+SIDIS",79.316,1,0.9987,1.03296,"ps6",1
signal,24790,35.352,15.4027,0.525939,"LH2","PI+SIDIS",62.624,1,0.9991,1.02546,"ps6",1
signal,24791,18.052,15.6532,0.728178,"LH2","PI+SIDIS",31.356,1,0.9988,1.01317,"ps6",1
signal,24803,43.14,14.8876,0.482702,"LH2","PI+SIDIS",75.258,1,0.9988,1.0308,"ps6",1
signal,24804,47.887,14.626,0.449146,"LH2","PI+SIDIS",85.72,1,0.999,1.0341,"ps6",1
signal,24805,54.781,14.417,0.404736,"LH2","PI+SIDIS",103.75,1,0.9987,1.03929,"ps6",1
signal,24806,51.278,14.4969,0.443225,"LH2","PI+SIDIS",88.068,1,0.9988,1.03706,"ps6",1
signal,24807,53.682,15.2462,0.436722,"LH2","PI+SIDIS",93.517,1,0.9982,1.03871,"ps6",1
signal,24808,51.101,14.3808,0.419626,"LH2","PI+SIDIS",97.671,1,0.9983,1.03685,"ps6",1
signal,24809,48.831,14.8774,0.446204,"LH2","PI+SIDIS",87.987,1,0.9984,1.0349,"ps6",1
signal,24810,47.644,15.1201,0.458949,"LH2","PI+SIDIS",84.979,1,0.9986,1.03422,"ps6",1
signal,24811,50.384,14.0492,0.48454,"LH2","PI+SIDIS",71.722,1,0.9985,1.03604,"ps6",1
signal,24812,36.909,14.6624,0.481984,"LH2","PI+SIDIS",71.383,1,0.9983,1.0266,"ps6",1
signal,24813,17.868,17.0746,0.971298,"LH2","PI+SIDIS",19.174,1,0.9986,1.01304,"ps6",1
positron,24821,50.314,0.0927213,0.0537176,"LH2","PI+SIDIS",91.136,1,0.996,1.03568,"ps6",1
positron,24822,50.749,0.0985473,0.0575944,"LH2","PI+SIDIS",90.586,1,0.9989,1.03528,"ps6",1
positron,24823,51.635,0.222443,0.0695627,"LH2","PI+SIDIS",100.11,1,0.9935,1.03716,"ps6",1
dummy,24794,33.95,7.95338,0.503987,"Dummy","PI+SIDIS",34.944,1,0.9987,1,"ps6",1
dummy,24795,37.738,7.75823,0.400826,"Dummy","PI+SIDIS",54.041,1,0.999,1,"ps6",1
dummy,24796,40.605,9.59433,1.49076,"Dummy","PI+SIDIS",4.633,1,1,1,"ps6",1
dummy,24797,37.852,8.20166,0.376064,"Dummy","PI+SIDIS",65.136,1,0.9985,1,"ps6",1
dummy,24798,35.698,8.09222,0.403283,"Dummy","PI+SIDIS",55.541,1,0.9984,1,"ps6",1
dummy,24814,38.007,7.48605,0.356474,"Dummy","PI+SIDIS",67.503,1,0.9987,1,"ps6",1
dummy,24815,39.867,7.66696,0.356689,"Dummy","PI+SIDIS",68.222,1,0.9986,1,"ps6",1
dummy,24816,39.33,7.68485,0.357302,"Dummy","PI+SIDIS",67.532,1,0.9987,1,"ps6",1
dummy,24817,34.707,7.71753,0.356519,"Dummy","PI+SIDIS",68.092,1,0.9991,1,"ps6",1
