category,run,BCM2_I,normyield,normyield_err,target_raw,run_type_raw,BCM2_Q_mC,comp_livetime,h_esing_Eff,boil_corr,ps_choice,ps_factor
signal,24322,28.07,39.1711,1.08299,"LH2","PI+SIDIS",51.264,1,0.9985,1.02086,"ps6",1
signal,24323,27.67,41.224,1.44886,"LH2","PI+SIDIS",30.527,1,0.9986,1.02034,"ps5",1
signal,24324,28.032,38.4152,1.0842,"LH2","PI+SIDIS",50.521,1,0.9988,1.02072,"ps6",1
signal,24325,28.065,39.4026,1.10427,"LH2","PI+SIDIS",49.748,1,0.9984,1.02083,"ps6",1
signal,24326,26.876,37.165,1.1271,"LH2","PI+SIDIS",46.157,1,0.9987,1.01981,"ps6",1
signal,24327,26.651,38.3628,1.1357,"LH2","PI+SIDIS",46.112,1,0.9989,1.01875,"ps6",1
signal,24328,27.876,36.5083,1.07761,"LH2","PI+SIDIS",49.925,1,0.9985,1.01918,"ps6",1
signal,24329,28.146,37.5069,1.09955,"LH2","PI+SIDIS",48.646,1,0.9986,1.01952,"ps6",1
signal,24330,26.501,38.8077,1.23423,"LH2","PI+SIDIS",39.234,1,0.9982,1.01893,"ps6",1
signal,24331,18.186,40.6517,1.63488,"LH2","PI+SIDIS",20.542,1,0.9986,1.01327,"ps6",1
signal,24332,10.048,38.3768,1.64213,"LH2","PI+SIDIS",17.252,1,0.9983,1.00731,"ps6",1
signal,24385,28.057,40.0188,1.79516,"LH2","PI+SIDIS",18.753,1,0.9985,1.01984,"ps6",1
signal,24386,28.32,38.4175,0.998173,"LH2","PI+SIDIS",58.827,1,0.9985,1.02076,"ps6",1
signal,24387,27.976,36.6512,1.03979,"LH2","PI+SIDIS",52.836,1,0.9987,1.02091,"ps6",1
signal,24388,27.829,36.416,0.98162,"LH2","PI+SIDIS",58.987,1,0.9986,1.02027,"ps6",1
signal,24389,25.803,40.134,1.1889,"LH2","PI+SIDIS",43.071,1,0.9986,1.01816,"ps6",1
signal,24390,26.798,38.2061,1.12732,"LH2","PI+SIDIS",46.496,1,0.9983,1.01945,"ps6",1
signal,24396,27.924,38.2149,1.08033,"LH2","PI+SIDIS",48.73,1,0.9985,1.01967,"ps6",1
signal,24397,27.655,38.2207,1.06461,"LH2","PI+SIDIS",49.002,1,0.9984,1.01933,"ps6",1
signal,24398,19.059,40.3102,1.27027,"LH2","PI+SIDIS",32.658,1,0.9986,1.01359,"ps6",1
signal,24399,10.113,40.2654,1.76589,"LH2","PI+SIDIS",15.143,1,0.9991,1.00757,"ps6",1
signal,24424,27.549,37.2067,1.0649,"LH2","PI+SIDIS",48.952,1,0.9991,1.02053,"ps6",1
signal,24425,27.875,37.8013,1.0691,"LH2","PI+SIDIS",49.803,1,0.999,1.02059,"ps6",1
signal,24426,18.63,37.6802,1.25281,"LH2","PI+SIDIS",32.944,1,0.9984,1.0136,"ps6",1
signal,24427,10.028,39.4737,1.66321,"LH2","PI+SIDIS",16.777,1,0.9985,1.00749,"ps6",1
positron,24559,28.179,1.46324,0.156399,"LH2","PI+SIDIS",63.78,1,0.9954,1.021,"ps6",1
positron,24603,29.542,0.63954,0.172209,"LH2","PI+SIDIS",74.129,1,0.9955,1.02148,"ps6",1
dummy,24335,21.185,17.7295,1.85324,"Dummy","PI+SIDIS",8.515,1,0.9981,1,"ps6",1
dummy,24336,36.437,18.5282,0.717808,"Dummy","PI+SIDIS",60.939,1,0.9986,1,"ps6",1
dummy,24337,38.636,20.2073,0.697846,"Dummy","PI+SIDIS",68.464,1,0.9988,1,"ps6",1
dummy,24338,40.777,18.9664,0.652109,"Dummy","PI+SIDIS",75.751,1,0.9986,1,"ps6",1
dummy,24339,38.967,19.2888,0.676911,"Dummy","PI+SIDIS",69.552,1,0.9985,1,"ps6",1
dummy,24400,37.545,18.8979,0.787541,"Dummy","PI+SIDIS",49.558,1,0.9986,1,"ps6",1
dummy,24401,35.086,19.0185,0.762819,"Dummy","PI+SIDIS",52.328,1,0.9989,1,"ps6",1
dummy,24402,38.401,19.1081,0.665638,"Dummy","PI+SIDIS",69.681,1,0.9986,1,"ps6",1
positron_dummy,24560,37.257,0.849319,0.113285,"Dummy","PI+SIDIS",91.026,1,0.9969,1,"ps6",1
positron_dummy,24601,38.036,0.384823,0.130729,"Dummy","PI+SIDIS",91.626,1,0.9952,1,"ps6",1
