run,category,target_raw,run_type_raw,BCM2_I,BCM2_Q,h_esing_Eff,comp_livetime,boil_corr,ps5,ps6,ps_choice,ps_factor,normyield,normyield_err
24428,signal,LD2,PI+SIDIS,7.95,13.322,0.9985,1.0,1.002777,-1.0,1.0,ps6,1.0,65.8098,2.86364
24429,signal,LD2,PI+SIDIS,8.084,14.429,0.9986,1.0,1.002824,-1.0,1.0,ps6,1.0,61.5848,2.71178
24430,signal,LD2,PI+SIDIS,7.776,13.083,0.9986,1.0,1.002716,-1.0,1.0,ps6,1.0,65.3304,2.87192
24431,signal,LD2,PI+SIDIS,7.921,13.507,0.9988,1.0,1.002767,-1.0,1.0,ps6,1.0,67.7143,2.86826
24432,signal,LD2,PI+SIDIS,7.911,13.335,0.9992,1.0,1.002763,-1.0,1.0,ps6,1.0,59.4069,2.75972
24433,signal,LD2,PI+SIDIS,8.055,15.061,0.9989,1.0,1.002814,-1.0,1.0,ps6,1.0,72.7193,2.76674
24434,signal,LD2,PI+SIDIS,8.065,14.318,0.9991,1.0,1.002817,-1.0,1.0,ps6,1.0,68.3402,2.7948
24435,signal,LD2,PI+SIDIS,8.075,14.434,0.999,1.0,1.002821,-1.0,1.0,ps6,1.0,66.9854,2.76207
24436,signal,LD2,PI+SIDIS,8.058,14.608,0.9987,1.0,1.002815,-1.0,1.0,ps6,1.0,64.7465,2.71114
24437,signal,LD2,PI+SIDIS,8.074,14.413,0.9986,1.0,1.00282,-1.0,1.0,ps6,1.0,66.673,2.76167
24501,signal,LD2,PI+SIDIS,7.963,12.653,0.9987,1.0,1.002781,-1.0,1.0,ps6,1.0,62.1564,2.86303
24502,signal,LD2,PI+SIDIS,8.026,13.912,0.9987,1.0,1.002803,-1.0,1.0,ps6,1.0,68.0196,2.82838
24503,signal,LD2,PI+SIDIS,8.161,14.564,0.9977,1.0,1.002851,-1.0,1.0,ps6,1.0,62.7281,2.70434
24504,signal,LD2,PI+SIDIS,8.007,13.205,0.9987,1.0,1.002797,-1.0,1.0,ps6,1.0,67.5769,2.90207
24505,signal,LD2,PI+SIDIS,8.049,13.874,0.9984,1.0,1.002812,-1.0,1.0,ps6,1.0,63.6513,2.78354
24506,signal,LD2,PI+SIDIS,8.156,14.322,0.9983,1.0,1.002849,-1.0,1.0,ps6,1.0,67.8071,2.79115
24507,signal,LD2,PI+SIDIS,8.036,13.541,0.9982,1.0,1.002807,-1.0,1.0,ps6,1.0,63.0782,2.81381
24564,positron,LD2,PI+SIDIS,8.063,22.901,0.9962,1.0,1.002816,-1.0,1.0,ps6,1.0,0.615125,0.458234
24610,positron,LD2,PI+SIDIS,8.009,23.325,0.997,1.0,1.002798,-1.0,1.0,ps6,1.0,2.03803,0.511257
24460,dummy,Dummy,PI+SIDIS,20.271,34.736,0.9987,1.0,1.0,-1.0,1.0,ps6,1.0,18.0415,0.993583
24461,dummy,Dummy,PI+SIDIS,18.571,9.852,0.9988,1.0,1.0,-1.0,1.0,ps6,1.0,21.3117,1.96925
24463,dummy,Dummy,PI+SIDIS,20.184,24.771,0.9985,1.0,1.0,-1.0,1.0,ps6,1.0,22.1366,1.25175
24464,dummy,Dummy,PI+SIDIS,20.387,35.203,0.9989,1.0,1.0,-1.0,1.0,ps6,1.0,18.9009,1.00749
24513,dummy,Dummy,PI+SIDIS,19.587,32.095,0.9979,1.0,1.0,-1.0,1.0,ps6,1.0,17.8544,1.04852
24514,dummy,Dummy,PI+SIDIS,19.894,34.199,0.9988,1.0,1.0,-1.0,1.0,ps6,1.0,20.2089,1.04273
24515,dummy,Dummy,PI+SIDIS,19.485,33.037,0.999,1.0,1.0,-1.0,1.0,ps6,1.0,20.4554,1.06301
24567,positron_dummy,Dummy,PI+SIDIS,19.848,58.641,0.9983,1.0,1.0,-1.0,1.0,ps6,1.0,0.489672,0.185515
24608,positron_dummy,Dummy,PI+SIDIS,19.48,57.617,0.9974,1.0,1.0,-1.0,1.0,ps6,1.0,0.448206,0.184416
