run,category,target_raw,run_type_raw,BCM2_I,BCM2_Q,h_esing_Eff,comp_livetime,boil_corr,ps5,ps6,ps_choice,ps_factor,normyield,normyield_err
24611,signal,LD2,PI+SIDIS,33.247,6.686,0.998,1.0,1.011613,-1.0,1.0,ps6,1.0,49.1285,3.42841
24612,signal,LD2,PI+SIDIS,38.607,69.538,0.9986,1.0,1.013485,-1.0,1.0,ps6,1.0,47.5662,1.04791
24613,signal,LD2,PI+SIDIS,37.769,68.34,0.9984,1.0,1.013193,-1.0,1.0,ps6,1.0,48.0221,1.05869
24614,signal,LD2,PI+SIDIS,36.268,65.437,0.9985,1.0,1.012668,-1.0,1.0,ps6,1.0,49.7948,1.09911
24615,signal,LD2,PI+SIDIS,38.531,67.148,0.9985,1.0,1.013459,-1.0,1.0,ps6,1.0,47.5324,1.0683
24616,signal,LD2,PI+SIDIS,39.451,66.697,0.9985,1.0,1.01378,-1.0,1.0,ps6,1.0,47.733,1.07194
24617,signal,LD2,PI+SIDIS,39.469,68.174,0.9986,1.0,1.013787,-1.0,1.0,ps6,1.0,47.7585,1.06525
24618,signal,LD2,PI+SIDIS,38.992,60.605,0.9986,1.0,1.01362,-1.0,1.0,ps6,1.0,48.4253,1.1321
24619,signal,LD2,PI+SIDIS,25.56,21.692,0.9984,1.0,1.008928,-1.0,1.0,ps6,1.0,39.3637,1.57298
24620,signal,LD2,PI+SIDIS,27.659,2.871,0.9997,1.0,1.009661,-1.0,1.0,ps6,1.0,46.5873,4.82196
24621,signal,LD2,PI+SIDIS,27.141,45.812,0.9983,1.0,1.00948,-1.0,1.0,ps6,1.0,46.9506,1.20967
24622,signal,LD2,PI+SIDIS,12.804,21.991,0.999,1.0,1.004472,-1.0,1.0,ps6,1.0,51.4282,1.67014
24666,signal,LD2,PI+SIDIS,40.978,91.799,0.9985,1.0,1.014314,-1.0,1.0,ps6,1.0,49.1453,0.924146
24667,signal,LD2,PI+SIDIS,38.045,61.065,0.9983,1.0,1.013289,-1.0,1.0,ps6,1.0,48.2695,1.12232
24668,signal,LD2,PI+SIDIS,39.576,71.187,0.9984,1.0,1.013824,-1.0,1.0,ps6,1.0,49.1043,1.04875
24669,signal,LD2,PI+SIDIS,38.904,71.803,0.9983,1.0,1.013589,-1.0,1.0,ps6,1.0,49.6455,1.04624
24670,signal,LD2,PI+SIDIS,36.047,65.257,0.9984,1.0,1.012591,-1.0,1.0,ps6,1.0,47.5094,1.08124
24671,signal,LD2,PI+SIDIS,40.04,68.536,0.9982,1.0,1.013986,-1.0,1.0,ps6,1.0,47.1451,1.05281
24672,signal,LD2,PI+SIDIS,27.486,61.967,0.9986,1.0,1.009601,-1.0,1.0,ps6,1.0,49.5398,1.0579
24673,signal,LD2,PI+SIDIS,14.006,25.782,0.9984,1.0,1.004892,-1.0,1.0,ps6,1.0,51.2076,1.55207
24641,dummy,Dummy,PI+SIDIS,34.499,52.972,0.9987,1.0,1.0,-1.0,1.0,ps6,1.0,15.2267,0.592931
24642,dummy,Dummy,PI+SIDIS,39.989,72.633,0.9986,1.0,1.0,-1.0,1.0,ps6,1.0,15.0685,0.506211
24643,dummy,Dummy,PI+SIDIS,36.131,56.253,0.999,1.0,1.0,-1.0,1.0,ps6,1.0,15.0285,0.570477
24684,dummy,Dummy,PI+SIDIS,36.892,64.884,0.9986,1.0,1.0,-1.0,1.0,ps6,1.0,15.0303,0.53582
24685,dummy,Dummy,PI+SIDIS,39.626,72.3,0.9982,1.0,1.0,-1.0,1.0,ps6,1.0,14.1547,0.492921
24686,dummy,Dummy,PI+SIDIS,40.217,69.115,0.9985,1.0,1.0,-1.0,1.0,ps6,1.0,14.2669,0.505173
