run,category,target_raw,run_type_raw,BCM2_I,BCM2_Q,h_esing_Eff,comp_livetime,boil_corr,ps5,ps6,ps_choice,ps_factor,normyield,normyield_err
24779,signal,LH2,PI+SIDIS,53.894,97.751,0.998,1.0,1.037945,-1.0,1.0,ps6,1.0,14.8745,0.422802
24780,signal,LH2,PI+SIDIS,47.821,60.61,0.9986,1.0,1.033778,1.0,-1.0,ps5,1.0,16.3733,0.556571
24781,signal,LH2,PI+SIDIS,52.939,92.57,0.9987,1.0,1.036787,-1.0,1.0,ps6,1.0,14.9344,0.434846
24782,signal,LH2,PI+SIDIS,46.318,98.896,0.9984,1.0,1.031908,-1.0,1.0,ps6,1.0,15.0017,0.42256
24783,signal,LH2,PI+SIDIS,43.637,78.708,0.9984,1.0,1.030232,-1.0,1.0,ps6,1.0,15.3252,0.477765
24784,signal,LH2,PI+SIDIS,53.964,92.435,0.9985,1.0,1.036885,-1.0,1.0,ps6,1.0,15.0701,0.437788
24785,signal,LH2,PI+SIDIS,42.865,78.869,0.9987,1.0,1.029916,-1.0,1.0,ps6,1.0,14.897,0.469795
24786,signal,LH2,PI+SIDIS,43.651,70.654,0.9984,1.0,1.030798,-1.0,1.0,ps6,1.0,14.6869,0.493566
24787,signal,LH2,PI+SIDIS,52.891,90.742,0.9986,1.0,1.037095,-1.0,1.0,ps6,1.0,14.8865,0.438355
24788,signal,LH2,PI+SIDIS,41.938,74.419,0.9985,1.0,1.029771,-1.0,1.0,ps6,1.0,14.964,0.485948
24789,signal,LH2,PI+SIDIS,46.515,79.316,0.9987,1.0,1.032958,-1.0,1.0,ps6,1.0,15.3143,0.47362
24790,signal,LH2,PI+SIDIS,35.352,62.624,0.9991,1.0,1.02546,-1.0,1.0,ps6,1.0,15.4027,0.525939
24791,signal,LH2,PI+SIDIS,18.052,31.356,0.9988,1.0,1.013174,-1.0,1.0,ps6,1.0,15.6532,0.728178
24803,signal,LH2,PI+SIDIS,43.14,75.258,0.9988,1.0,1.030801,-1.0,1.0,ps6,1.0,14.8876,0.482702
24804,signal,LH2,PI+SIDIS,47.887,85.72,0.999,1.0,1.0341,-1.0,1.0,ps6,1.0,14.626,0.449146
24805,signal,LH2,PI+SIDIS,54.781,103.75,0.9987,1.0,1.039288,-1.0,1.0,ps6,1.0,14.417,0.404736
24806,signal,LH2,PI+SIDIS,51.278,88.068,0.9988,1.0,1.037065,-1.0,1.0,ps6,1.0,14.4969,0.443225
24807,signal,LH2,PI+SIDIS,53.682,93.517,0.9982,1.0,1.038709,-1.0,1.0,ps6,1.0,15.2462,0.436722
24808,signal,LH2,PI+SIDIS,51.101,97.671,0.9983,1.0,1.036853,-1.0,1.0,ps6,1.0,14.3808,0.419626
24809,signal,LH2,PI+SIDIS,48.831,87.987,0.9984,1.0,1.034898,-1.0,1.0,ps6,1.0,14.8774,0.446204
24810,signal,LH2,PI+SIDIS,47.644,84.979,0.9986,1.0,1.034222,-1.0,1.0,ps6,1.0,15.1201,0.458949
24811,signal,LH2,PI+SIDIS,50.384,71.722,0.9985,1.0,1.036036,-1.0,1.0,ps6,1.0,14.0492,0.48454
24812,signal,LH2,PI+SIDIS,36.909,71.383,0.9983,1.0,1.026598,-1.0,1.0,ps6,1.0,14.6624,0.481984
24813,signal,LH2,PI+SIDIS,17.868,19.174,0.9986,1.0,1.013044,-1.0,1.0,ps6,1.0,17.0746,0.971298
24821,positron,LH2,PI+SIDIS,50.314,91.136,0.996,1.0,1.035683,-1.0,1.0,ps6,1.0,0.0927213,0.0537176
24822,positron,LH2,PI+SIDIS,50.749,90.586,0.9989,1.0,1.035281,-1.0,1.0,ps6,1.0,0.0985473,0.0575944
24823,positron,LH2,PI+SIDIS,51.635,100.11,0.9935,1.0,1.037162,-1.0,1.0,ps6,1.0,0.222443,0.0695627
24794,dummy,Dummy,PI+SIDIS,33.95,34.944,0.9987,1.0,1.0,-1.0,1.0,ps6,1.0,7.95338,0.503987
24795,dummy,Dummy,PI+SIDIS,37.738,54.041,0.999,1.0,1.0,-1.0,1.0,ps6,1.0,7.75823,0.400826
24796,dummy,Dummy,PI+SIDIS,40.605,4.633,1.0,1.0,1.0,-1.0,1.0,ps6,1.0,9.59433,1.49076
24797,dummy,Dummy,PI+SIDIS,37.852,65.136,0.9985,1.0,1.0,-1.0,1.0,ps6,1.0,8.20166,0.376064
24798,dummy,Dummy,PI+SIDIS,35.698,55.541,0.9984,1.0,1.0,-1.0,1.0,ps6,1.0,8.09222,0.403283
24814,dummy,Dummy,PI+SIDIS,38.007,67.503,0.9987,1.0,1.0,-1.0,1.0,ps6,1.0,7.48605,0.356474
24815,dummy,Dummy,PI+SIDIS,39.867,68.222,0.9986,1.0,1.0,-1.0,1.0,ps6,1.0,7.66696,0.356689
24816,dummy,Dummy,PI+SIDIS,39.33,67.532,0.9987,1.0,1.0,-1.0,1.0,ps6,1.0,7.68485,0.357302
24817,dummy,Dummy,PI+SIDIS,34.707,68.092,0.9991,1.0,1.0,-1.0,1.0,ps6,1.0,7.71753,0.356519
