run,category,target_raw,run_type_raw,BCM2_I,BCM2_Q,h_esing_Eff,comp_livetime,boil_corr,ps5,ps6,ps_choice,ps_factor,normyield,normyield_err
23980,signal,LD2,PI-SIDIS,17.528,11.468,0.9984,1.0,1.006123,-1.0,1.0,ps6,1.0,35.27,2.09786
23992,signal,LD2,PI-SIDIS,18.737,30.1,0.9989,1.0,1.006545,-1.0,1.0,ps6,1.0,36.3705,1.32654
23993,signal,LD2,PI-SIDIS,19.079,35.923,0.9985,1.0,1.006664,-1.0,1.0,ps6,1.0,36.606,1.22341
23994,signal,LD2,PI-SIDIS,19.151,42.106,0.9986,1.0,1.006689,-1.0,1.0,ps6,1.0,35.6274,1.11779
23995,signal,LD2,PI-SIDIS,18.938,27.38,0.9989,1.0,1.006615,-1.0,1.0,ps6,1.0,36.5447,1.3835
23996,signal,LD2,PI-SIDIS,13.928,25.925,0.9986,1.0,1.004865,-1.0,1.0,ps6,1.0,36.7201,1.36994
23998,signal,LD2,PI-SIDIS,9.732,15.979,0.9991,1.0,1.003399,-1.0,1.0,ps6,1.0,39.1626,1.74432
24019,signal,LD2,PI-SIDIS,19.627,32.852,0.9988,1.0,1.006856,-1.0,1.0,ps6,1.0,36.5235,1.26492
24020,signal,LD2,PI-SIDIS,19.488,29.205,0.9985,1.0,1.006807,-1.0,1.0,ps6,1.0,38.3713,1.37192
24021,signal,LD2,PI-SIDIS,19.539,33.424,0.9985,1.0,1.006825,-1.0,1.0,ps6,1.0,35.0969,1.23292
24022,signal,LD2,PI-SIDIS,19.557,33.906,0.9984,1.0,1.006831,-1.0,1.0,ps6,1.0,35.8131,1.24009
24023,signal,LD2,PI-SIDIS,14.396,5.098,0.9986,1.0,1.005029,-1.0,1.0,ps6,1.0,41.0629,3.2024
24024,signal,LD2,PI-SIDIS,13.961,23.848,0.9985,1.0,1.004877,-1.0,1.0,ps6,1.0,36.9031,1.42673
24026,signal,LD2,PI-SIDIS,9.805,17.605,0.9983,1.0,1.003425,-1.0,1.0,ps6,1.0,34.4039,1.56583
24060,signal,LD2,PI-SIDIS,18.758,30.042,0.9988,1.0,1.006552,-1.0,1.0,ps6,1.0,33.9671,1.29461
24061,signal,LD2,PI-SIDIS,20.099,35.7,0.9987,1.0,1.007021,-1.0,1.0,ps6,1.0,35.7798,1.20858
24062,signal,LD2,PI-SIDIS,19.819,34.4,0.9986,1.0,1.006923,-1.0,1.0,ps6,1.0,36.1179,1.23648
24063,signal,LD2,PI-SIDIS,19.085,30.486,0.9985,1.0,1.006666,-1.0,1.0,ps6,1.0,36.5917,1.3074
24064,signal,LD2,PI-SIDIS,13.648,22.613,0.9987,1.0,1.004767,-1.0,1.0,ps6,1.0,38.7323,1.48836
24065,signal,LD2,PI-SIDIS,9.824,15.879,0.9986,1.0,1.003432,-1.0,1.0,ps6,1.0,35.134,1.67476
24583,positron,LD2,PI-SIDIS,19.251,20.259,0.9945,1.0,1.006724,-1.0,1.0,ps6,1.0,-0.0168502,0.238298
23981,dummy,Dummy,PI-SIDIS,39.162,69.512,0.9989,1.0,1.0,-1.0,1.0,ps6,1.0,10.007,0.443638
23999,dummy,Dummy,PI-SIDIS,35.697,63.504,0.9989,1.0,1.0,-1.0,1.0,ps6,1.0,10.2353,0.470023
24032,dummy,Dummy,PI-SIDIS,33.964,69.189,0.9989,1.0,1.0,-1.0,1.0,ps6,1.0,9.89033,0.439812
24066,dummy,Dummy,PI-SIDIS,33.866,55.24,0.9986,1.0,1.0,-1.0,1.0,ps6,1.0,9.17602,0.480769
24084,dummy,Dummy,PI-SIDIS,34.904,62.601,0.9983,1.0,1.0,-1.0,1.0,ps6,1.0,9.88455,0.460928
24085,dummy,Dummy,PI-SIDIS,37.657,65.43,0.9988,1.0,1.0,-1.0,1.0,ps6,1.0,9.81471,0.445999
24086,dummy,Dummy,PI-SIDIS,37.475,66.526,0.9985,1.0,1.0,-1.0,1.0,ps6,1.0,9.67403,0.442712
24585,positron_dummy,Dummy,PI-SIDIS,35.815,31.812,0.9965,1.0,1.0,-1.0,1.0,ps6,1.0,0.321624,0.132609
24587,positron_dummy,Dummy,PI-SIDIS,34.654,23.751,0.9964,1.0,1.0,-1.0,1.0,ps6,1.0,0.363075,0.154723
