run,category,target_raw,run_type_raw,BCM2_I,BCM2_Q,h_esing_Eff,comp_livetime,boil_corr,ps5,ps6,ps_choice,ps_factor,normyield,normyield_err
24089,signal,LH2,PI-SIDIS,27.953,42.469,0.9986,1.0,1.020147,-1.0,1.0,ps6,1.0,19.7613,0.919409
24091,signal,LH2,PI-SIDIS,27.623,29.385,0.9986,1.0,1.020015,1.0,-1.0,ps5,1.0,23.8619,1.18874
24092,signal,LH2,PI-SIDIS,29.133,54.08,0.9985,1.0,1.020838,-1.0,1.0,ps6,1.0,18.5576,0.798471
24093,signal,LH2,PI-SIDIS,29.588,51.806,0.9987,1.0,1.02028,-1.0,1.0,ps6,1.0,20.0643,0.836178
24094,signal,LH2,PI-SIDIS,28.405,49.006,0.9988,1.0,1.019954,-1.0,1.0,ps6,1.0,19.5376,0.857303
24095,signal,LH2,PI-SIDIS,19.129,30.892,0.9976,1.0,1.013652,-1.0,1.0,ps6,1.0,19.5126,0.997591
24096,signal,LH2,PI-SIDIS,9.429,18.977,0.999,1.0,1.007127,-1.0,1.0,ps6,1.0,23.4765,1.24024
24130,signal,LH2,PI-SIDIS,28.862,58.856,0.9987,1.0,1.020515,-1.0,1.0,ps6,1.0,18.2623,0.761817
24131,signal,LH2,PI-SIDIS,29.413,51.884,0.9988,1.0,1.020679,-1.0,1.0,ps6,1.0,18.9099,0.814632
24132,signal,LH2,PI-SIDIS,27.99,38.499,0.9987,1.0,1.019554,-1.0,1.0,ps6,1.0,18.8313,0.948011
24133,signal,LH2,PI-SIDIS,27.87,53.026,0.9986,1.0,1.019481,-1.0,1.0,ps6,1.0,18.6629,0.809462
24134,signal,LH2,PI-SIDIS,20.142,37.203,0.9981,1.0,1.014392,-1.0,1.0,ps6,1.0,20.2714,0.917499
24135,signal,LH2,PI-SIDIS,9.979,17.553,0.999,1.0,1.007517,-1.0,1.0,ps6,1.0,18.6248,1.17522
24150,signal,LH2,PI-SIDIS,30.318,54.941,0.9987,1.0,1.019925,-1.0,1.0,ps6,1.0,19.9654,0.810757
24151,signal,LH2,PI-SIDIS,30.22,56.192,0.9987,1.0,1.020118,-1.0,1.0,ps6,1.0,18.5779,0.784901
24153,signal,LH2,PI-SIDIS,29.633,53.631,0.9983,1.0,-999.0,-1.0,1.0,ps6,1.0,18.2641,0.794195
24155,signal,LH2,PI-SIDIS,30.267,50.612,0.9991,1.0,-999.0,-1.0,1.0,ps6,1.0,19.5361,0.836918
24156,signal,LH2,PI-SIDIS,20.337,36.463,0.9988,1.0,1.01418,-1.0,1.0,ps6,1.0,19.5259,0.913823
24157,signal,LH2,PI-SIDIS,9.927,16.766,0.9994,1.0,1.007468,-1.0,1.0,ps6,1.0,20.0473,1.23331
24178,signal,LH2,PI-SIDIS,27.11,45.115,0.9983,1.0,1.018773,-1.0,1.0,ps6,1.0,17.8934,0.86312
24179,signal,LH2,PI-SIDIS,29.402,53.845,0.9984,1.0,1.020565,-1.0,1.0,ps6,1.0,18.8398,0.803987
24593,positron,LH2,PI-SIDIS,28.449,58.346,0.9972,1.0,1.021588,-1.0,1.0,ps6,1.0,0.446372,0.175385
24594,positron,LH2,PI-SIDIS,29.546,69.203,0.9974,1.0,1.021963,-1.0,1.0,ps6,1.0,0.286445,0.14435
24116,dummy,Dummy,PI-SIDIS,32.264,57.676,0.9986,1.0,1.0,-1.0,1.0,ps6,1.0,11.7746,0.605485
24117,dummy,Dummy,PI-SIDIS,33.201,58.291,0.9985,1.0,1.0,-1.0,1.0,ps6,1.0,12.9146,0.617307
24171,dummy,Dummy,PI-SIDIS,31.089,49.687,0.9987,1.0,1.0,-1.0,1.0,ps6,1.0,11.5358,0.650056
24172,dummy,Dummy,PI-SIDIS,33.395,60.867,0.9989,1.0,1.0,-1.0,1.0,ps6,1.0,12.0263,0.597103
24595,positron_dummy,Dummy,PI-SIDIS,31.353,69.386,0.9977,1.0,1.0,-1.0,1.0,ps6,1.0,0.604391,0.145939
