run,category,target_raw,run_type_raw,BCM2_I,BCM2_Q,h_esing_Eff,comp_livetime,boil_corr,ps5,ps6,ps_choice,ps_factor,normyield,normyield_err
24960,signal,LD2,PI+SIDIS,8.437,2.497,0.9985,1.0,1.002947,-1.0,1.0,ps6,1.0,487.952,17.277
24961,signal,LD2,PI+SIDIS,8.188,14.735,0.9985,1.0,1.00286,-1.0,1.0,ps6,1.0,512.64,7.14776
24962,signal,LD2,PI+SIDIS,8.081,13.816,0.9985,1.0,1.002823,-1.0,1.0,ps6,1.0,499.846,7.30138
24964,signal,LD2,PI+SIDIS,7.914,14.873,0.9982,1.0,1.002764,-1.0,1.0,ps6,1.0,521.809,7.15715
24965,signal,LD2,PI+SIDIS,3.917,9.197,0.9988,1.0,1.001368,-1.0,1.0,ps6,1.0,537.523,8.56682
24966,signal,LD2,PI+SIDIS,3.98,7.413,0.9986,1.0,1.00139,-1.0,1.0,ps6,1.0,514.84,9.36619
24998,signal,LD2,PI+SIDIS,7.987,15.896,0.9984,1.0,1.00279,-1.0,1.0,ps6,1.0,511.735,6.83144
24999,signal,LD2,PI+SIDIS,7.992,15.687,0.9984,1.0,1.002792,-1.0,1.0,ps6,1.0,498.264,6.8418
25000,signal,LD2,PI+SIDIS,3.971,7.825,0.9984,1.0,1.001387,-1.0,1.0,ps6,1.0,524.107,9.2163
25001,signal,LD2,PI+SIDIS,3.996,7.169,0.9981,1.0,1.001396,-1.0,1.0,ps6,1.0,523.341,9.60188
25007,signal,LD2,PI+SIDIS,8.052,14.904,0.9984,1.0,1.002813,-1.0,1.0,ps6,1.0,518.907,7.12692
25008,signal,LD2,PI+SIDIS,7.888,1.961,0.9988,1.0,1.002755,-1.0,1.0,ps6,1.0,486.699,19.1453
24981,dummy,Dummy,PI+SIDIS,19.742,36.622,0.9985,1.0,1.0,-1.0,1.0,ps6,1.0,153.412,2.48653
24982,dummy,Dummy,PI+SIDIS,20.006,37.259,0.9983,1.0,1.0,-1.0,1.0,ps6,1.0,162.819,2.52697
25004,dummy,Dummy,PI+SIDIS,19.975,38.314,0.9984,1.0,1.0,-1.0,1.0,ps6,1.0,153.245,2.43969
25005,dummy,Dummy,PI+SIDIS,20.133,34.3,0.9983,1.0,1.0,-1.0,1.0,ps6,1.0,157.177,2.59801
