run,category,target_raw,run_type_raw,BCM2_I,BCM2_Q,h_esing_Eff,comp_livetime,boil_corr,ps5,ps6,ps_choice,ps_factor,normyield,normyield_err
24913,signal,LH2,PI+SIDIS,36.988,71.284,0.9984,1.0,1.026806,-1.0,1.0,ps6,1.0,273.823,2.34167
24914,signal,LH2,PI+SIDIS,38.346,28.006,0.9984,1.0,1.027826,-1.0,1.0,ps6,1.0,276.582,3.75428
24915,signal,LH2,PI+SIDIS,36.572,44.598,0.9984,1.0,1.026717,-1.0,1.0,ps6,1.0,277.447,2.97312
24916,signal,LH2,PI+SIDIS,37.744,42.156,0.9982,1.0,1.026963,1.0,-1.0,ps5,1.0,300.471,3.1859
24917,signal,LH2,PI+SIDIS,24.059,5.648,0.9982,1.0,1.017447,-1.0,1.0,ps6,1.0,273.498,7.89588
24920,signal,LH2,PI+SIDIS,24.862,48.252,0.9985,1.0,1.018072,-1.0,1.0,ps6,1.0,282.026,2.74018
24921,signal,LH2,PI+SIDIS,12.745,23.492,0.9984,1.0,1.009363,-1.0,1.0,ps6,1.0,280.724,3.72229
24948,signal,LH2,PI+SIDIS,35.994,80.201,0.9984,1.0,1.02603,-1.0,1.0,ps6,1.0,272.16,2.19393
24949,signal,LH2,PI+SIDIS,37.802,71.661,0.9984,1.0,1.027313,-1.0,1.0,ps6,1.0,276.693,2.34224
24950,signal,LH2,PI+SIDIS,25.106,47.622,0.9986,1.0,1.018223,-1.0,1.0,ps6,1.0,279.059,2.75186
24951,signal,LH2,PI+SIDIS,12.417,27.474,0.9986,1.0,1.009103,-1.0,1.0,ps6,1.0,275.336,3.40448
24924,dummy,Dummy,PI+SIDIS,37.695,74.209,0.9984,1.0,1.0,-1.0,1.0,ps6,1.0,144.74,1.61953
24952,dummy,Dummy,PI+SIDIS,39.088,89.339,0.9984,1.0,1.0,-1.0,1.0,ps6,1.0,142.427,1.4733
