run,category,target_raw,run_type_raw,BCM4A_Q,h_esing_Eff,comp_livetime,electr_deadtime,fan_mean,boil_corr,ps5,ps6,ps_choice,ps_factor
25499,signal,LD2,PI-SIDIS,25.241,0.9984,1.0,99.953,48.2475,1.004892,-1.0,1.0,ps6,1.0
25500,signal,LD2,PI-SIDIS,23.582,0.9983,1.0,99.953,48.6507,1.004865,-1.0,1.0,ps6,1.0
25501,signal,LD2,PI-SIDIS,25.621,0.9983,1.0,99.9527,49.1877,1.004886,-1.0,1.0,ps6,1.0
25502,signal,LD2,PI-SIDIS,25.729,0.9983,1.0,99.9528,49.9655,1.004902,-1.0,1.0,ps6,1.0
25503,signal,LD2,PI-SIDIS,25.169,0.9983,1.0,99.9529,49.636,1.004879,-1.0,1.0,ps6,1.0
25504,signal,LD2,PI-SIDIS,12.682,0.9986,1.0,99.9765,48.3955,1.002449,-1.0,1.0,ps6,1.0
25505,signal,LD2,PI-SIDIS,12.672,0.9985,1.0,99.9765,47.5969,1.002451,-1.0,1.0,ps6,1.0
25515,signal,LD2,PI-SIDIS,3.009,0.9982,1.0,99.9603,47.8559,1.003833,-1.0,1.0,ps6,1.0
25516,signal,LD2,PI-SIDIS,20.769,0.9981,1.0,99.9564,48.4852,1.004477,-1.0,1.0,ps6,1.0
25517,signal,LD2,PI-SIDIS,21.62,0.9984,1.0,99.9561,49.6879,1.004538,-1.0,1.0,ps6,1.0
25518,signal,LD2,PI-SIDIS,24.27,0.9983,1.0,99.956,48.6887,1.004604,-1.0,1.0,ps6,1.0
25519,signal,LD2,PI-SIDIS,22.94,0.9983,1.0,99.9562,46.3498,1.004538,-1.0,1.0,ps6,1.0
25520,signal,LD2,PI-SIDIS,24.856,0.9985,1.0,99.9561,46.3093,1.004551,-1.0,1.0,ps6,1.0
25514,dummy,Dummy,PI-SIDIS,34.625,0.9983,1.0,99.9761,47.5306,1.0,-1.0,1.0,ps6,1.0
