run,category,target_raw,run_type_raw,BCM4A_Q,h_esing_Eff,comp_livetime,electr_deadtime,fan_mean,boil_corr,ps5,ps6,ps_choice,ps_factor
25146,signal,LH2,PI-SIDIS,74.316,0.9981,1.0,99.9863,33.6976,1.029147,-1.0,1.0,ps6,1.0
25147,signal,LH2,PI-SIDIS,20.292,0.9986,1.0,99.9869,32.0253,1.028008,-1.0,1.0,ps6,1.0
25148,signal,LH2,PI-SIDIS,63.446,0.9984,1.0,99.9865,31.2866,1.030826,-1.0,1.0,ps6,1.0
25149,signal,LH2,PI-SIDIS,59.091,0.9984,1.0,99.9861,31.0758,1.033592,-1.0,1.0,ps6,1.0
25150,signal,LH2,PI-SIDIS,81.325,0.9983,1.0,99.9858,34.8826,1.030539,1.0,-1.0,ps5,1.0
25151,signal,LH2,PI-SIDIS,45.601,0.9986,1.0,99.9927,34.9272,1.0179,-1.0,1.0,ps6,1.0
25167,signal,LH2,PI-SIDIS,74.975,0.9981,1.0,99.9868,33.9422,1.030913,-1.0,1.0,ps6,1.0
25168,signal,LH2,PI-SIDIS,86.24,0.9984,1.0,99.9868,35.8066,1.029197,-1.0,1.0,ps6,1.0
25169,signal,LH2,PI-SIDIS,73.459,0.9982,1.0,99.987,33.9977,1.030039,-1.0,1.0,ps6,1.0
25170,signal,LH2,PI-SIDIS,45.486,0.9987,1.0,99.9926,34.5396,1.018008,-1.0,1.0,ps6,1.0
25154,dummy,Dummy,PI-SIDIS,64.04,0.9984,1.0,99.991,33.0639,1.0,-1.0,1.0,ps6,1.0
25171,dummy,Dummy,PI-SIDIS,59.11,0.9983,1.0,99.991,35.9364,1.0,-1.0,1.0,ps6,1.0
