run,category,target_raw,run_type_raw,BCM4A_Q,h_esing_Eff,comp_livetime,electr_deadtime,fan_mean,boil_corr,ps5,ps6,ps_choice,ps_factor
24097,signal,LD2,PI-SIDIS,1.699,1.0,1.0,99.9543,41.678,1.005094,-1.0,1.0,ps6,1.0
24098,signal,LD2,PI-SIDIS,22.766,0.9985,1.0,99.9561,40.736,1.004846,-1.0,1.0,ps6,1.0
24099,signal,LD2,PI-SIDIS,24.083,0.9987,1.0,99.9562,41.7999,1.004841,-1.0,1.0,ps6,1.0
24100,signal,LD2,PI-SIDIS,20.63,0.9989,1.0,99.9565,41.6491,1.004736,-1.0,1.0,ps6,1.0
24101,signal,LD2,PI-SIDIS,24.118,0.999,1.0,99.9569,41.8569,1.004763,-1.0,1.0,ps6,1.0
24103,signal,LD2,PI-SIDIS,17.341,0.999,1.0,99.9688,-999.0,1.00345,-1.0,1.0,ps6,1.0
24104,signal,LD2,PI-SIDIS,31.557,0.9988,1.0,99.9562,38.9455,1.004786,-1.0,1.0,ps6,1.0
24110,signal,LD2,PI-SIDIS,21.732,0.9984,1.0,99.9563,37.1125,1.004754,-1.0,1.0,ps6,1.0
24111,signal,LD2,PI-SIDIS,22.302,0.9987,1.0,99.9555,37.7673,1.004917,-1.0,1.0,ps6,1.0
24112,signal,LD2,PI-SIDIS,24.536,0.9984,1.0,99.9554,39.4078,1.004939,-1.0,1.0,ps6,1.0
24113,signal,LD2,PI-SIDIS,16.172,0.999,1.0,99.9714,39.253,1.003162,-1.0,1.0,ps6,1.0
24158,signal,LD2,PI-SIDIS,25.855,0.9985,1.0,99.9557,37.1361,1.004934,-1.0,1.0,ps6,1.0
24159,signal,LD2,PI-SIDIS,24.661,0.9988,1.0,99.9558,35.817,1.004848,-1.0,1.0,ps6,1.0
24160,signal,LD2,PI-SIDIS,25.573,0.9988,1.0,99.9554,34.6169,1.004983,-1.0,1.0,ps6,1.0
24161,signal,LD2,PI-SIDIS,23.803,0.999,1.0,99.9554,35.2064,1.004926,-1.0,1.0,ps6,1.0
24185,signal,LD2,PI-SIDIS,23.477,0.9988,1.0,99.9558,38.2995,1.004906,-1.0,1.0,ps6,1.0
24116,dummy,Dummy,PI-SIDIS,58.21,0.9986,1.0,99.9597,36.1319,1.0,-1.0,1.0,ps6,1.0
24117,dummy,Dummy,PI-SIDIS,58.525,0.9985,1.0,99.9596,37.1016,1.0,-1.0,1.0,ps6,1.0
24171,dummy,Dummy,PI-SIDIS,49.843,0.9987,1.0,99.9598,36.6107,1.0,-1.0,1.0,ps6,1.0
24172,dummy,Dummy,PI-SIDIS,60.898,0.9989,1.0,99.9592,36.8069,1.0,-1.0,1.0,ps6,1.0
24591,positron,LD2,PI-SIDIS,36.232,0.9973,1.0,99.9521,32.6129,1.005357,-1.0,1.0,ps6,1.0
24592,positron,LD2,PI-SIDIS,32.894,0.9961,1.0,99.9523,30.9447,1.005173,-1.0,1.0,ps6,1.0
24595,positron_dummy,Dummy,PI-SIDIS,69.579,0.9977,1.0,99.9588,34.2746,1.0,-1.0,1.0,ps6,1.0
