run,category,target_raw,run_type_raw,BCM4A_Q,h_esing_Eff,comp_livetime,electr_deadtime,fan_mean,boil_corr,ps5,ps6,ps_choice,ps_factor
25391,signal,LH2,HMSDIS,26583.747,0.9984,0.99733,99.6271,50.3394,1.01656,-1.0,-1.0,ps5,-1.0
25396,signal,LH2,HMSDIS,9539.782,0.9984,0.99368,99.9429,-999.0,-999.0,-1.0,-1.0,ps5,-1.0
25397,signal,LH2,HMSDIS,6470.777,0.9984,1.0,99.8854,-999.0,-999.0,-1.0,-1.0,ps5,-1.0
25399,signal,LH2,HMSDIS,8106.179,0.9985,0.99752,99.8015,52.099,1.017884,-1.0,-1.0,ps5,-1.0
25400,signal,LH2,HMSDIS,12454.556,0.9984,0.99942,99.7404,52.0579,1.020123,-1.0,-1.0,ps5,-1.0
25401,signal,LH2,HMSDIS,12583.886,0.9983,0.99797,99.6559,51.9198,1.020988,-1.0,-1.0,ps5,-1.0
25402,signal,LH2,HMSDIS,14522.608,0.9983,0.99886,99.6615,42.2796,1.026655,-1.0,-1.0,ps5,-1.0
25403,signal,LH2,HMSDIS,10531.165,0.9985,0.99807,99.7471,42.1312,1.024357,-1.0,-1.0,ps5,-1.0
25404,signal,LH2,HMSDIS,11075.209,0.9984,1.0,99.8026,41.2804,1.021395,-1.0,-1.0,ps5,-1.0
25405,signal,LH2,HMSDIS,5261.579,0.9985,1.0,99.8893,40.4261,1.013895,-1.0,-1.0,ps5,-1.0
25406,signal,LH2,HMSDIS,3165.982,0.9985,0.99463,99.9459,40.3708,1.007324,-1.0,-1.0,ps5,-1.0
25407,signal,LH2,HMSDIS,3512.259,0.9986,0.99343,99.9463,35.2328,1.007239,-1.0,-1.0,ps5,-1.0
25408,signal,LH2,HMSDIS,3282.028,0.9985,0.9971,99.8921,35.9496,1.012473,-1.0,-1.0,ps5,-1.0
25409,signal,LH2,HMSDIS,7576.946,0.9983,0.99749,99.805,36.0569,1.023875,-1.0,-1.0,ps5,-1.0
25410,signal,LH2,HMSDIS,11498.798,0.9982,0.99836,99.7454,35.5323,1.030042,-1.0,-1.0,ps5,-1.0
25411,signal,LH2,HMSDIS,16134.216,0.9983,0.99807,99.6667,35.4914,1.038006,-1.0,-1.0,ps5,-1.0
25412,signal,LH2,HMSDIS,16500.3,0.9984,0.99814,99.6756,27.4782,1.059809,-1.0,-1.0,ps5,-1.0
25413,signal,LH2,HMSDIS,13247.379,0.9984,1.0,99.7506,28.6954,1.038422,-1.0,-1.0,ps5,-1.0
25414,signal,LH2,HMSDIS,9988.041,0.9985,0.99788,99.8021,36.2875,1.023804,-1.0,-1.0,ps5,-1.0
25415,signal,LH2,HMSDIS,5932.779,0.9985,0.99665,99.8899,33.4727,1.014414,-1.0,-1.0,ps5,-1.0
25416,signal,LH2,HMSDIS,2442.904,0.9985,0.99329,99.9454,33.2618,1.007115,-1.0,-1.0,ps5,-1.0
25417,signal,LH2,HMSDIS,2812.135,0.9984,0.99323,99.9443,24.5847,1.006067,-1.0,-1.0,ps5,-1.0
25418,signal,LH2,HMSDIS,5146.552,0.9985,0.99656,99.8878,26.026,1.014339,-1.0,-1.0,ps5,-1.0
25420,signal,LH2,HMSDIS,7760.582,0.9983,1.0,99.8124,24.4835,1.02711,-1.0,-1.0,ps5,-1.0
25421,signal,LH2,HMSDIS,12846.403,0.9982,0.99814,99.7517,24.6834,1.044546,-1.0,-1.0,ps5,-1.0
25422,signal,LH2,HMSDIS,16061.223,0.9983,0.99904,99.6814,22.4737,1.078604,-1.0,-1.0,ps5,-1.0
