run,category,target_raw,run_type_raw,BCM4A_Q,h_esing_Eff,comp_livetime,electr_deadtime,fan_mean,boil_corr,ps5,ps6,ps_choice,ps_factor
24442,signal,LH2,PI+SIDIS,28.988,0.9985,1.0,99.9552,35.5482,1.01174,-1.0,1.0,ps6,1.0
24443,signal,LH2,PI+SIDIS,27.122,0.9987,1.0,99.9554,33.0511,1.011644,1.0,-1.0,ps5,1.0
24444,signal,LH2,PI+SIDIS,26.721,0.999,1.0,99.9556,32.7687,1.011595,-1.0,1.0,ps6,1.0
24445,signal,LH2,PI+SIDIS,4.656,0.999,1.0,99.9554,33.013,1.011864,-1.0,1.0,ps6,1.0
24446,signal,LH2,PI+SIDIS,15.218,0.9985,1.0,99.9556,33.0345,1.011696,-1.0,1.0,ps6,1.0
24447,signal,LH2,PI+SIDIS,24.746,0.9985,1.0,99.9556,32.8622,1.011643,-1.0,1.0,ps6,1.0
24448,signal,LH2,PI+SIDIS,9.989,0.9989,1.0,99.9554,31.6505,1.0118,-1.0,1.0,ps6,1.0
24449,signal,LH2,PI+SIDIS,28.58,0.999,1.0,99.9553,31.5215,1.011432,-1.0,1.0,ps6,1.0
24450,signal,LH2,PI+SIDIS,28.95,0.9985,1.0,99.9555,31.7893,1.011605,-1.0,1.0,ps6,1.0
24451,signal,LH2,PI+SIDIS,26.477,0.9986,1.0,99.9556,31.6076,1.01162,-1.0,1.0,ps6,1.0
24452,signal,LH2,PI+SIDIS,29.761,0.9988,1.0,99.9552,31.8875,1.011883,-1.0,1.0,ps6,1.0
24453,signal,LH2,PI+SIDIS,28.407,0.9987,1.0,99.9553,31.6785,1.011701,-1.0,1.0,ps6,1.0
24454,signal,LH2,PI+SIDIS,15.659,0.9988,1.0,99.9777,31.6554,1.005789,-1.0,1.0,ps6,1.0
24508,signal,LH2,PI+SIDIS,19.254,0.999,1.0,99.9553,32.8862,1.011575,-1.0,1.0,ps6,1.0
24509,signal,LH2,PI+SIDIS,28.252,0.9984,1.0,99.9553,29.435,1.01163,-1.0,1.0,ps6,1.0
24510,signal,LH2,PI+SIDIS,25.65,0.9987,1.0,99.9553,29.478,1.011481,-1.0,1.0,ps6,1.0
24511,signal,LH2,PI+SIDIS,29.202,0.9988,1.0,99.9553,30.6241,1.011802,-1.0,1.0,ps6,1.0
24512,signal,LH2,PI+SIDIS,15.586,0.9983,1.0,99.9775,32.1023,1.005902,-1.0,1.0,ps6,1.0
24460,dummy,Dummy,PI+SIDIS,35.045,0.9987,1.0,99.9533,36.6383,1.0,-1.0,1.0,ps6,1.0
24461,dummy,Dummy,PI+SIDIS,9.954,0.9988,1.0,99.954,36.9656,1.0,-1.0,1.0,ps6,1.0
24463,dummy,Dummy,PI+SIDIS,24.815,0.9985,1.0,99.9533,-999.0,1.0,-1.0,1.0,ps6,1.0
24464,dummy,Dummy,PI+SIDIS,35.294,0.9989,1.0,99.9532,35.0072,1.0,-1.0,1.0,ps6,1.0
24513,dummy,Dummy,PI+SIDIS,32.179,0.9979,1.0,99.9535,35.63,1.0,-1.0,1.0,ps6,1.0
24514,dummy,Dummy,PI+SIDIS,34.404,0.9988,1.0,99.9535,34.4746,1.0,-1.0,1.0,ps6,1.0
24515,dummy,Dummy,PI+SIDIS,33.372,0.999,1.0,99.9535,33.3263,1.0,-1.0,1.0,ps6,1.0
24566,positron,LH2,PI+SIDIS,44.126,0.9951,1.0,99.9554,-999.0,-999.0,-1.0,1.0,ps6,1.0
24609,positron,LH2,PI+SIDIS,45.107,0.9948,1.0,99.9556,31.4465,1.01143,-1.0,1.0,ps6,1.0
24567,positron_dummy,Dummy,PI+SIDIS,59.099,0.9983,1.0,99.9533,-999.0,1.0,-1.0,1.0,ps6,1.0
24608,positron_dummy,Dummy,PI+SIDIS,57.941,0.9974,1.0,99.9535,32.2163,1.0,-1.0,1.0,ps6,1.0
