run,spec,run_type,target,hms_p,shms_p,fit_variable,all_events,selected_events,fit_mean,fit_sigma,fit_entries,status
27122,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,314478,13288,51.4195,0.439435,13288,OK
27123,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,293272,12323,51.4169,0.42218,12323,OK
27124,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,315077,13294,51.3934,0.447437,13294,OK
27125,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,268049,11569,51.4083,0.418525,11569,OK
27126,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,125156,5345,51.3796,0.433834,5345,OK
27127,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,451933,19347,51.3977,0.421355,19347,OK
27128,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,102529,4306,51.4511,0.485426,4306,OK
27129,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,517439,21919,51.4109,0.428513,21919,OK
27130,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,306662,13030,51.3055,0.431878,13030,OK
27131,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,321559,13609,51.2829,0.439326,13609,OK
27132,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,763481,2071,51.2566,0.386178,2071,OK
27133,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,3394078,9289,51.3453,0.415523,9289,OK
27135,coin,PI-SIDIS,Dummy,-1.165,-2.766,CTime.ePiCoinTime_ROC2,122382,4408,51.3102,0.375679,4408,OK
27136,coin,PI-SIDIS,Dummy,-1.165,-2.766,CTime.ePiCoinTime_ROC2,121295,4316,51.3426,0.450654,4316,OK
27137,coin,PI-SIDIS,Dummy,-1.165,-2.766,CTime.ePiCoinTime_ROC2,119580,4365,51.3675,0.386707,4365,OK
27139,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,287429,11782,51.2712,0.423398,11782,OK
27140,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,308880,12946,51.2659,0.399803,12946,OK
27141,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,314295,13261,51.331,0.417531,13261,OK
27142,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,319811,13399,51.3174,0.41308,13399,OK
27143,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,311781,13032,,,13032,FIT_FAILED
27144,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,307212,12811,51.2655,0.400297,12811,OK
27145,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,280256,11698,51.3377,0.43294,11698,OK
27146,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,353716,14868,51.2884,0.416284,14868,OK
27147,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,316450,13315,51.2842,0.405458,13315,OK
27148,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,72673,2906,51.2386,0.392188,2906,OK
27149,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,195168,8237,51.293,0.417694,8237,OK
