run,dp_idx,dp_label,dp_lo,dp_hi,var,norm_win_lo,norm_win_hi,intD_win,intS_win,sim_scale,entriesD,entriesS,muD,muD_err,sigD,sigD_err,statusD,chi2D,ndfD,muS,muS_err,sigS,sigS_err,statusS,chi2S,ndfS,dmu,dmu_err
23839,0,full,-10.000000,20.000000,W,0.904549,1.004675,61272.000000,200.397672,305.752055,90825.000000,95136.000000,0.951909,0.000094,0.021192,0.000096,0,1083.063603,11,0.945482,0.000059,0.013799,0.000051,0,4286.492015,11,0.006427,0.000111
23839,0,full,-10.000000,20.000000,Em,-0.001442,0.027924,50896.000000,177.083188,287.412943,90825.000000,95136.000000,0.012744,0.000036,0.006801,0.000032,0,1665.743260,12,0.005632,0.000016,0.003464,0.000016,0,6221.549064,12,0.007113,0.000040
23839,0,full,-10.000000,20.000000,Pmz,-0.050532,0.020578,60971.000000,203.219960,300.024663,90825.000000,95136.000000,-0.010819,0.000046,0.009520,0.000046,0,4959.727178,8,-0.005253,0.000027,0.006067,0.000020,0,7609.056549,8,-0.005566,0.000053
23839,0,full,-10.000000,20.000000,Pmy,-0.023882,0.037385,76027.000000,259.091408,293.436979,90825.000000,95136.000000,0.006542,0.000039,0.010365,0.000036,0,1193.033953,7,-0.000725,0.000022,0.006433,0.000017,0,65.198938,7,0.007267,0.000045
23839,1,b1,-2.000000,-1.000000,W,0.898490,1.000465,8926.000000,40.697518,219.325413,12965.000000,21789.000000,0.947014,0.000276,0.022308,0.000276,0,242.873650,11,0.946742,0.000131,0.015121,0.000101,0,901.313936,11,0.000272,0.000306
23839,1,b1,-2.000000,-1.000000,Em,-0.002634,0.024757,6442.000000,34.374339,187.407238,12965.000000,21789.000000,0.009960,0.000079,0.005286,0.000076,0,289.950581,10,0.006029,0.000031,0.003446,0.000031,0,1440.424424,10,0.003930,0.000085
23839,1,b1,-2.000000,-1.000000,Pmz,-0.058040,0.022067,8510.000000,42.355573,200.918073,12965.000000,21789.000000,-0.011090,0.000145,0.009944,0.000157,0,1518.590147,11,-0.005869,0.000057,0.006607,0.000044,0,2887.214341,10,-0.005221,0.000156
23839,1,b1,-2.000000,-1.000000,Pmy,-0.025670,0.033907,10806.000000,49.076705,220.185930,12965.000000,21789.000000,0.004258,0.000095,0.009535,0.000092,0,273.720115,7,-0.000225,0.000042,0.006054,0.000031,0,5.364760,5,0.004483,0.000104
23839,2,b2,-1.000000,0.000000,W,0.899685,1.000778,16234.000000,61.521432,263.875523,19974.000000,24193.000000,0.947373,0.000191,0.021402,0.000184,0,336.873285,11,0.945541,0.000103,0.013588,0.000081,0,1064.410073,11,0.001832,0.000217
23839,2,b2,-1.000000,0.000000,Em,-0.002547,0.024324,13527.000000,53.841408,251.237857,19974.000000,24193.000000,0.009980,0.000057,0.005502,0.000052,0,508.237278,10,0.005532,0.000026,0.003217,0.000026,0,1823.182644,10,0.004448,0.000062
