setting,dp_idx,dp_label,n_rows,n_runs,dthe,dthe_err,dpe,dpe_err,dthp,dthp_err,dpp,dpp_err,chi2,ndf,chi2_per_ndf,predW,predEm,predPmz,predPmy
A,0,full,36,9,-38.3983,1.18802,61.158,1.93864,81.5472,2.7649,-212.076,6.51508,3198.85,32,99.9641,13.4656,13.5839,-9.87447,9.11356
A,1,b1,36,9,-61.9654,3.00347,100.44,4.90091,139.815,6.98946,-342.728,16.4723,695.488,32,21.734,6.67658,10.6201,-9.88646,6.09313
A,2,b2,36,9,-57.257,2.14622,92.4958,3.50178,127.215,4.99373,-316.269,11.7694,1325.91,32,41.4347,8.86466,11.1441,-9.4697,8.31853
A,3,b3,36,9,-66.7254,2.141,107.257,3.4938,146.756,4.98296,-367.034,11.7417,1162.01,32,36.3129,14.9369,13.5365,-9.74244,10.0188
A,4,b4,36,9,5.17817,2.77112,-10.8991,4.52207,-23.8355,6.4495,28.0493,15.197,767.543,32,23.9857,21.0416,18.0441,-10.7889,12.6673
B,0,full,12,3,-305.892,19.2783,612.669,38.7509,399.454,25.5326,-956.374,60.4109,4.04627,8,0.505784,19.9121,3.93473,-0.755711,11.7745
B,1,b1,12,3,-51.1755,44.6197,101.59,89.6796,63.6656,59.0844,-157.899,139.815,8.17108,8,1.02139,11.1611,-1.82774,4.38013,9.89227
B,2,b2,12,3,-203.764,44.9084,408.249,90.2626,265.23,59.4698,-636.787,140.723,16.0232,8,2.0029,12.1214,0.850109,1.03734,11.62
B,3,b3,12,3,-286.139,42.1831,573.291,84.7875,373.326,55.8638,-894.656,132.186,9.50839,8,1.18855,17.0151,2.7752,-0.174292,13.0589
B,4,b4,12,3,-190.009,39.6706,379.572,79.7388,245.143,52.5381,-593.316,124.313,4.52142,8,0.565178,20.9438,5.35962,-1.34289,14.192
B,5,b5,12,3,-216.152,42.1224,431.538,84.6674,278.799,55.7857,-675.382,131.993,8.4281,8,1.05351,26.0478,9.13085,-4.1013,15.3062
