setting,dp_idx,dp_label,dp_lo,dp_hi,var,n_runs_all,n_runs_valid,n_rows_all,n_valid,n_invalid,mean_dmu_MeV,rms_dmu_MeV,sem_dmu_MeV,min_dmu_MeV,max_dmu_MeV,mean_input_dmuErr_MeV,summary_status
A,0,full,-10,20,Em,9,9,9,9,0,13.507076,0.641542,0.213847,11.841865,13.898755,0.031993,"ok"
A,0,full,-10.000000,20.000000,Pmy,9,9,9,9,0,9.106565,0.045440,0.015147,9.010021,9.163614,0.037565,"ok"
A,0,full,-10.000000,20.000000,Pmz,9,9,9,9,0,-9.830100,0.499733,0.166578,-10.118290,-8.535019,0.045077,"ok"
A,0,full,-10.000000,20.000000,W,9,9,9,9,0,13.400499,0.470005,0.156668,12.293329,13.873089,0.091080,"ok"
A,1,b1,-2.000000,-1.000000,Em,9,9,9,9,0,10.537084,0.670668,0.223556,8.825468,10.992996,0.066532,"ok"
A,1,b1,-2.000000,-1.000000,Pmy,9,9,9,9,0,6.086023,0.065388,0.021796,6.009902,6.189398,0.081889,"ok"
A,1,b1,-2.000000,-1.000000,Pmz,9,9,9,9,0,-9.854472,0.536767,0.178922,-10.378786,-8.579091,0.126436,"ok"
A,1,b1,-2.000000,-1.000000,W,9,9,9,9,0,6.620648,0.380541,0.126847,6.076561,7.097476,0.237922,"ok"
A,2,b2,-1.000000,0.000000,Em,9,9,9,9,0,11.075525,0.663012,0.221004,9.405582,11.596003,0.049649,"ok"
A,2,b2,-1.000000,0.000000,Pmy,9,9,9,9,0,8.311628,0.063175,0.021058,8.216902,8.397435,0.067914,"ok"
A,2,b2,-1.000000,0.000000,Pmz,9,9,9,9,0,-9.419747,0.515017,0.171672,-9.669790,-8.075476,0.084044,"ok"
A,2,b2,-1.000000,0.000000,W,9,9,9,9,0,8.806643,0.534364,0.178121,7.556202,9.336855,0.176831,"ok"
A,3,b3,0.000000,1.000000,Em,9,9,9,9,0,13.461614,0.676248,0.225416,11.715197,13.938200,0.055676,"ok"
A,3,b3,0.000000,1.000000,Pmy,9,9,9,9,0,10.012290,0.068769,0.022923,9.903269,10.151003,0.075422,"ok"
A,3,b3,0.000000,1.000000,Pmz,9,9,9,9,0,-9.697817,0.498550,0.166183,-10.014737,-8.402827,0.082657,"ok"
A,3,b3,0.000000,1.000000,W,9,9,9,9,0,14.863991,0.592251,0.197417,13.383496,15.407555,0.161759,"ok"
A,4,b4,1.000000,2.000000,Em,9,9,9,9,0,17.992753,0.677548,0.225849,16.216247,18.383731,0.072930,"ok"
A,4,b4,1.000000,2.000000,Pmy,9,9,9,9,0,12.662617,0.064337,0.021446,12.568636,12.730378,0.122145,"ok"
A,4,b4,1.000000,2.000000,Pmz,9,9,9,9,0,-10.764471,0.476364,0.158788,-11.049890,-9.527734,0.103386,"ok"
A,4,b4,1.000000,2.000000,W,9,9,9,9,0,21.002681,0.567251,0.189084,19.559549,21.437863,0.206060,"ok"
A,5,b5,2.000000,3.000000,Em,9,0,9,0,9,0.000000,0.000000,0.000000,-999.000000,-999.000000,0.000000,"no valid rows"
A,5,b5,2.000000,3.000000,Pmy,9,0,9,0,9,0.000000,0.000000,0.000000,-999.000000,-999.000000,0.000000,"no valid rows"
A,5,b5,2.000000,3.000000,Pmz,9,0,9,0,9,0.000000,0.000000,0.000000,-999.000000,-999.000000,0.000000,"no valid rows"
A,5,b5,2.000000,3.000000,W,9,0,9,0,9,0.000000,0.000000,0.000000,-999.000000,-999.000000,0.000000,"no valid rows"
B,0,full,-10.000000,20.000000,Em,3,3,3,3,0,3.938475,0.068584,0.039597,3.885219,4.015863,0.108046,"ok"
B,0,full,-10.000000,20.000000,Pmy,3,3,3,3,0,11.774047,0.019406,0.011204,11.757462,11.795389,0.098391,"ok"
B,0,full,-10.000000,20.000000,Pmz,3,3,3,3,0,-0.741834,0.153504,0.088626,-0.879216,-0.576147,0.124622,"ok"
B,0,full,-10.000000,20.000000,W,3,3,3,3,0,19.920902,0.107580,0.062112,19.822494,20.035760,0.275867,"ok"
B,1,b1,-2.000000,-1.000000,Em,3,3,3,3,0,-1.840944,0.102168,0.058987,-1.958169,-1.770837,0.207926,"ok"
B,1,b1,-2.000000,-1.000000,Pmy,3,3,3,3,0,9.882198,0.285581,0.164880,9.629357,10.191949,0.247623,"ok"
B,1,b1,-2.000000,-1.000000,Pmz,3,3,3,3,0,4.364529,0.455591,0.263035,3.893494,4.802919,0.299708,"ok"
B,1,b1,-2.000000,-1.000000,W,3,3,3,3,0,11.153538,0.477730,0.275818,10.765302,11.687039,0.811465,"ok"
B,2,b2,-1.000000,0.000000,Em,3,3,3,3,0,0.851233,0.296906,0.171419,0.672687,1.193970,0.209985,"ok"
B,2,b2,-1.000000,0.000000,Pmy,3,3,3,3,0,11.607272,0.219972,0.127001,11.357053,11.770204,0.249148,"ok"
B,2,b2,-1.000000,0.000000,Pmz,3,3,3,3,0,1.042962,0.544080,0.314125,0.613643,1.654846,0.306074,"ok"
B,2,b2,-1.000000,0.000000,W,3,3,3,3,0,12.213521,1.154070,0.666302,11.400493,13.534429,0.768978,"ok"
B,3,b3,0.000000,1.000000,Em,3,3,3,3,0,2.781547,0.218720,0.126278,2.592187,3.020952,0.202962,"ok"
B,3,b3,0.000000,1.000000,Pmy,3,3,3,3,0,13.040944,0.255398,0.147454,12.746037,13.189155,0.242790,"ok"
B,3,b3,0.000000,1.000000,Pmz,3,3,3,3,0,-0.169238,0.306508,0.176962,-0.351134,0.184641,0.289368,"ok"
B,3,b3,0.000000,1.000000,W,3,3,3,3,0,16.934274,0.891884,0.514929,15.951422,17.692080,0.680694,"ok"
B,4,b4,1.000000,2.000000,Em,3,3,3,3,0,5.356829,0.046536,0.026867,5.324128,5.410106,0.204561,"ok"
B,4,b4,1.000000,2.000000,Pmy,3,3,3,3,0,14.211087,0.226909,0.131006,14.010208,14.457209,0.246202,"ok"
B,4,b4,1.000000,2.000000,Pmz,3,3,3,3,0,-1.351203,0.152588,0.088097,-1.449176,-1.175393,0.266323,"ok"
B,4,b4,1.000000,2.000000,W,3,3,3,3,0,21.034144,0.661160,0.381721,20.532971,21.783481,0.615856,"ok"
B,5,b5,2.000000,3.000000,Em,3,3,3,3,0,9.121201,0.264075,0.152464,8.944311,9.424746,0.233765,"ok"
B,5,b5,2.000000,3.000000,Pmy,3,3,3,3,0,15.293872,0.328779,0.189821,14.917846,15.527153,0.280345,"ok"
B,5,b5,2.000000,3.000000,Pmz,3,3,3,3,0,-4.105839,0.256422,0.148045,-4.347343,-3.836733,0.268689,"ok"
B,5,b5,2.000000,3.000000,W,3,3,3,3,0,26.042038,0.541243,0.312487,25.498736,26.581199,0.636343,"ok"
