setting,dp_idx,dp_label,dp_lo,dp_hi,var,norm_win_lo,norm_win_hi,intD_win,intS_win,sim_scale,entriesD,entriesS,muD_MeV,muD_err_MeV,sigD_MeV,sigD_err_MeV,statusD,chi2D,ndfD,muS_MeV,muS_err_MeV,sigS_MeV,sigS_err_MeV,statusS,chi2S,ndfS,offset_MeV,offset_err_MeV,fit_valid
A,0,full,-10.000000,20.000000,W,0.906628,1.004570,1154776.000000,1803.579046,640.269137,1691579.000000,856224.000000,953.096078,0.020836,20.597300,0.020448,0,18274.558054,11,945.326545,0.019162,13.600398,0.015832,0,12615.377316,8,7.769533,0.028308,1
A,0,full,-10.000000,20.000000,Em,0.000643,0.028734,957173.000000,1567.832869,610.507037,1691579.000000,856224.000000,14.252747,0.008251,6.566044,0.007322,0,23713.981447,11,5.646951,0.005269,3.383497,0.004493,0,23250.059200,8,8.605796,0.009790,1
A,0,full,-10.000000,20.000000,Pmz,-0.049874,0.017598,1136977.000000,1828.979638,621.645521,1691579.000000,856224.000000,-12.078966,0.010384,9.308071,0.010037,0,89221.317641,8,-5.252830,0.009153,6.066640,0.006596,0,46602.560105,6,-6.826136,0.013842,1
A,0,full,-10.000000,20.000000,Pmy,-0.022723,0.034565,1413657.000000,2331.822668,606.245500,1691579.000000,856224.000000,6.146259,0.008335,9.727141,0.007614,0,21110.160066,7,-0.725099,0.007328,6.432671,0.005576,0,564.961008,5,6.871358,0.011099,1
A,1,b1,-2.000000,-1.000000,W,0.899557,1.003428,169738.000000,366.277664,463.413461,242192.000000,196101.000000,948.022611,0.061751,22.032416,0.063290,0,6878.445634,12,946.604092,0.042760,15.242354,0.036618,0,5181.382089,9,1.418519,0.075110,1
A,1,b1,-2.000000,-1.000000,Em,-0.000571,0.026465,123183.000000,312.212899,394.548081,242192.000000,196101.000000,11.865916,0.017564,5.296364,0.016701,0,4369.843585,10,6.037576,0.010365,3.338174,0.008174,0,6645.213861,8,5.828340,0.020394,1
A,1,b1,-2.000000,-1.000000,Pmz,-0.057324,0.019203,161658.000000,381.200153,424.076430,242192.000000,196101.000000,-12.682230,0.033200,9.616018,0.032808,0,26970.840449,10,-5.868994,0.019474,6.607375,0.015004,0,16852.297962,7,-6.813236,0.038490,1
A,1,b1,-2.000000,-1.000000,Pmy,-0.024268,0.032230,203191.000000,441.690347,460.030429,242192.000000,196101.000000,3.915848,0.019760,8.667394,0.018223,0,3283.267864,6,-0.225230,0.014038,6.053981,0.010327,0,48.282841,5,4.141077,0.024239,1
A,2,b2,-1.000000,0.000000,W,0.901764,1.000893,304718.000000,553.692887,550.337574,374854.000000,217737.000000,948.457644,0.042206,20.756211,0.040042,0,5806.359423,11,945.508703,0.034256,13.616897,0.028261,0,6623.763604,9,2.948941,0.054358,1
A,2,b2,-1.000000,0.000000,Em,-0.000658,0.026158,256217.000000,487.535892,525.534641,374854.000000,217737.000000,11.753853,0.012889,5.535570,0.012382,0,9132.114118,10,5.529823,0.008462,3.159309,0.007095,0,5822.389269,7,6.224030,0.015419,1
A,2,b2,-1.000000,0.000000,Pmz,-0.050673,0.018157,309138.000000,561.946498,550.119987,374854.000000,217737.000000,-11.586563,0.020442,9.194574,0.019753,0,27998.527452,8,-5.176608,0.015534,5.832173,0.010712,0,15741.485630,6,-6.409956,0.025675,1
A,2,b2,-1.000000,0.000000,Pmy,-0.019427,0.030106,336647.000000,601.911328,559.296668,374854.000000,217737.000000,5.432859,0.015144,8.512218,0.013152,0,2003.090755,5,-0.853775,0.013420,6.180744,0.009911,0,72.466519,5,6.286635,0.020234,1
A,3,b3,0.000000,1.000000,W,0.908281,1.003073,355897.000000,523.079527,680.387937,409800.000000,153810.000000,953.718724,0.035943,19.946846,0.034656,0,5820.126790,11,944.753332,0.035668,12.555476,0.031929,0,1403.557391,6,8.965392,0.050636,1
A,3,b3,0.000000,1.000000,Em,0.000511,0.028363,314104.000000,464.151347,676.727541,409800.000000,153810.000000,13.845953,0.013843,6.343910,0.012558,0,9730.299666,11,5.491339,0.010349,3.365727,0.008314,0,3214.629077,7,8.354614,0.017284,1
A,3,b3,0.000000,1.000000,Pmz,-0.047110,0.017374,360213.000000,522.878289,688.904106,409800.000000,153810.000000,-11.681819,0.018852,9.750543,0.017639,0,23984.543439,8,-4.939358,0.017378,5.783395,0.011891,0,7504.079492,5,-6.742461,0.025639,1
A,3,b3,0.000000,1.000000,Pmy,-0.018034,0.031366,370531.000000,533.753822,694.198308,409800.000000,153810.000000,6.591581,0.015570,9.076503,0.013565,0,1472.947487,5,-1.005526,0.016661,6.460170,0.012291,0,134.737553,5,7.597108,0.022803,1
A,4,b4,1.000000,2.000000,W,0.920920,0.997846,250050.000000,211.790147,1180.649823,273398.000000,50076.000000,958.352767,0.033400,15.684948,0.030783,0,1781.609711,8,943.278454,0.056680,11.700057,0.047711,0,87.416158,5,15.074313,0.065789,1
A,4,b4,1.000000,2.000000,Em,0.004746,0.032659,233026.000000,140.696888,1656.227106,273398.000000,50076.000000,18.167410,0.014654,6.236379,0.013395,0,2427.988967,11,5.406019,0.017935,3.667506,0.015350,0,449.668229,7,12.761390,0.023160,1
