parameter,central_value,toy_mean,toy_std,p16,p50,p84,minus_err,plus_err,n_toys_physical
dthe_A,-0.1137,-0.0367,0.2650,-0.3124,-0.0585,0.2488,0.1987,0.3625,1828
dthe_B,-0.9422,-0.8835,0.3281,-1.1991,-0.8887,-0.5695,0.2569,0.3727,1828
dthe_C,-0.6922,-0.8129,0.6301,-1.4252,-0.8009,-0.1738,0.7330,0.5184,1828
dthe_E,-0.4491,-0.7858,0.5933,-1.3514,-0.8170,-0.1944,0.9023,0.2547,1828
dthe_D,-0.9893,-0.9257,0.6635,-1.6040,-0.9634,-0.2066,0.6147,0.7827,1828
dpe_A,-0.3309,-0.4650,0.4223,-0.9208,-0.4356,-0.0272,0.5899,0.3037,1828
dpe_B,0.8307,0.5849,0.5530,0.0872,0.5645,1.0736,0.7435,0.2429,1828
dpe_C,0.9707,0.8513,1.1848,-0.2955,0.6533,2.0684,1.2662,1.0977,1828
dpe_E,0.7189,0.7807,1.0501,-0.2907,0.7078,1.8673,1.0096,1.1484,1828
dpe_D,1.5525,0.8141,1.0911,-0.2508,0.6366,1.9322,1.8033,0.3797,1828
dpp_A,-1.9411,-1.4951,1.4272,-2.9745,-1.6029,0.0486,1.0334,1.9897,1828
dpp_B,-0.3914,-0.0545,0.8809,-0.8079,-0.0338,0.7434,0.4165,1.1348,1828
dpp_C,1.5305,1.1136,1.5858,-0.3505,1.1190,2.7091,1.8810,1.1786,1828
dpp_E,2.0619,1.6112,1.4905,0.1627,1.6178,3.1059,1.8992,1.0440,1828
dpp_D,1.0149,1.0267,1.6659,-0.5785,0.7668,2.9116,1.5934,1.8967,1828
dthp,1.3894,1.1788,0.5696,0.5641,1.2024,1.7736,0.8253,0.3842,1828
