quantity,value
method,combined_4and5_with_pass_dependent_de0_scipy_nelder_mead_toy_errors
input4_csv,results/tables/MeasuredOffsetsBySetting_4pass.csv
input5_csv,results/tables/MeasuredOffsetsBySetting_5pass.csv
fitparams_csv,results/tables/Combined4and5PassWithDe0PassDep/Combined4and5PassFitParams_WithDe0PassDep.csv
n_toys_requested,2000
seed,314159
bad_branch_abs_param_threshold,5.0000
central_chi2,804.7190
central_n_obs,20
central_n_params,18
central_ndf,2
central_chi2_ndf,402.3595
central_bad_branch_flag_abs_param_gt_5,0
toy_success_count,2000
toy_bad_branch_count_abs_param_gt_5,16
toy_physical_branch_count,1984
toy_physical_branch_fraction,0.9920
