dataset,method,init,parameter,value,error
julio_input,tminuit_simplex,zero_init,dpe_C,0.337442,0.272336
julio_input,tminuit_simplex,zero_init,dpe_E,1.339569,0.273291
julio_input,tminuit_simplex,zero_init,dpe_D,1.072782,0.274034
julio_input,tminuit_simplex,zero_init,dtheta_e_C,-0.469398,0.123958
julio_input,tminuit_simplex,zero_init,dtheta_e_E,-0.898097,0.124921
julio_input,tminuit_simplex,zero_init,dtheta_e_D,-1.083628,0.124595
julio_input,tminuit_simplex,zero_init,dtheta_p_common,-2.074234,0.162397
julio_input,tminuit_simplex,zero_init,dpp_common,1.378890,0.385419
julio_input,tminuit_migrad,zero_init,dpe_C,16.837913,0.272336
julio_input,tminuit_migrad,zero_init,dpe_E,17.842886,0.273291
julio_input,tminuit_migrad,zero_init,dpe_D,17.586259,0.274034
julio_input,tminuit_migrad,zero_init,dtheta_e_C,-7.661932,0.123958
julio_input,tminuit_migrad,zero_init,dtheta_e_E,-8.092948,0.124921
julio_input,tminuit_migrad,zero_init,dtheta_e_D,-8.287062,0.124595
julio_input,tminuit_migrad,zero_init,dtheta_p_common,7.049910,0.162397
julio_input,tminuit_migrad,zero_init,dpp_common,-22.024538,0.385419
julio_input,tminuit_simplex,julio_like_init,dpe_C,1.635982,0.272336
julio_input,tminuit_simplex,julio_like_init,dpe_E,2.638337,0.273291
julio_input,tminuit_simplex,julio_like_init,dpe_D,2.372357,0.274034
julio_input,tminuit_simplex,julio_like_init,dtheta_e_C,-1.035412,0.123958
julio_input,tminuit_simplex,julio_like_init,dtheta_e_E,-1.464348,0.124921
julio_input,tminuit_simplex,julio_like_init,dtheta_e_D,-1.650520,0.124595
julio_input,tminuit_simplex,julio_like_init,dtheta_p_common,-1.356167,0.162397
julio_input,tminuit_simplex,julio_like_init,dpp_common,-0.462891,0.385419
julio_input,tminuit_migrad,julio_like_init,dpe_C,16.838094,0.272336
julio_input,tminuit_migrad,julio_like_init,dpe_E,17.843068,0.273291
julio_input,tminuit_migrad,julio_like_init,dpe_D,17.586441,0.274034
julio_input,tminuit_migrad,julio_like_init,dtheta_e_C,-7.662012,0.123958
julio_input,tminuit_migrad,julio_like_init,dtheta_e_E,-8.093027,0.124921
julio_input,tminuit_migrad,julio_like_init,dtheta_e_D,-8.287142,0.124595
julio_input,tminuit_migrad,julio_like_init,dtheta_p_common,7.050010,0.162397
julio_input,tminuit_migrad,julio_like_init,dpp_common,-22.024795,0.385419
radwan_input,tminuit_simplex,zero_init,dpe_C,1.895060,0.287213
radwan_input,tminuit_simplex,zero_init,dpe_E,2.025201,0.287228
radwan_input,tminuit_simplex,zero_init,dpe_D,1.981025,0.287960
radwan_input,tminuit_simplex,zero_init,dtheta_e_C,-0.921295,0.129869
radwan_input,tminuit_simplex,zero_init,dtheta_e_E,-1.059845,0.129189
radwan_input,tminuit_simplex,zero_init,dtheta_e_D,-1.268772,0.129643
radwan_input,tminuit_simplex,zero_init,dtheta_p_common,-0.950419,0.164569
radwan_input,tminuit_simplex,zero_init,dpp_common,0.204529,0.405693
radwan_input,tminuit_migrad,zero_init,dpe_C,97.310923,0.287212
radwan_input,tminuit_migrad,zero_init,dpe_E,97.453140,0.287228
radwan_input,tminuit_migrad,zero_init,dpe_D,97.428156,0.287961
radwan_input,tminuit_migrad,zero_init,dtheta_e_C,-42.527010,0.129865
radwan_input,tminuit_migrad,zero_init,dtheta_e_E,-42.672926,0.129189
radwan_input,tminuit_migrad,zero_init,dtheta_e_D,-42.888854,0.129650
radwan_input,tminuit_migrad,zero_init,dtheta_p_common,51.799046,0.164568
