dataset,method,init,setting,shms_p_GeV,delta_center,dp_lo,dp_hi,variable,mu,mu_err,sigma,sigma_err,predicted,residual,pull
julio_input,tminuit_simplex,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,W,10.468058,1.002105,37.972155,0.893049,7.940532,2.527526,2.522217
julio_input,tminuit_simplex,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,Em,-8.474547,0.186758,7.133772,0.172972,-8.786384,0.311837,1.669738
julio_input,tminuit_simplex,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmz,11.293317,0.559726,9.323317,0.662723,10.455564,0.837753,1.496721
julio_input,tminuit_simplex,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmy,12.310709,0.434572,11.728930,0.424420,9.343524,2.967185,6.827833
julio_input,tminuit_simplex,zero_init,E,-6.604800,3.000000,1.500000,4.500000,W,6.229827,1.096396,35.317492,0.958426,7.746563,-1.516736,-1.383383
julio_input,tminuit_simplex,zero_init,E,-6.604800,3.000000,1.500000,4.500000,Em,-15.954901,0.261251,7.348766,0.247712,-15.510658,-0.444243,-1.700445
julio_input,tminuit_simplex,zero_init,E,-6.604800,3.000000,1.500000,4.500000,Pmz,16.510733,0.513753,9.304224,0.554649,17.243415,-0.732682,-1.426136
julio_input,tminuit_simplex,zero_init,E,-6.604800,3.000000,1.500000,4.500000,Pmy,9.259874,0.547192,13.274062,0.534578,12.047266,-2.787392,-5.093992
julio_input,tminuit_simplex,zero_init,D,-6.384000,6.000000,4.500000,7.500000,W,13.607670,1.312226,34.572211,1.243736,15.178791,-1.571121,-1.197295
julio_input,tminuit_simplex,zero_init,D,-6.384000,6.000000,4.500000,7.500000,Em,-14.401973,0.400741,9.055663,0.373045,-13.720520,-0.681453,-1.700482
julio_input,tminuit_simplex,zero_init,D,-6.384000,6.000000,4.500000,7.500000,Pmz,16.704784,0.298057,8.313920,0.278653,16.853736,-0.148952,-0.499743
julio_input,tminuit_simplex,zero_init,D,-6.384000,6.000000,4.500000,7.500000,Pmy,8.709048,0.431981,11.820399,0.388189,9.904097,-1.195049,-2.766439
julio_input,tminuit_migrad,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,W,10.468058,1.002105,37.972155,0.893049,8.042592,2.425466,2.420371
julio_input,tminuit_migrad,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,Em,-8.474547,0.186758,7.133772,0.172972,-8.806331,0.331784,1.776544
julio_input,tminuit_migrad,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmz,11.293317,0.559726,9.323317,0.662723,10.282999,1.010318,1.805022
julio_input,tminuit_migrad,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmy,12.310709,0.434572,11.728930,0.424420,9.339082,2.971627,6.838055
julio_input,tminuit_migrad,zero_init,E,-6.604800,3.000000,1.500000,4.500000,W,6.229827,1.096396,35.317492,0.958426,7.875144,-1.645317,-1.500660
julio_input,tminuit_migrad,zero_init,E,-6.604800,3.000000,1.500000,4.500000,Em,-15.954901,0.261251,7.348766,0.247712,-15.549702,-0.405199,-1.550997
julio_input,tminuit_migrad,zero_init,E,-6.604800,3.000000,1.500000,4.500000,Pmz,16.510733,0.513753,9.304224,0.554649,17.095326,-0.584593,-1.137888
julio_input,tminuit_migrad,zero_init,E,-6.604800,3.000000,1.500000,4.500000,Pmy,9.259874,0.547192,13.274062,0.534578,12.045281,-2.785407,-5.090365
julio_input,tminuit_migrad,zero_init,D,-6.384000,6.000000,4.500000,7.500000,W,13.607670,1.312226,34.572211,1.243736,15.409791,-1.802121,-1.373331
julio_input,tminuit_migrad,zero_init,D,-6.384000,6.000000,4.500000,7.500000,Em,-14.401973,0.400741,9.055663,0.373045,-13.827733,-0.574240,-1.432945
julio_input,tminuit_migrad,zero_init,D,-6.384000,6.000000,4.500000,7.500000,Pmz,16.704784,0.298057,8.313920,0.278653,16.794508,-0.089724,-0.301031
julio_input,tminuit_migrad,zero_init,D,-6.384000,6.000000,4.500000,7.500000,Pmy,8.709048,0.431981,11.820399,0.388189,9.909391,-1.200343,-2.778694
julio_input,tminuit_simplex,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,W,10.468058,1.002105,37.972155,0.893049,7.948108,2.519950,2.514657
julio_input,tminuit_simplex,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,Em,-8.474547,0.186758,7.133772,0.172972,-8.787965,0.313418,1.678206
julio_input,tminuit_simplex,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmz,11.293317,0.559726,9.323317,0.662723,10.441908,0.851409,1.521118
julio_input,tminuit_simplex,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmy,12.310709,0.434572,11.728930,0.424420,9.343154,2.967555,6.828684
julio_input,tminuit_simplex,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,W,6.229827,1.096396,35.317492,0.958426,7.757537,-1.527710,-1.393392
julio_input,tminuit_simplex,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,Em,-15.954901,0.261251,7.348766,0.247712,-15.513769,-0.441132,-1.688539
julio_input,tminuit_simplex,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,Pmz,16.510733,0.513753,9.304224,0.554649,17.231963,-0.721230,-1.403846
julio_input,tminuit_simplex,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,Pmy,9.259874,0.547192,13.274062,0.534578,12.046847,-2.786973,-5.093226
julio_input,tminuit_simplex,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,W,13.607670,1.312226,34.572211,1.243736,15.196933,-1.589263,-1.211120
julio_input,tminuit_simplex,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,Em,-14.401973,0.400741,9.055663,0.373045,-13.729037,-0.672936,-1.679229
julio_input,tminuit_simplex,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,Pmz,16.704784,0.298057,8.313920,0.278653,16.849149,-0.144365,-0.484352
julio_input,tminuit_simplex,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,Pmy,8.709048,0.431981,11.820399,0.388189,9.904439,-1.195391,-2.767231
julio_input,tminuit_migrad,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,W,10.468058,1.002105,37.972155,0.893049,8.042594,2.425464,2.420370
julio_input,tminuit_migrad,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,Em,-8.474547,0.186758,7.133772,0.172972,-8.806331,0.331784,1.776545
julio_input,tminuit_migrad,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmz,11.293317,0.559726,9.323317,0.662723,10.282997,1.010320,1.805025
julio_input,tminuit_migrad,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmy,12.310709,0.434572,11.728930,0.424420,9.339082,2.971627,6.838055
julio_input,tminuit_migrad,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,W,6.229827,1.096396,35.317492,0.958426,7.875146,-1.645319,-1.500661
julio_input,tminuit_migrad,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,Em,-15.954901,0.261251,7.348766,0.247712,-15.549702,-0.405199,-1.550995
julio_input,tminuit_migrad,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,Pmz,16.510733,0.513753,9.304224,0.554649,17.095325,-0.584592,-1.137885
julio_input,tminuit_migrad,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,Pmy,9.259874,0.547192,13.274062,0.534578,12.045281,-2.785407,-5.090365
julio_input,tminuit_migrad,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,W,13.607670,1.312226,34.572211,1.243736,15.409794,-1.802124,-1.373333
julio_input,tminuit_migrad,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,Em,-14.401973,0.400741,9.055663,0.373045,-13.827734,-0.574239,-1.432942
julio_input,tminuit_migrad,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,Pmz,16.704784,0.298057,8.313920,0.278653,16.794508,-0.089724,-0.301029
julio_input,tminuit_migrad,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,Pmy,8.709048,0.431981,11.820399,0.388189,9.909391,-1.200343,-2.778694
radwan_input,tminuit_simplex,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,W,2.557277,1.094107,28.873636,1.036490,2.357496,0.199781,0.182597
radwan_input,tminuit_simplex,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,Em,-14.294357,0.271950,6.796372,0.276912,-13.683270,-0.611087,-2.247056
radwan_input,tminuit_simplex,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmz,13.361736,0.401260,9.281076,0.332821,14.343039,-0.981303,-2.445554
radwan_input,tminuit_simplex,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmy,8.590304,0.329922,10.234650,0.292744,9.158997,-0.568693,-1.723718
radwan_input,tminuit_simplex,zero_init,E,-6.604800,3.000000,1.500000,4.500000,W,5.161966,1.031033,28.824679,0.955779,4.373566,0.788400,0.764670
radwan_input,tminuit_simplex,zero_init,E,-6.604800,3.000000,1.500000,4.500000,Em,-15.034481,0.287492,6.984338,0.274461,-14.556523,-0.477958,-1.662509
radwan_input,tminuit_simplex,zero_init,E,-6.604800,3.000000,1.500000,4.500000,Pmz,14.975752,0.352338,8.840918,0.280320,15.616556,-0.640804,-1.818720
