setting,shms_p_GeV,delta_center,dp_lo,dp_hi,variable,mu,mu_err,sigma,sigma_err
C,-6.72,1.0,-0.5,2.5,W,10.468058,1.002105,37.972155,0.893049
C,-6.72,1.0,-0.5,2.5,Em,-8.474547,0.186758,7.133772,0.172972
C,-6.72,1.0,-0.5,2.5,Pmz,11.293317,0.559726,9.323317,0.662723
C,-6.72,1.0,-0.5,2.5,Pmy,12.310709,0.434572,11.72893,0.42442
E,-6.6048,3.0,1.5,4.5,W,6.229827,1.096396,35.317492,0.958426
E,-6.6048,3.0,1.5,4.5,Em,-15.954901,0.261251,7.348766,0.247712
E,-6.6048,3.0,1.5,4.5,Pmz,16.510733,0.513753,9.304224,0.554649
E,-6.6048,3.0,1.5,4.5,Pmy,9.259874,0.547192,13.274062,0.534578
D,-6.384,6.0,4.5,7.5,W,13.60767,1.312226,34.572211,1.243736
D,-6.384,6.0,4.5,7.5,Em,-14.401973,0.400741,9.055663,0.373045
D,-6.384,6.0,4.5,7.5,Pmz,16.704784,0.298057,8.31392,0.278653
D,-6.384,6.0,4.5,7.5,Pmy,8.709048,0.431981,11.820399,0.388189
