fit_type,setting,shms_p_GeV,delta_center,dp_lo,dp_hi,variable,mu,mu_err,sigma,sigma_err,predicted,residual,pull,dtheta_e,dpe,dtheta_p,dpp,chi2,n_obs,n_params,ndf,success,message,nit,nfev,dtheta_e_err,dpe_err,dtheta_p_err,dpp_err,minuit_status,cov_status,edm
tminuit_simplex,C,-6.720,1.000,-0.500,2.500,W,2.557,1.094,28.874,1.036,1.227,1.331,1.216,-1.145,2.514,-0.445,-0.637,9.470,4,4,0,True,"ok",-1,-1,0.211,0.477,0.276,0.677,0,2,0.003
tminuit_simplex,C,-6.720,1.000,-0.500,2.500,Em,-14.294,0.272,6.796,0.277,-13.858,-0.436,-1.603,-1.145,2.514,-0.445,-0.637,9.470,4,4,0,True,"ok",-1,-1,0.211,0.477,0.276,0.677,0,2,0.003
tminuit_simplex,C,-6.720,1.000,-0.500,2.500,Pmz,13.362,0.401,9.281,0.333,14.296,-0.934,-2.328,-1.145,2.514,-0.445,-0.637,9.470,4,4,0,True,"ok",-1,-1,0.211,0.477,0.276,0.677,0,2,0.003
tminuit_simplex,C,-6.720,1.000,-0.500,2.500,Pmy,8.590,0.330,10.235,0.293,8.593,-0.002,-0.007,-1.145,2.514,-0.445,-0.637,9.470,4,4,0,True,"ok",-1,-1,0.211,0.477,0.276,0.677,0,2,0.003
tminuit_migrad,C,-6.720,1.000,-0.500,2.500,W,2.557,1.094,28.874,1.036,2.557,0.000,0.000,-56.457,129.355,69.665,-180.482,0.000,4,4,0,True,"ok",-1,-1,0.211,0.477,0.276,0.677,0,2,0.000
tminuit_migrad,C,-6.720,1.000,-0.500,2.500,Em,-14.294,0.272,6.796,0.277,-14.294,-0.000,-0.000,-56.457,129.355,69.665,-180.482,0.000,4,4,0,True,"ok",-1,-1,0.211,0.477,0.276,0.677,0,2,0.000
tminuit_migrad,C,-6.720,1.000,-0.500,2.500,Pmz,13.362,0.401,9.281,0.333,13.362,-0.000,-0.000,-56.457,129.355,69.665,-180.482,0.000,4,4,0,True,"ok",-1,-1,0.211,0.477,0.276,0.677,0,2,0.000
tminuit_migrad,C,-6.720,1.000,-0.500,2.500,Pmy,8.590,0.330,10.235,0.293,8.590,-0.000,-0.000,-56.457,129.355,69.665,-180.482,0.000,4,4,0,True,"ok",-1,-1,0.211,0.477,0.276,0.677,0,2,0.000
julio_reported_reference,C,-6.720,1.000,-0.500,2.500,W,2.557,1.094,28.874,1.036,10.639,-8.082,-7.387,-0.862,0.987,-2.457,0.444,645.054,4,4,0,reference,"copied from Julio notebook; not refit here",-1,-1,nan,nan,nan,nan,-1,-1,nan
julio_reported_reference,C,-6.720,1.000,-0.500,2.500,Em,-14.294,0.272,6.796,0.277,-8.720,-5.574,-20.497,-0.862,0.987,-2.457,0.444,645.054,4,4,0,reference,"copied from Julio notebook; not refit here",-1,-1,nan,nan,nan,nan,-1,-1,nan
julio_reported_reference,C,-6.720,1.000,-0.500,2.500,Pmz,13.362,0.401,9.281,0.333,10.898,2.463,6.139,-0.862,0.987,-2.457,0.444,645.054,4,4,0,reference,"copied from Julio notebook; not refit here",-1,-1,nan,nan,nan,nan,-1,-1,nan
julio_reported_reference,C,-6.720,1.000,-0.500,2.500,Pmy,8.590,0.330,10.235,0.293,12.391,-3.800,-11.519,-0.862,0.987,-2.457,0.444,645.054,4,4,0,reference,"copied from Julio notebook; not refit here",-1,-1,nan,nan,nan,nan,-1,-1,nan
tminuit_simplex,E,-6.605,3.000,1.500,4.500,W,5.162,1.031,28.825,0.956,5.162,0.000,0.000,-44.344,101.308,53.964,-140.537,0.000,4,4,0,True,"ok",-1,-1,0.209,0.473,0.272,0.671,0,2,0.000
tminuit_simplex,E,-6.605,3.000,1.500,4.500,Em,-15.034,0.287,6.984,0.274,-15.035,0.000,0.000,-44.344,101.308,53.964,-140.537,0.000,4,4,0,True,"ok",-1,-1,0.209,0.473,0.272,0.671,0,2,0.000
tminuit_simplex,E,-6.605,3.000,1.500,4.500,Pmz,14.976,0.352,8.841,0.280,14.976,0.000,0.000,-44.344,101.308,53.964,-140.537,0.000,4,4,0,True,"ok",-1,-1,0.209,0.473,0.272,0.671,0,2,0.000
tminuit_simplex,E,-6.605,3.000,1.500,4.500,Pmy,8.984,0.315,9.955,0.267,8.984,-0.000,-0.000,-44.344,101.308,53.964,-140.537,0.000,4,4,0,True,"ok",-1,-1,0.209,0.473,0.272,0.671,0,2,0.000
tminuit_migrad,E,-6.605,3.000,1.500,4.500,W,5.162,1.031,28.825,0.956,5.162,-0.000,-0.000,-44.343,101.305,53.962,-140.533,0.000,4,4,0,True,"ok",-1,-1,0.209,0.473,0.272,0.671,0,2,0.000
tminuit_migrad,E,-6.605,3.000,1.500,4.500,Em,-15.034,0.287,6.984,0.274,-15.034,0.000,0.000,-44.343,101.305,53.962,-140.533,0.000,4,4,0,True,"ok",-1,-1,0.209,0.473,0.272,0.671,0,2,0.000
tminuit_migrad,E,-6.605,3.000,1.500,4.500,Pmz,14.976,0.352,8.841,0.280,14.976,0.000,0.000,-44.343,101.305,53.962,-140.533,0.000,4,4,0,True,"ok",-1,-1,0.209,0.473,0.272,0.671,0,2,0.000
tminuit_migrad,E,-6.605,3.000,1.500,4.500,Pmy,8.984,0.315,9.955,0.267,8.984,0.000,0.000,-44.343,101.305,53.962,-140.533,0.000,4,4,0,True,"ok",-1,-1,0.209,0.473,0.272,0.671,0,2,0.000
julio_reported_reference,E,-6.605,3.000,1.500,4.500,W,5.162,1.031,28.825,0.956,5.157,0.005,0.005,-0.647,1.005,-1.590,1.941,49.604,4,4,0,reference,"copied from Julio notebook; not refit here",-1,-1,nan,nan,nan,nan,-1,-1,nan
julio_reported_reference,E,-6.605,3.000,1.500,4.500,Em,-15.034,0.287,6.984,0.274,-15.925,0.890,3.096,-0.647,1.005,-1.590,1.941,49.604,4,4,0,reference,"copied from Julio notebook; not refit here",-1,-1,nan,nan,nan,nan,-1,-1,nan
julio_reported_reference,E,-6.605,3.000,1.500,4.500,Pmz,14.976,0.352,8.841,0.280,17.171,-2.195,-6.231,-0.647,1.005,-1.590,1.941,49.604,4,4,0,reference,"copied from Julio notebook; not refit here",-1,-1,nan,nan,nan,nan,-1,-1,nan
julio_reported_reference,E,-6.605,3.000,1.500,4.500,Pmy,8.984,0.315,9.955,0.267,9.328,-0.344,-1.091,-0.647,1.005,-1.590,1.941,49.604,4,4,0,reference,"copied from Julio notebook; not refit here",-1,-1,nan,nan,nan,nan,-1,-1,nan
tminuit_simplex,D,-6.384,6.000,4.500,7.500,W,11.905,1.091,27.761,1.127,11.580,0.325,0.298,-2.210,3.994,-0.045,-2.719,0.666,4,4,0,True,"ok",-1,-1,0.240,0.545,0.312,0.773,0,2,0.000
