setting,e_beam_GeV,hms_p_GeV,hms_angle_deg,shms_p_GeV,shms_angle_deg,dp_idx,dp_label,dp_lo,dp_hi,bin_center,var,nBins,norm_win_lo,norm_win_hi,fitD_lo,fitD_hi,fitS_lo,fitS_hi,intD_win,intS_win,sim_scale,entriesD,entriesS,statusD1,muD1_MeV,muD1_err_MeV,sigD1_MeV,sigD1_err_MeV,chi2D1,ndfD1,statusS1,muS1_MeV,muS1_err_MeV,sigS1_MeV,sigS1_err_MeV,chi2S1,ndfS1,muD_MeV,muD_err_MeV,sigD_MeV,sigD_err_MeV,statusD,chi2D,ndfD,muS_MeV,muS_err_MeV,sigS_MeV,sigS_err_MeV,statusS,chi2S,ndfS,offset_MeV,offset_err_MeV,fit_valid
C,10.671600,4.720000,26.395000,-6.720000,18.560000,1,b1,-0.500000,2.500000,1.000000,W,65,0.902652,1.000070,0.902652,1.000070,0.915088,0.983748,907.000000,0.183798,4934.760942,1206.000000,13296.000000,0,951.361013,1.042559,32.472451,1.037951,72.830484,61,0,949.418334,0.224320,22.886661,0.179203,661.834683,56,951.124612,1.219850,29.089387,1.387055,0,24.027886,29,947.358237,0.275188,21.670953,0.340136,0,22.438293,19,3.766376,1.250505,1
C,10.671600,4.720000,26.395000,-6.720000,18.560000,1,b1,-0.500000,2.500000,1.000000,Em,62,-0.018760,0.003736,-0.018760,0.003736,0.000141,0.012104,760.000000,0.047956,15847.848963,1206.000000,13296.000000,0,-7.511998,0.353452,7.498703,0.384457,175.329655,58,0,6.122335,0.046829,3.987831,0.034833,941.590023,42,-8.570653,0.285206,6.309032,0.295716,0,27.396388,25,5.616956,0.052880,3.778854,0.064259,0,12.619909,12,-14.187609,0.290066,1
C,10.671600,4.720000,26.395000,-6.720000,18.560000,1,b1,-0.500000,2.500000,1.000000,Pmz,62,-0.007282,0.024084,-0.007282,0.024084,-0.013484,0.002321,880.000000,0.115726,7604.154537,1206.000000,13296.000000,0,8.401274,0.401868,10.455255,0.514791,115.186884,59,0,-5.581515,0.056900,5.268377,0.044616,558.475555,44,9.390850,0.373198,8.740576,0.441514,0,59.641757,36,-5.108988,0.064023,4.862532,0.074440,0,15.255834,17,14.499838,0.378649,1
C,10.671600,4.720000,26.395000,-6.720000,18.560000,1,b1,-0.500000,2.500000,1.000000,Pmx,61,-0.024974,0.008245,-0.024974,0.008245,-0.016232,0.006865,807.000000,0.172921,4666.866240,1206.000000,13296.000000,0,-8.364304,0.403760,11.073106,0.444965,79.628488,56,0,-4.683553,0.082963,7.699193,0.059172,574.023788,53,-8.389513,0.417121,9.543029,0.442064,0,29.113084,31,-3.735524,0.099851,7.354842,0.122608,0,38.934076,20,-4.653989,0.428905,1
D,10.671600,4.720000,26.395000,-6.384000,18.560000,1,b1,4.500000,7.500000,6.000000,W,62,0.918742,1.004827,0.918742,1.004827,0.919581,0.977324,806.000000,0.173676,4640.824346,1075.000000,12789.000000,0,961.784703,1.059105,28.695035,0.979569,88.328159,56,0,948.452416,0.198153,19.247780,0.161821,936.027372,51,957.796437,1.240898,26.692125,1.411864,0,19.266965,24,946.569355,0.244298,17.953895,0.304736,0,13.838896,14,11.227082,1.264717,1
D,10.671600,4.720000,26.395000,-6.384000,18.560000,1,b1,4.500000,7.500000,6.000000,Em,58,-0.019929,0.006605,-0.019929,0.006605,-0.001868,0.014840,705.000000,0.086403,8159.468051,1075.000000,12789.000000,0,-6.662015,0.457394,8.844424,0.459504,150.055834,55,0,6.486012,0.063327,5.569012,0.048073,453.970836,42,-8.643502,0.410533,8.105377,0.504312,0,45.449104,28,5.704530,0.083036,5.530640,0.104589,0,24.855814,16,-14.348032,0.418846,1
D,10.671600,4.720000,26.395000,-6.384000,18.560000,1,b1,4.500000,7.500000,6.000000,Pmz,59,-0.001914,0.023229,-0.001914,0.023229,-0.012813,0.002074,713.000000,0.041166,17319.986841,1075.000000,12789.000000,0,10.657726,0.352906,8.380921,0.499855,142.056427,55,0,-5.369631,0.055055,4.962505,0.044082,607.141248,40,11.376230,0.311290,6.771773,0.312248,0,39.818432,27,-4.926932,0.064105,4.664833,0.074303,0,23.923471,15,16.303162,0.317822,1
D,10.671600,4.720000,26.395000,-6.384000,18.560000,1,b1,4.500000,7.500000,6.000000,Pmx,57,-0.025967,0.005889,-0.025967,0.005889,-0.016264,0.007275,736.000000,0.163669,4496.874150,1075.000000,12789.000000,0,-10.039003,0.423203,10.618738,0.379527,61.394820,48,0,-4.494569,0.083853,7.846116,0.066870,484.023836,51,-10.924599,0.602128,11.025680,0.763127,0,37.327077,27,-3.659215,0.099234,7.291373,0.118568,0,16.933989,19,-7.265384,0.610251,1
E,10.671600,4.720000,26.395000,-6.604800,18.560000,1,b1,1.500000,4.500000,3.000000,W,67,0.906396,0.999304,0.906396,0.999304,0.917379,0.980644,982.000000,0.181782,5402.075970,1244.000000,12750.000000,0,952.850005,0.963902,30.969208,0.883932,64.217486,61,0,949.011378,0.209527,21.088289,0.163076,625.619598,56,952.721933,1.275356,29.719734,1.634754,0,23.846066,28,947.122646,0.266928,20.215266,0.333195,0,23.981472,18,5.599287,1.302991,1
E,10.671600,4.720000,26.395000,-6.604800,18.560000,1,b1,1.500000,4.500000,3.000000,Em,63,-0.019204,0.002926,-0.019204,0.002926,-0.000503,0.013130,815.000000,0.045054,18089.261110,1244.000000,12750.000000,0,-8.138704,0.340404,7.376729,0.318533,173.286082,60,0,6.313682,0.052876,4.544415,0.039331,742.011715,42,-9.635841,0.337903,7.036905,0.447787,0,31.584545,25,5.722949,0.063842,4.370360,0.078275,0,15.935282,14,-15.358791,0.343881,1
E,10.671600,4.720000,26.395000,-6.604800,18.560000,1,b1,1.500000,4.500000,3.000000,Pmz,64,-0.003648,0.024031,-0.003648,0.024031,-0.013171,0.002154,911.000000,0.063481,14350.696226,1244.000000,12750.000000,0,10.191707,0.339510,9.226406,0.412792,123.795663,61,0,-5.508527,0.056384,5.108257,0.042580,569.373792,45,10.564978,0.354924,8.212934,0.413918,0,47.263787,33,-5.000748,0.065244,4.836077,0.078646,0,19.929127,17,15.565726,0.360870,1
E,10.671600,4.720000,26.395000,-6.604800,18.560000,1,b1,1.500000,4.500000,3.000000,Pmx,63,-0.024879,0.007577,-0.024879,0.007577,-0.016044,0.006831,876.000000,0.171076,5120.542705,1244.000000,12750.000000,0,-8.651244,0.381630,10.818659,0.389793,78.764050,57,0,-4.606526,0.081889,7.624766,0.062417,537.261169,54,-9.657223,0.445587,10.013054,0.528757,0,34.627825,31,-3.720890,0.091486,7.064359,0.108179,0,32.197845,21,-5.936333,0.454882,1
