setting,dp_label,delta_center,dp_lo,dp_hi,variable,measured,measured_err,sigma,sigma_err,predicted,residual,pull,dthe_b1_A,dthe_b2_A,dthe_b3_A,dthe_b4_A,dpe_b1_A,dpe_b2_A,dpe_b3_A,dpe_b4_A,dthp_A,dpp_A,dthe_b1_B,dthe_b2_B,dthe_b3_B,dthe_b4_B,dpe_b1_B,dpe_b2_B,dpe_b3_B,dpe_b4_B,dthp_B,dpp_B,chi2,n_obs,n_params,ndf,chi2_ndf,success,message,nit,nfev
A,b1,-1.5000,-2.0000,-1.0000,W,1.2124,0.0777,22.0324,0.0633,6.4890,-5.2766,-67.9186,-1.6547,-1.5565,-1.5468,-1.5544,1.9501,2.0084,1.8027,1.3730,-1.0520,-9.9588,,,,,,,,,,,82865.4173,16,10,6,13810.9029,True,Optimization terminated successfully.,5800,8200
A,b1,-1.5000,-2.0000,-1.0000,Em,5.7845,0.0208,5.2964,0.0167,7.1460,-1.3616,-65.5443,-1.6547,-1.5565,-1.5468,-1.5544,1.9501,2.0084,1.8027,1.3730,-1.0520,-9.9588,,,,,,,,,,,82865.4173,16,10,6,13810.9029,True,Optimization terminated successfully.,5800,8200
A,b1,-1.5000,-2.0000,-1.0000,Pmz,-6.6910,0.0393,9.6160,0.0328,-5.0965,-1.5945,-40.5709,-1.6547,-1.5565,-1.5468,-1.5544,1.9501,2.0084,1.8027,1.3730,-1.0520,-9.9588,,,,,,,,,,,82865.4173,16,10,6,13810.9029,True,Optimization terminated successfully.,5800,8200
A,b1,-1.5000,-2.0000,-1.0000,Pmy,4.0985,0.0247,8.6674,0.0182,6.8165,-2.7180,-109.9322,-1.6547,-1.5565,-1.5468,-1.5544,1.9501,2.0084,1.8027,1.3730,-1.0520,-9.9588,,,,,,,,,,,82865.4173,16,10,6,13810.9029,True,Optimization terminated successfully.,5800,8200
A,b2,-0.5000,-1.0000,0.0000,W,2.6866,0.0550,20.7562,0.0400,4.6027,-1.9161,-34.8123,-1.6547,-1.5565,-1.5468,-1.5544,1.9501,2.0084,1.8027,1.3730,-1.0520,-9.9588,,,,,,,,,,,82865.4173,16,10,6,13810.9029,True,Optimization terminated successfully.,5800,8200
A,b2,-0.5000,-1.0000,0.0000,Em,5.9958,0.0156,5.5356,0.0124,6.7344,-0.7386,-47.2596,-1.6547,-1.5565,-1.5468,-1.5544,1.9501,2.0084,1.8027,1.3730,-1.0520,-9.9588,,,,,,,,,,,82865.4173,16,10,6,13810.9029,True,Optimization terminated successfully.,5800,8200
A,b2,-0.5000,-1.0000,0.0000,Pmz,-6.2080,0.0258,9.1946,0.0198,-5.4226,-0.7854,-30.3927,-1.6547,-1.5565,-1.5468,-1.5544,1.9501,2.0084,1.8027,1.3730,-1.0520,-9.9588,,,,,,,,,,,82865.4173,16,10,6,13810.9029,True,Optimization terminated successfully.,5800,8200
A,b2,-0.5000,-1.0000,0.0000,Pmy,6.0082,0.0201,8.5122,0.0132,7.5546,-1.5464,-76.8532,-1.6547,-1.5565,-1.5468,-1.5544,1.9501,2.0084,1.8027,1.3730,-1.0520,-9.9588,,,,,,,,,,,82865.4173,16,10,6,13810.9029,True,Optimization terminated successfully.,5800,8200
A,b3,0.5000,0.0000,1.0000,W,8.6998,0.0496,19.9468,0.0347,6.2391,2.4607,49.6011,-1.6547,-1.5565,-1.5468,-1.5544,1.9501,2.0084,1.8027,1.3730,-1.0520,-9.9588,,,,,,,,,,,82865.4173,16,10,6,13810.9029,True,Optimization terminated successfully.,5800,8200
A,b3,0.5000,0.0000,1.0000,Em,8.3490,0.0170,6.3439,0.0126,8.1863,0.1626,9.5729,-1.6547,-1.5565,-1.5468,-1.5544,1.9501,2.0084,1.8027,1.3730,-1.0520,-9.9588,,,,,,,,,,,82865.4173,16,10,6,13810.9029,True,Optimization terminated successfully.,5800,8200
