fit_type,fit_k_sigma,setting,shms_p_GeV,delta_center,dp_lo,dp_hi,variable,mu,mu_err,sigma,sigma_err,predicted,residual,pull,dtheta_e,dpe,dtheta_p,dpp,chi2,n_obs,n_params,ndf,success,message,nit,nfev,exact_inversion_flag
scipy_nelder_mead,0.50,C,-6.72,1.0,-0.5,2.5,W,-56.553864,42.683567,78.432719,39.227151,-11.327765,-45.226099,-1.059567,-0.167056,1.439175,-0.416831,0.962000,1.166297,4,4,0,True,Optimization terminated successfully.,258,442,0
scipy_nelder_mead,0.50,C,-6.72,1.0,-0.5,2.5,Em,-14.029508,1.164128,6.124952,2.921916,-14.207127,0.177619,0.152577,-0.167056,1.439175,-0.416831,0.962000,1.166297,4,4,0,True,Optimization terminated successfully.,258,442,0
scipy_nelder_mead,0.50,C,-6.72,1.0,-0.5,2.5,Pmz,12.410857,1.103623,9.913617,1.038598,12.253478,0.157379,0.142602,-0.167056,1.439175,-0.416831,0.962000,1.166297,4,4,0,True,Optimization terminated successfully.,258,442,0
scipy_nelder_mead,0.50,C,-6.72,1.0,-0.5,2.5,Pmy,8.018771,0.516995,9.149689,0.749229,8.018739,0.000032,0.000063,-0.167056,1.439175,-0.416831,0.962000,1.166297,4,4,0,True,Optimization terminated successfully.,258,442,0
scipy_nelder_mead,0.50,E,-6.6048,3.0,1.5,4.5,W,5.635661,4.611516,24.760895,15.039760,4.165377,1.470284,0.318829,-1.314555,2.629273,-0.419149,-0.592330,1.186105,4,4,0,True,Optimization terminated successfully.,232,395,0
scipy_nelder_mead,0.50,E,-6.6048,3.0,1.5,4.5,Em,-16.702196,2.262530,5.553819,2.151295,-14.840704,-1.861492,-0.822748,-1.314555,2.629273,-0.419149,-0.592330,1.186105,4,4,0,True,Optimization terminated successfully.,232,395,0
scipy_nelder_mead,0.50,E,-6.6048,3.0,1.5,4.5,Pmz,14.721959,1.779210,10.839091,1.341885,15.857785,-1.135826,-0.638388,-1.314555,2.629273,-0.419149,-0.592330,1.186105,4,4,0,True,Optimization terminated successfully.,232,395,0
scipy_nelder_mead,0.50,E,-6.6048,3.0,1.5,4.5,Pmy,8.208589,0.494393,9.031174,0.708300,8.208437,0.000152,0.000308,-1.314555,2.629273,-0.419149,-0.592330,1.186105,4,4,0,True,Optimization terminated successfully.,232,395,0
scipy_nelder_mead,0.50,D,-6.384,6.0,4.5,7.5,W,17.429567,1.156679,15.754386,4.152023,17.422233,0.007334,0.006341,-1.202020,1.135464,-1.888120,0.766601,0.012829,4,4,0,True,Optimization terminated successfully.,253,427,0
scipy_nelder_mead,0.50,D,-6.384,6.0,4.5,7.5,Em,-11.595717,3.418260,7.333112,5.570494,-11.244988,-0.350729,-0.102605,-1.202020,1.135464,-1.888120,0.766601,0.012829,4,4,0,True,Optimization terminated successfully.,253,427,0
scipy_nelder_mead,0.50,D,-6.384,6.0,4.5,7.5,Pmz,14.689701,1.612222,9.624250,1.098090,14.766363,-0.076662,-0.047551,-1.202020,1.135464,-1.888120,0.766601,0.012829,4,4,0,True,Optimization terminated successfully.,253,427,0
scipy_nelder_mead,0.50,D,-6.384,6.0,4.5,7.5,Pmy,8.743176,0.583078,9.348706,0.829620,8.743004,0.000172,0.000295,-1.202020,1.135464,-1.888120,0.766601,0.012829,4,4,0,True,Optimization terminated successfully.,253,427,0
scipy_nelder_mead,0.75,C,-6.72,1.0,-0.5,2.5,W,0.558118,4.114036,32.017325,11.611395,-0.298830,0.856948,0.208299,-0.411770,0.973041,-1.116919,1.599601,0.256187,4,4,0,True,Optimization terminated successfully.,230,393,0
scipy_nelder_mead,0.75,C,-6.72,1.0,-0.5,2.5,Em,-14.246517,0.750282,6.636521,1.318267,-14.095218,-0.151299,-0.201656,-0.411770,0.973041,-1.116919,1.599601,0.256187,4,4,0,True,Optimization terminated successfully.,230,393,0
scipy_nelder_mead,0.75,C,-6.72,1.0,-0.5,2.5,Pmz,13.613000,1.568364,11.937034,1.185761,14.263699,-0.650699,-0.414890,-0.411770,0.973041,-1.116919,1.599601,0.256187,4,4,0,True,Optimization terminated successfully.,230,393,0
scipy_nelder_mead,0.75,C,-6.72,1.0,-0.5,2.5,Pmy,8.018771,0.516995,9.149689,0.749229,8.018956,-0.000185,-0.000357,-0.411770,0.973041,-1.116919,1.599601,0.256187,4,4,0,True,Optimization terminated successfully.,230,393,0
scipy_nelder_mead,0.75,E,-6.6048,3.0,1.5,4.5,W,6.290081,4.192973,32.418061,11.793531,4.788600,1.501481,0.358095,-1.288909,2.512324,-0.508830,-0.395936,0.792359,4,4,0,True,Optimization terminated successfully.,247,421,0
scipy_nelder_mead,0.75,E,-6.6048,3.0,1.5,4.5,Em,-15.077805,0.454772,5.124020,0.636215,-14.984916,-0.092889,-0.204254,-1.288909,2.512324,-0.508830,-0.395936,0.792359,4,4,0,True,Optimization terminated successfully.,247,421,0
scipy_nelder_mead,0.75,E,-6.6048,3.0,1.5,4.5,Pmz,14.721959,1.779210,10.839091,1.341885,16.125627,-1.403668,-0.788928,-1.288909,2.512324,-0.508830,-0.395936,0.792359,4,4,0,True,Optimization terminated successfully.,247,421,0
scipy_nelder_mead,0.75,E,-6.6048,3.0,1.5,4.5,Pmy,8.208589,0.494393,9.031174,0.708300,8.208445,0.000144,0.000291,-1.288909,2.512324,-0.508830,-0.395936,0.792359,4,4,0,True,Optimization terminated successfully.,247,421,0
