method,fit_k_sigma,setting,dtheta_e,dpe,dtheta_p,dpp,chi2,max_abs_pull,exact_inversion_flag,success
scipy_nelder_mead,0.50,C,-0.167056,1.439175,-0.416831,0.962000,1.166297,1.059567,0,True
scipy_nelder_mead,0.50,E,-1.314555,2.629273,-0.419149,-0.592330,1.186105,0.822748,0,True
scipy_nelder_mead,0.50,D,-1.202020,1.135464,-1.888120,0.766601,0.012829,0.102605,0,True
scipy_nelder_mead,0.75,C,-0.411770,0.973041,-1.116919,1.599601,0.256187,0.414890,0,True
scipy_nelder_mead,0.75,E,-1.288909,2.512324,-0.508830,-0.395936,0.792359,0.788928,0,True
scipy_nelder_mead,0.75,D,-1.067787,1.633690,-1.269633,0.578742,0.732603,0.561156,0,True
scipy_nelder_mead,1.00,C,-1.275519,2.509015,-0.480789,-0.412220,1.099123,0.948485,0,True
scipy_nelder_mead,1.00,E,-0.684549,1.251008,-1.209904,1.406047,1.275983,0.748753,0,True
scipy_nelder_mead,1.00,D,-1.087694,1.503177,-1.413659,0.991789,0.790219,0.678979,0,True
scipy_nelder_mead,1.50,C,-0.326260,0.670438,-1.420197,2.022055,14.069421,2.611021,0,True
scipy_nelder_mead,1.50,E,-0.724130,1.310300,-1.274098,1.285008,12.451437,2.282100,0,True
scipy_nelder_mead,1.50,D,-0.862435,1.079132,-1.593382,1.510984,1.651794,0.878155,0,True
scipy_nelder_mead,2.00,C,-0.306763,0.591784,-1.487351,2.088967,9.759142,2.362952,0,True
scipy_nelder_mead,2.00,E,-0.564981,0.914659,-1.507511,1.788787,6.714505,1.831484,0,True
scipy_nelder_mead,2.00,D,-0.817240,0.799429,-1.791707,1.807831,0.788648,0.609970,0,True
