method,fit_k_sigma,setting,dtheta_e,dpe,dtheta_p,dpp,chi2,max_abs_pull,exact_inversion_flag,minuit_status,cov_status,edm
tminuit_simplex,0.500,C,-0.164,1.432,-0.420,0.972,1.166,1.059,0,0,2,0.000
tminuit_migrad,0.500,C,306.982,-699.385,-386.268,995.117,0.000,0.000,1,0,2,0.000
tminuit_simplex,0.500,D,-2.624,4.400,-0.082,-3.858,0.010,0.093,0,0,2,0.000
tminuit_migrad,0.500,D,-15.912,34.900,16.789,-47.058,0.000,0.000,1,0,2,0.000
tminuit_simplex,0.500,E,-2.032,4.274,0.490,-2.924,1.171,0.819,0,0,2,0.000
tminuit_migrad,0.500,E,-113.410,259.801,141.777,-365.023,0.000,0.000,1,0,2,0.000
tminuit_simplex,0.750,C,-33.255,76.283,40.507,-105.204,0.000,0.000,1,0,2,0.000
tminuit_migrad,0.750,C,-33.238,76.243,40.485,-105.146,0.000,0.000,1,0,2,0.000
tminuit_simplex,0.750,D,-0.918,1.384,-1.363,0.959,0.707,0.519,0,0,2,0.000
tminuit_migrad,0.750,D,-75.482,172.141,92.920,-241.166,0.000,0.000,1,0,2,0.000
tminuit_simplex,0.750,E,-61.776,141.217,76.156,-197.143,0.000,0.000,1,0,2,0.000
tminuit_migrad,0.750,E,-61.797,141.265,76.182,-197.211,0.000,0.000,1,0,2,0.000
tminuit_simplex,1.000,C,57.019,-131.213,-74.412,189.260,0.000,0.000,1,0,2,0.000
tminuit_migrad,1.000,C,57.023,-131.224,-74.417,189.274,0.000,0.000,1,0,2,0.000
tminuit_simplex,1.000,D,-33.152,74.993,39.190,-103.146,0.000,0.001,1,0,2,0.000
tminuit_migrad,1.000,D,-33.172,75.040,39.216,-103.213,0.000,0.000,1,0,2,0.000
tminuit_simplex,1.000,E,-1.838,3.893,0.249,-2.338,1.170,0.719,0,0,2,0.000
tminuit_migrad,1.000,E,-27.795,63.370,33.104,-86.643,0.000,0.000,1,0,2,0.000
tminuit_simplex,1.500,C,-72.308,165.710,89.791,-231.957,0.000,0.001,1,0,2,0.000
tminuit_migrad,1.500,C,-72.300,165.693,89.781,-231.933,0.000,0.000,1,0,2,0.000
tminuit_simplex,1.500,D,-27.677,62.555,32.380,-85.622,0.000,0.000,1,0,2,0.000
tminuit_migrad,1.500,D,-27.675,62.550,32.377,-85.615,0.000,0.000,1,0,2,0.000
tminuit_simplex,1.500,E,-63.576,145.392,78.344,-202.967,0.000,0.000,1,0,2,0.000
tminuit_migrad,1.500,E,-63.571,145.382,78.339,-202.952,0.000,0.000,1,0,2,0.000
tminuit_simplex,2.000,C,-1.004,2.190,-0.604,-0.178,9.518,2.333,0,0,2,0.003
tminuit_migrad,2.000,C,-56.457,129.356,69.685,-180.482,0.000,0.000,1,0,2,0.000
tminuit_simplex,2.000,D,-2.214,4.003,-0.021,-2.733,0.666,0.561,0,0,2,0.000
tminuit_migrad,2.000,D,-18.028,40.274,20.029,-54.141,0.000,0.000,1,0,2,0.000
tminuit_simplex,2.000,E,-44.337,101.293,53.974,-140.516,0.000,0.000,1,0,2,0.000
tminuit_migrad,2.000,E,-44.343,101.305,53.981,-140.533,0.000,0.000,1,0,2,0.000
