pass,setting,shms_p_GeV,dp_label,delta_center,dp_lo,dp_hi,variable,measured,measured_err,sigma,sigma_err,predicted,residual,residual_err_FromMeasuredOnly,pull_FromMeasuredOnly,dthe_b1,dthe_b2,dthe_b3,dthe_b4,dpe_b1,dpe_b2,dpe_b3,dpe_b4,dthp,dpp,chi2,n_obs,n_params,ndf,chi2_ndf,success,message,nit,nfev
4pass,A,-7.0700,b1,-1.5000,-2.0000,-1.0000,W,1.2124,0.9038,22.0324,0.0633,7.9229,-6.7106,0.9038,-7.4249,0.6423,0.9393,0.9502,0.9482,-1.9683,-2.0497,-2.2642,-2.6606,-4.9576,4.1534,2959.6113,32,10,22,134.5278,True,Optimization terminated successfully.,7216,10168
4pass,A,-7.0700,b1,-1.5000,-2.0000,-1.0000,Em,5.7845,0.2555,5.2964,0.0167,5.1740,0.6104,0.2555,2.3888,0.6423,0.9393,0.9502,0.9482,-1.9683,-2.0497,-2.2642,-2.6606,-4.9576,4.1534,2959.6113,32,10,22,134.5278,True,Optimization terminated successfully.,7216,10168
4pass,A,-7.0700,b1,-1.5000,-2.0000,-1.0000,Pmz,-6.6910,0.4831,9.6160,0.0328,-2.3351,-4.3559,0.4831,-9.0174,0.6423,0.9393,0.9502,0.9482,-1.9683,-2.0497,-2.2642,-2.6606,-4.9576,4.1534,2959.6113,32,10,22,134.5278,True,Optimization terminated successfully.,7216,10168
4pass,A,-7.0700,b1,-1.5000,-2.0000,-1.0000,Pmy,4.0985,0.2890,8.6674,0.0182,2.5696,1.5289,0.2890,5.2895,0.6423,0.9393,0.9502,0.9482,-1.9683,-2.0497,-2.2642,-2.6606,-4.9576,4.1534,2959.6113,32,10,22,134.5278,True,Optimization terminated successfully.,7216,10168
4pass,A,-7.0700,b2,-0.5000,-1.0000,0.0000,W,2.6866,0.7677,20.7562,0.0400,4.4426,-1.7560,0.7677,-2.2873,0.6423,0.9393,0.9502,0.9482,-1.9683,-2.0497,-2.2642,-2.6606,-4.9576,4.1534,2959.6113,32,10,22,134.5278,True,Optimization terminated successfully.,7216,10168
4pass,A,-7.0700,b2,-0.5000,-1.0000,0.0000,Em,5.9958,0.2331,5.5356,0.0124,5.7488,0.2470,0.2331,1.0598,0.6423,0.9393,0.9502,0.9482,-1.9683,-2.0497,-2.2642,-2.6606,-4.9576,4.1534,2959.6113,32,10,22,134.5278,True,Optimization terminated successfully.,7216,10168
4pass,A,-7.0700,b2,-0.5000,-1.0000,0.0000,Pmz,-6.2080,0.3709,9.1946,0.0198,-4.3768,-1.8312,0.3709,-4.9375,0.6423,0.9393,0.9502,0.9482,-1.9683,-2.0497,-2.2642,-2.6606,-4.9576,4.1534,2959.6113,32,10,22,134.5278,True,Optimization terminated successfully.,7216,10168
4pass,A,-7.0700,b2,-0.5000,-1.0000,0.0000,Pmy,6.0082,0.2759,8.5122,0.0132,3.3193,2.6889,0.2759,9.7449,0.6423,0.9393,0.9502,0.9482,-1.9683,-2.0497,-2.2642,-2.6606,-4.9576,4.1534,2959.6113,32,10,22,134.5278,True,Optimization terminated successfully.,7216,10168
4pass,A,-7.0700,b3,0.5000,0.0000,1.0000,W,8.6998,0.6829,19.9468,0.0347,6.1395,2.5603,0.6829,3.7491,0.6423,0.9393,0.9502,0.9482,-1.9683,-2.0497,-2.2642,-2.6606,-4.9576,4.1534,2959.6113,32,10,22,134.5278,True,Optimization terminated successfully.,7216,10168
4pass,A,-7.0700,b3,0.5000,0.0000,1.0000,Em,8.3490,0.2610,6.3439,0.0126,7.2635,1.0855,0.2610,4.1584,0.6423,0.9393,0.9502,0.9482,-1.9683,-2.0497,-2.2642,-2.6606,-4.9576,4.1534,2959.6113,32,10,22,134.5278,True,Optimization terminated successfully.,7216,10168
4pass,A,-7.0700,b3,0.5000,0.0000,1.0000,Pmz,-6.6962,0.3575,9.7505,0.0176,-5.3187,-1.3776,0.3575,-3.8536,0.6423,0.9393,0.9502,0.9482,-1.9683,-2.0497,-2.2642,-2.6606,-4.9576,4.1534,2959.6113,32,10,22,134.5278,True,Optimization terminated successfully.,7216,10168
4pass,A,-7.0700,b3,0.5000,0.0000,1.0000,Pmy,7.6604,0.2962,9.0765,0.0136,2.1301,5.5303,0.2962,18.6708,0.6423,0.9393,0.9502,0.9482,-1.9683,-2.0497,-2.2642,-2.6606,-4.9576,4.1534,2959.6113,32,10,22,134.5278,True,Optimization terminated successfully.,7216,10168
4pass,A,-7.0700,b4,1.5000,1.0000,2.0000,W,14.6897,0.5218,15.6849,0.0308,9.5832,5.1065,0.5218,9.7855,0.6423,0.9393,0.9502,0.9482,-1.9683,-2.0497,-2.2642,-2.6606,-4.9576,4.1534,2959.6113,32,10,22,134.5278,True,Optimization terminated successfully.,7216,10168
4pass,A,-7.0700,b4,1.5000,1.0000,2.0000,Em,12.5732,0.2264,6.2364,0.0134,10.0615,2.5118,0.2264,11.0926,0.6423,0.9393,0.9502,0.9482,-1.9683,-2.0497,-2.2642,-2.6606,-4.9576,4.1534,2959.6113,32,10,22,134.5278,True,Optimization terminated successfully.,7216,10168
4pass,A,-7.0700,b4,1.5000,1.0000,2.0000,Pmz,-7.6321,0.2803,8.2280,0.0168,-6.9323,-0.6997,0.2803,-2.4966,0.6423,0.9393,0.9502,0.9482,-1.9683,-2.0497,-2.2642,-2.6606,-4.9576,4.1534,2959.6113,32,10,22,134.5278,True,Optimization terminated successfully.,7216,10168
