quantity,value
method,scipy_nelder_mead_toy_errors
pass,5pass
input_csv,results/tables/MeasuredOffsetsBySetting_5pass.csv
fitparams_csv,results/tables/SimultaneousDpeDtheFitParams_5pass.csv
n_toys_requested,2000
seed,314159
bad_branch_abs_param_threshold,5.0000
central_chi2,9.6890
central_n_obs,12
central_n_params,8
central_ndf,4
central_chi2_ndf,2.4223
central_bad_branch_flag_abs_param_gt_5,0
toy_success_count,2000
toy_bad_branch_count_abs_param_gt_5,1337
toy_physical_branch_count,663
toy_physical_branch_fraction,0.3315
