pass,setting,shms_p_GeV,dp_label,delta_center,dp_lo,dp_hi,variable,measured,measured_err,sigma,sigma_err,predicted,residual,residual_err_FromMeasuredOnly,pull_FromMeasuredOnly,dthe_C,dthe_E,dthe_D,dpe_C,dpe_E,dpe_D,dthp,dpp,chi2,n_obs,n_params,ndf,chi2_ndf,success,message,nit,nfev
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,W,3.7664,1.2505,29.0894,1.3871,2.2746,1.4917,1.2505,1.1929,-1.1391,-1.3007,-1.4953,2.4028,2.5071,2.3954,2.3221,-0.4219,9.6890,12,8,4,2.4223,True,Optimization terminated successfully.,2482,3702
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,Em,-14.1876,0.2901,6.3090,0.2957,-14.1274,-0.0602,0.2901,-0.2074,-1.1391,-1.3007,-1.4953,2.4028,2.5071,2.3954,2.3221,-0.4219,9.6890,12,8,4,2.4223,True,Optimization terminated successfully.,2482,3702
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,Pmz,14.4998,0.3786,8.7406,0.4415,14.7723,-0.2724,0.3786,-0.7195,-1.1391,-1.3007,-1.4953,2.4028,2.5071,2.3954,2.3221,-0.4219,9.6890,12,8,4,2.4223,True,Optimization terminated successfully.,2482,3702
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,Pmx,-4.6540,0.4289,9.5430,0.4421,-5.2149,0.5610,0.4289,1.3079,-1.1391,-1.3007,-1.4953,2.4028,2.5071,2.3954,2.3221,-0.4219,9.6890,12,8,4,2.4223,True,Optimization terminated successfully.,2482,3702
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,W,5.5993,1.3030,29.7197,1.6348,5.1346,0.4647,1.3030,0.3566,-1.1391,-1.3007,-1.4953,2.4028,2.5071,2.3954,2.3221,-0.4219,9.6890,12,8,4,2.4223,True,Optimization terminated successfully.,2482,3702
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,Em,-15.3588,0.3439,7.0369,0.4478,-14.8272,-0.5316,0.3439,-1.5459,-1.1391,-1.3007,-1.4953,2.4028,2.5071,2.3954,2.3221,-0.4219,9.6890,12,8,4,2.4223,True,Optimization terminated successfully.,2482,3702
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,Pmz,15.5657,0.3609,8.2129,0.4139,16.0317,-0.4660,0.3609,-1.2913,-1.1391,-1.3007,-1.4953,2.4028,2.5071,2.3954,2.3221,-0.4219,9.6890,12,8,4,2.4223,True,Optimization terminated successfully.,2482,3702
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,Pmx,-5.9363,0.4549,10.0131,0.5288,-5.4890,-0.4473,0.4549,-0.9833,-1.1391,-1.3007,-1.4953,2.4028,2.5071,2.3954,2.3221,-0.4219,9.6890,12,8,4,2.4223,True,Optimization terminated successfully.,2482,3702
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,W,11.2271,1.2647,26.6921,1.4119,11.1272,0.0999,1.2647,0.0790,-1.1391,-1.3007,-1.4953,2.4028,2.5071,2.3954,2.3221,-0.4219,9.6890,12,8,4,2.4223,True,Optimization terminated successfully.,2482,3702
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,Em,-14.3480,0.4188,8.1054,0.5043,-14.0776,-0.2704,0.4188,-0.6456,-1.1391,-1.3007,-1.4953,2.4028,2.5071,2.3954,2.3221,-0.4219,9.6890,12,8,4,2.4223,True,Optimization terminated successfully.,2482,3702
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,Pmz,16.3032,0.3178,6.7718,0.3122,16.4218,-0.1186,0.3178,-0.3732,-1.1391,-1.3007,-1.4953,2.4028,2.5071,2.3954,2.3221,-0.4219,9.6890,12,8,4,2.4223,True,Optimization terminated successfully.,2482,3702
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,Pmx,-7.2654,0.6103,11.0257,0.7631,-6.9419,-0.3234,0.6103,-0.5300,-1.1391,-1.3007,-1.4953,2.4028,2.5071,2.3954,2.3221,-0.4219,9.6890,12,8,4,2.4223,True,Optimization terminated successfully.,2482,3702
