quantity,value
method,combined_4and5_scipy_nelder_mead_toy_errors
input4_csv,results/tables/MeasuredOffsetsBySetting_4pass.csv
input5_csv,results/tables/MeasuredOffsetsBySetting_5pass.csv
fitparams_csv,results/tables/Combined4and5Pass/Combined4and5PassFitParams.csv
n_toys_requested,2000
seed,314159
bad_branch_abs_param_threshold,5.0000
central_chi2,570.6746
central_n_obs,20
central_n_params,16
central_ndf,4
central_chi2_ndf,142.6687
central_bad_branch_flag_abs_param_gt_5,0
toy_success_count,1988
toy_bad_branch_count_abs_param_gt_5,162
toy_physical_branch_count,1828
toy_physical_branch_fraction,0.9140
