pass,setting,shms_p_GeV,dp_label,delta_center,dp_lo,dp_hi,variable,measured,measured_err,sigma,sigma_err,predicted,residual,residual_err_FromMeasuredOnly,pull_FromMeasuredOnly
4pass,A,-7.0700,b1,-0.5000,-2.0000,1.0000,W,5.4230,0.0770,19.4628,0.0617,4.7932,0.6298,0.0770,8.1816
4pass,A,-7.0700,b1,-0.5000,-2.0000,1.0000,Em,6.2081,0.0227,5.4968,0.0235,6.4862,-0.2781,0.0227,-12.2705
4pass,A,-7.0700,b1,-0.5000,-2.0000,1.0000,Pmz,-5.5812,0.0351,7.9953,0.0327,-5.0487,-0.5325,0.0351,-15.1541
4pass,A,-7.0700,b1,-0.5000,-2.0000,1.0000,Pmx,-5.3751,0.0358,8.7319,0.0325,-5.2421,-0.1330,0.0358,-3.7161
4pass,B,-5.6700,b1,-0.5000,-2.0000,1.0000,W,8.6128,0.3894,25.1342,0.4173,10.1426,-1.5299,0.3894,-3.9285
4pass,B,-5.6700,b1,-0.5000,-2.0000,1.0000,Em,-3.6868,0.1155,6.5454,0.1418,-5.2201,1.5333,0.1155,13.2760
4pass,B,-5.6700,b1,-0.5000,-2.0000,1.0000,Pmz,5.1493,0.1385,8.1771,0.1598,7.8934,-2.7441,0.1385,-19.8119
4pass,B,-5.6700,b1,-0.5000,-2.0000,1.0000,Pmx,-6.2260,0.1513,8.9245,0.1732,-4.6998,-1.5262,0.1513,-10.0900
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,W,3.7664,1.2505,29.0894,1.3871,19.8405,-16.0741,1.2505,-12.8541
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,Em,-14.1876,0.2901,6.3090,0.2957,-2.6202,-11.5674,0.2901,-39.8784
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,Pmz,14.4998,0.3786,8.7406,0.4415,6.4687,8.0312,0.3786,21.2101
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,Pmx,-4.6540,0.4289,9.5430,0.4421,-7.6060,2.9520,0.4289,6.8827
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,W,5.5993,1.3030,29.7197,1.6348,13.5966,-7.9973,1.3030,-6.1376
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,Em,-15.3588,0.3439,7.0369,0.4478,-8.1639,-7.1949,0.3439,-20.9228
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,Pmz,15.5657,0.3609,8.2129,0.4139,10.8998,4.6659,0.3609,12.9295
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,Pmx,-5.9363,0.4549,10.0131,0.5288,-4.9360,-1.0003,0.4549,-2.1991
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,W,11.2271,1.2647,26.6921,1.4119,0.1190,11.1080,1.2647,8.7830
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,Em,-14.3480,0.4188,8.1054,0.5043,-2.4676,-11.8804,0.4188,-28.3646
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,Pmz,16.3032,0.3178,6.7718,0.3122,2.5283,13.7748,0.3178,43.3413
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,Pmx,-7.2654,0.6103,11.0257,0.7631,-4.2571,-3.0083,0.6103,-4.9296
