quantity,value
method,combined_4and5_with_global_de0_scipy_nelder_mead_toy_errors
input4_csv,results/tables/MeasuredOffsetsBySetting_4pass.csv
input5_csv,results/tables/MeasuredOffsetsBySetting_5pass.csv
fitparams_csv,results/tables/Combined4and5PassWithDe0/Combined4and5PassFitParams_WithDe0.csv
n_toys_requested,2000
seed,314159
bad_branch_abs_param_threshold,5.0000
central_chi2,861.6028
central_n_obs,20
central_n_params,17
central_ndf,3
central_chi2_ndf,287.2009
central_bad_branch_flag_abs_param_gt_5,0
toy_success_count,1997
toy_bad_branch_count_abs_param_gt_5,63
toy_physical_branch_count,1934
toy_physical_branch_fraction,0.9670
