pass,setting,shms_p_GeV,dp_label,delta_center,dp_lo,dp_hi,variable,measured,measured_err,predicted,predicted_err_FromToy,residual,residual_err_Total,pull_Total
4pass,A,-7.0700,b1,-0.5000,-2.0000,1.0000,W,5.4573,0.0772,4.2768,0.2022,1.1805,0.2164,5.4546
4pass,A,-7.0700,b1,-0.5000,-2.0000,1.0000,Em,6.2076,0.0228,6.3728,0.0432,-0.1652,0.0488,-3.3838
4pass,A,-7.0700,b1,-0.5000,-2.0000,1.0000,Pmz,-5.5814,0.0356,-5.1315,0.0516,-0.4499,0.0627,-7.1804
4pass,A,-7.0700,b1,-0.5000,-2.0000,1.0000,Pmx,-5.4704,0.0363,-5.6961,0.1638,0.2257,0.1677,1.3458
4pass,B,-5.6700,b1,-0.5000,-2.0000,1.0000,W,8.4863,0.3893,9.7807,2.5088,-1.2944,2.5388,-0.5098
4pass,B,-5.6700,b1,-0.5000,-2.0000,1.0000,Em,-3.6635,0.1158,-3.1408,0.5174,-0.5227,0.5302,-0.9858
4pass,B,-5.6700,b1,-0.5000,-2.0000,1.0000,Pmz,5.1624,0.1387,5.6633,0.5650,-0.5009,0.5818,-0.8609
4pass,B,-5.6700,b1,-0.5000,-2.0000,1.0000,Pmx,-6.1576,0.1516,-5.3425,1.4699,-0.8151,1.4777,-0.5516
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,W,3.7664,1.2505,1.9530,8.5233,1.8134,8.6146,0.2105
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,Em,-14.1876,0.2901,-13.3330,2.5895,-0.8546,2.6057,-0.3280
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,Pmz,14.4998,0.3786,13.9184,2.6461,0.5815,2.6730,0.2175
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,Pmx,-4.6540,0.4289,-2.6723,2.5163,-1.9817,2.5526,-0.7763
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,W,5.5993,1.3030,12.8967,9.5355,-7.2974,9.6242,-0.7582
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,Em,-15.3588,0.3439,-13.6161,2.2950,-1.7427,2.3207,-0.7509
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,Pmz,15.5657,0.3609,16.2963,2.3404,-0.7305,2.3681,-0.3085
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,Pmx,-5.9363,0.4549,-2.3755,2.9655,-3.5609,3.0002,-1.1869
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,W,11.2271,1.2647,10.5730,11.6493,0.6540,11.7177,0.0558
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,Em,-14.3480,0.4188,-14.4638,2.0309,0.1157,2.0736,0.0558
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,Pmz,16.3032,0.3178,16.7023,2.2969,-0.3992,2.3188,-0.1721
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,Pmx,-7.2654,0.6103,0.0761,4.3896,-7.3415,4.4318,-1.6565
