pass,setting,shms_p_GeV,dp_label,delta_center,dp_lo,dp_hi,variable,measured,measured_err,predicted,predicted_err_FromToy,residual,residual_err_Total,pull_Total
4pass,A,-7.0700,b1,-0.5000,-2.0000,1.0000,W,5.4573,0.0772,4.3190,0.1761,1.1384,0.1923,5.9202
4pass,A,-7.0700,b1,-0.5000,-2.0000,1.0000,Em,6.2076,0.0228,6.3827,0.0424,-0.1752,0.0482,-3.6356
4pass,A,-7.0700,b1,-0.5000,-2.0000,1.0000,Pmz,-5.5814,0.0356,-5.1127,0.0438,-0.4687,0.0565,-8.3017
4pass,A,-7.0700,b1,-0.5000,-2.0000,1.0000,Pmx,-5.4704,0.0363,-5.6685,0.1528,0.1981,0.1570,1.2618
4pass,B,-5.6700,b1,-0.5000,-2.0000,1.0000,W,8.4863,0.3893,9.9999,2.3723,-1.5136,2.4041,-0.6296
4pass,B,-5.6700,b1,-0.5000,-2.0000,1.0000,Em,-3.6635,0.1158,-3.2180,0.3708,-0.4454,0.3885,-1.1466
4pass,B,-5.6700,b1,-0.5000,-2.0000,1.0000,Pmz,5.1624,0.1387,5.8012,0.4616,-0.6388,0.4820,-1.3253
4pass,B,-5.6700,b1,-0.5000,-2.0000,1.0000,Pmx,-6.1576,0.1516,-4.9968,1.1117,-1.1609,1.1220,-1.0347
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,W,3.7664,1.2505,5.4246,7.3981,-1.6582,7.5030,-0.2210
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,Em,-14.1876,0.2901,-13.6914,1.2260,-0.4962,1.2598,-0.3939
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,Pmz,14.4998,0.3786,14.9778,1.7840,-0.4780,1.8237,-0.2621
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,Pmx,-4.6540,0.4289,-4.7274,2.5333,0.0734,2.5694,0.0286
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,W,5.5993,1.3030,8.2272,6.7609,-2.6279,6.8853,-0.3817
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,Em,-15.3588,0.3439,-14.1592,1.5665,-1.1996,1.6038,-0.7480
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,Pmz,15.5657,0.3609,15.9749,1.6197,-0.4092,1.6594,-0.2466
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,Pmx,-5.9363,0.4549,-1.7995,2.0969,-4.1369,2.1457,-1.9280
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,W,11.2271,1.2647,8.8578,10.4739,2.3692,10.5499,0.2246
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,Em,-14.3480,0.4188,-14.1320,1.9717,-0.2160,2.0157,-0.1072
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,Pmz,16.3032,0.3178,16.0641,1.8834,0.2391,1.9100,0.1252
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,Pmx,-7.2654,0.6103,-1.0258,2.9355,-6.2396,2.9982,-2.0811
