dataset,method,init,setting,shms_p_GeV,delta_center,dp_lo,dp_hi,variable,mu,mu_err,sigma,sigma_err,predicted,residual,pull
julio_input,scipy_nelder_mead,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,W,10.468058,1.002105,37.972155,0.893049,7.937436,2.530622,2.525306
julio_input,scipy_nelder_mead,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,Em,-8.474547,0.186758,7.133772,0.172972,-8.786105,0.311558,1.668247
julio_input,scipy_nelder_mead,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmz,11.293317,0.559726,9.323317,0.662723,10.460373,0.832944,1.488129
julio_input,scipy_nelder_mead,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmy,12.310709,0.434572,11.728930,0.424420,9.343192,2.967517,6.828598
julio_input,scipy_nelder_mead,zero_init,E,-6.604800,3.000000,1.500000,4.500000,W,6.229827,1.096396,35.317492,0.958426,7.742585,-1.512758,-1.379755
julio_input,scipy_nelder_mead,zero_init,E,-6.604800,3.000000,1.500000,4.500000,Em,-15.954901,0.261251,7.348766,0.247712,-15.509707,-0.445194,-1.704087
julio_input,scipy_nelder_mead,zero_init,E,-6.604800,3.000000,1.500000,4.500000,Pmz,16.510733,0.513753,9.304224,0.554649,17.247371,-0.736638,-1.433837
julio_input,scipy_nelder_mead,zero_init,E,-6.604800,3.000000,1.500000,4.500000,Pmy,9.259874,0.547192,13.274062,0.534578,12.046837,-2.786963,-5.093208
julio_input,scipy_nelder_mead,zero_init,D,-6.384000,6.000000,4.500000,7.500000,W,13.607670,1.312226,34.572211,1.243736,15.171964,-1.564294,-1.192092
julio_input,scipy_nelder_mead,zero_init,D,-6.384000,6.000000,4.500000,7.500000,Em,-14.401973,0.400741,9.055663,0.373045,-13.717797,-0.684176,-1.707278
julio_input,scipy_nelder_mead,zero_init,D,-6.384000,6.000000,4.500000,7.500000,Pmz,16.704784,0.298057,8.313920,0.278653,16.855347,-0.150563,-0.505148
julio_input,scipy_nelder_mead,zero_init,D,-6.384000,6.000000,4.500000,7.500000,Pmy,8.709048,0.431981,11.820399,0.388189,9.903515,-1.194467,-2.765090
julio_input,scipy_nelder_mead,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,W,10.468058,1.002105,37.972155,0.893049,8.042593,2.425465,2.420370
julio_input,scipy_nelder_mead,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,Em,-8.474547,0.186758,7.133772,0.172972,-8.806331,0.331784,1.776544
julio_input,scipy_nelder_mead,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmz,11.293317,0.559726,9.323317,0.662723,10.282999,1.010318,1.805022
julio_input,scipy_nelder_mead,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmy,12.310709,0.434572,11.728930,0.424420,9.339082,2.971627,6.838055
julio_input,scipy_nelder_mead,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,W,6.229827,1.096396,35.317492,0.958426,7.875144,-1.645317,-1.500660
julio_input,scipy_nelder_mead,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,Em,-15.954901,0.261251,7.348766,0.247712,-15.549701,-0.405200,-1.550997
julio_input,scipy_nelder_mead,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,Pmz,16.510733,0.513753,9.304224,0.554649,17.095326,-0.584593,-1.137888
julio_input,scipy_nelder_mead,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,Pmy,9.259874,0.547192,13.274062,0.534578,12.045281,-2.785407,-5.090365
julio_input,scipy_nelder_mead,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,W,13.607670,1.312226,34.572211,1.243736,15.409791,-1.802121,-1.373331
julio_input,scipy_nelder_mead,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,Em,-14.401973,0.400741,9.055663,0.373045,-13.827733,-0.574240,-1.432945
julio_input,scipy_nelder_mead,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,Pmz,16.704784,0.298057,8.313920,0.278653,16.794508,-0.089724,-0.301031
julio_input,scipy_nelder_mead,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,Pmy,8.709048,0.431981,11.820399,0.388189,9.909391,-1.200343,-2.778694
radwan_input,scipy_nelder_mead,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,W,2.557277,1.094107,28.873636,1.036490,2.355220,0.202057,0.184677
radwan_input,scipy_nelder_mead,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,Em,-14.294357,0.271950,6.796372,0.276912,-13.682025,-0.612332,-2.251635
radwan_input,scipy_nelder_mead,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmz,13.361736,0.401260,9.281076,0.332821,14.348671,-0.986935,-2.459590
radwan_input,scipy_nelder_mead,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmy,8.590304,0.329922,10.234650,0.292744,9.158891,-0.568587,-1.723399
radwan_input,scipy_nelder_mead,zero_init,E,-6.604800,3.000000,1.500000,4.500000,W,5.161966,1.031033,28.824679,0.955779,4.372620,0.789346,0.765588
radwan_input,scipy_nelder_mead,zero_init,E,-6.604800,3.000000,1.500000,4.500000,Em,-15.034481,0.287492,6.984338,0.274461,-14.553883,-0.480598,-1.671693
radwan_input,scipy_nelder_mead,zero_init,E,-6.604800,3.000000,1.500000,4.500000,Pmz,14.975752,0.352338,8.840918,0.280320,15.621028,-0.645276,-1.831412
radwan_input,scipy_nelder_mead,zero_init,E,-6.604800,3.000000,1.500000,4.500000,Pmy,8.984313,0.314767,9.954763,0.266540,9.115540,-0.131227,-0.416900
radwan_input,scipy_nelder_mead,zero_init,D,-6.384000,6.000000,4.500000,7.500000,W,11.905280,1.091195,27.761362,1.126965,9.985114,1.920166,1.759691
radwan_input,scipy_nelder_mead,zero_init,D,-6.384000,6.000000,4.500000,7.500000,Em,-14.151015,0.386584,8.456462,0.400337,-14.255829,0.104814,0.271128
radwan_input,scipy_nelder_mead,zero_init,D,-6.384000,6.000000,4.500000,7.500000,Pmz,16.158137,0.359273,8.317206,0.271510,16.396341,-0.238204,-0.663017
radwan_input,scipy_nelder_mead,zero_init,D,-6.384000,6.000000,4.500000,7.500000,Pmy,8.607762,0.325779,9.555320,0.263229,7.914961,0.692801,2.126599
radwan_input,scipy_nelder_mead,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,W,2.557277,1.094107,28.873636,1.036490,3.294061,-0.736784,-0.673411
radwan_input,scipy_nelder_mead,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,Em,-14.294357,0.271950,6.796372,0.276912,-14.021583,-0.272774,-1.003029
radwan_input,scipy_nelder_mead,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmz,13.361736,0.401260,9.281076,0.332821,13.638426,-0.276690,-0.689554
radwan_input,scipy_nelder_mead,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmy,8.590304,0.329922,10.234650,0.292744,9.123957,-0.533653,-1.617513
