fit_type,setting,shms_p_GeV,delta_center,dp_lo,dp_hi,variable,mu,mu_err,sigma,sigma_err,predicted,residual,pull,dtheta_e,dpe,dtheta_p,dpp,chi2,n_obs,n_params,ndf,success,message,nit,nfev
scipy_best_fit,C,-6.72,1.0,-0.5,2.5,W,10.468058,1.002105,37.972155,0.893049,10.799514606355231,-0.331456606355232,-0.3307603558062598,-0.37697436836337006,-0.1411589854208226,-3.0705221036876305,2.0047601379127054,1.1386761825209906,4,4,0,True,Optimization terminated successfully.,252,422
scipy_best_fit,C,-6.72,1.0,-0.5,2.5,Em,-8.474547,0.186758,7.133772,0.172972,-8.535338660153377,0.060791660153377336,0.32551034040510896,-0.37697436836337006,-0.1411589854208226,-3.0705221036876305,2.0047601379127054,1.1386761825209906,4,4,0,True,Optimization terminated successfully.,252,422
scipy_best_fit,C,-6.72,1.0,-0.5,2.5,Pmz,11.293317,0.559726,9.323317,0.662723,10.755479844969946,0.5378371550300542,0.9608936426573972,-0.37697436836337006,-0.1411589854208226,-3.0705221036876305,2.0047601379127054,1.1386761825209906,4,4,0,True,Optimization terminated successfully.,252,422
scipy_best_fit,C,-6.72,1.0,-0.5,2.5,Pmy,12.310709,0.434572,11.72893,0.42442,12.310901067971002,-0.00019206797100324025,-0.00044197042378073194,-0.37697436836337006,-0.1411589854208226,-3.0705221036876305,2.0047601379127054,1.1386761825209906,4,4,0,True,Optimization terminated successfully.,252,422
julio_reported_reference,C,-6.72,1.0,-0.5,2.5,W,10.468058,1.002105,37.972155,0.893049,10.63916,-0.1711020000000012,-0.1707425868546721,-0.8619,0.9869,-2.4567,0.4436,2.2931287588107705,4,4,0,reference,copied from Julio notebook; not refit here,,
julio_reported_reference,C,-6.72,1.0,-0.5,2.5,Em,-8.474547,0.186758,7.133772,0.172972,-8.720327000000001,0.24578000000000166,1.3160346544726418,-0.8619,0.9869,-2.4567,0.4436,2.2931287588107705,4,4,0,reference,copied from Julio notebook; not refit here,,
julio_reported_reference,C,-6.72,1.0,-0.5,2.5,Pmz,11.293317,0.559726,9.323317,0.662723,10.898278,0.3950390000000006,0.7057721099252146,-0.8619,0.9869,-2.4567,0.4436,2.2931287588107705,4,4,0,reference,copied from Julio notebook; not refit here,,
julio_reported_reference,C,-6.72,1.0,-0.5,2.5,Pmy,12.310709,0.434572,11.72893,0.42442,12.390739,-0.08003000000000071,-0.1841582062351019,-0.8619,0.9869,-2.4567,0.4436,2.2931287588107705,4,4,0,reference,copied from Julio notebook; not refit here,,
scipy_best_fit,E,-6.6048,3.0,1.5,4.5,W,6.229827,1.096396,35.317492,0.958426,5.685875933481211,0.5439510665187894,0.4961264602559563,-0.7724444975935932,1.2431903114863923,-1.4655155923909713,1.5748957493194577,2.111503856493032,4,4,0,True,Optimization terminated successfully.,228,390
scipy_best_fit,E,-6.6048,3.0,1.5,4.5,Em,-15.954901,0.261251,7.348766,0.247712,-15.791063884354728,-0.16383711564527204,-0.6271253149089268,-0.7724444975935932,1.2431903114863923,-1.4655155923909713,1.5748957493194577,2.111503856493032,4,4,0,True,Optimization terminated successfully.,228,390
