setting,shms_p_GeV,delta_center,dp_lo,dp_hi,variable,mu,mu_err,sigma,sigma_err
C,-6.72,1.0,-0.5,2.5,W,2.557277,1.094107,28.873636,1.03649
C,-6.72,1.0,-0.5,2.5,Em,-14.294357,0.27195,6.796372,0.276912
C,-6.72,1.0,-0.5,2.5,Pmz,13.361736,0.40126,9.281076,0.332821
C,-6.72,1.0,-0.5,2.5,Pmy,8.590304,0.329922,10.23465,0.292744
E,-6.6048,3.0,1.5,4.5,W,5.161966,1.031033,28.824679,0.955779
E,-6.6048,3.0,1.5,4.5,Em,-15.034481,0.287492,6.984338,0.274461
E,-6.6048,3.0,1.5,4.5,Pmz,14.975752,0.352338,8.840918,0.28032
E,-6.6048,3.0,1.5,4.5,Pmy,8.984313,0.314767,9.954763,0.26654
D,-6.384,6.0,4.5,7.5,W,11.90528,1.091195,27.761362,1.126965
D,-6.384,6.0,4.5,7.5,Em,-14.151015,0.386584,8.456462,0.400337
D,-6.384,6.0,4.5,7.5,Pmz,16.158137,0.359273,8.317206,0.27151
D,-6.384,6.0,4.5,7.5,Pmy,8.607762,0.325779,9.55532,0.263229
