fit_type,setting,shms_p_GeV,delta_center,dp_lo,dp_hi,variable,mu,mu_err,sigma,sigma_err,predicted,residual,pull,dtheta_e,dpe,dtheta_p,dpp,chi2,n_obs,n_params,ndf,success,message,nit,nfev
scipy_best_fit,C,-6.72,1.0,-0.5,2.5,W,2.557277,1.094107,28.873636,1.03649,1.2162679744835492,1.3410090255164508,1.2256653375917081,-0.7492735699173745,1.6065554569041363,-0.9462024714109102,0.6501109448612974,9.605932773716637,4,4,0,True,Optimization terminated successfully.,230,400
scipy_best_fit,C,-6.72,1.0,-0.5,2.5,Em,-14.294357,0.27195,6.796372,0.276912,-13.85501188502069,-0.43934511497930906,-1.6155363669031404,-0.7492735699173745,1.6065554569041363,-0.9462024714109102,0.6501109448612974,9.605932773716637,4,4,0,True,Optimization terminated successfully.,230,400
scipy_best_fit,C,-6.72,1.0,-0.5,2.5,Pmz,13.361736,0.40126,9.281076,0.332821,14.302236050786668,-0.9405000507866674,-2.343866946086496,-0.7492735699173745,1.6065554569041363,-0.9462024714109102,0.6501109448612974,9.605932773716637,4,4,0,True,Optimization terminated successfully.,230,400
scipy_best_fit,C,-6.72,1.0,-0.5,2.5,Pmy,8.590304,0.329922,10.23465,0.292744,8.591191741535514,-0.000887741535514408,-0.0026907618634538105,-0.7492735699173745,1.6065554569041363,-0.9462024714109102,0.6501109448612974,9.605932773716637,4,4,0,True,Optimization terminated successfully.,230,400
scipy_best_fit,E,-6.6048,3.0,1.5,4.5,W,5.161966,1.031033,28.824679,0.955779,4.104863739509129,1.0571022604908702,1.0252846033937517,-0.649974098058383,1.1094127022990534,-1.4187965995404097,1.5125903644470498,6.6884756465322255,4,4,0,True,Optimization terminated successfully.,210,370
scipy_best_fit,E,-6.6048,3.0,1.5,4.5,Em,-15.034481,0.287492,6.984338,0.274461,-14.598711656261194,-0.43576934373880505,-1.5157616341978386,-0.649974098058383,1.1094127022990534,-1.4187965995404097,1.5125903644470498,6.6884756465322255,4,4,0,True,Optimization terminated successfully.,210,370
scipy_best_fit,E,-6.6048,3.0,1.5,4.5,Pmz,14.975752,0.352338,8.840918,0.28032,15.619647472726964,-0.6438954727269639,-1.8274936927806933,-0.649974098058383,1.1094127022990534,-1.4187965995404097,1.5125903644470498,6.6884756465322255,4,4,0,True,Optimization terminated successfully.,210,370
scipy_best_fit,E,-6.6048,3.0,1.5,4.5,Pmy,8.984313,0.314767,9.954763,0.26654,8.984556759886575,-0.00024375988657432401,-0.0007744137300743852,-0.649974098058383,1.1094127022990534,-1.4187965995404097,1.5125903644470498,6.6884756465322255,4,4,0,True,Optimization terminated successfully.,210,370
scipy_best_fit,D,-6.384,6.0,4.5,7.5,W,11.90528,1.091195,27.761362,1.126965,11.552602781809117,0.35267721819088216,0.32320274395583026,-0.9071822078547024,1.0057124881316124,-1.696395548160611,1.5154914583406736,0.7804269870193594,4,4,0,True,Optimization terminated successfully.,243,428
scipy_best_fit,D,-6.384,6.0,4.5,7.5,Em,-14.151015,0.386584,8.456462,0.400337,-13.916605393314507,-0.23440960668549238,-0.6063613773086636,-0.9071822078547024,1.0057124881316124,-1.696395548160611,1.5154914583406736,0.7804269870193594,4,4,0,True,Optimization terminated successfully.,243,428
scipy_best_fit,D,-6.384,6.0,4.5,7.5,Pmz,16.158137,0.359273,8.317206,0.27151,16.35762007639654,-0.19948307639653962,-0.5552409348783226,-0.9071822078547024,1.0057124881316124,-1.696395548160611,1.5154914583406736,0.7804269870193594,4,4,0,True,Optimization terminated successfully.,243,428
scipy_best_fit,D,-6.384,6.0,4.5,7.5,Pmy,8.607762,0.325779,9.55532,0.263229,8.607567168205229,0.00019483179477042256,0.0005980489680747457,-0.9071822078547024,1.0057124881316124,-1.696395548160611,1.5154914583406736,0.7804269870193594,4,4,0,True,Optimization terminated successfully.,243,428
