pass,setting,shms_p_GeV,dp_label,delta_center,dp_lo,dp_hi,variable,measured,measured_err,sigma,sigma_err,predicted,residual,residual_err_FromMeasuredOnly,pull_FromMeasuredOnly
4pass,A,-7.0700,b1,0.0000,-999.0000,999.0000,W,5.4413,0.0772,19.5399,0.0617,4.6890,0.7523,0.0772,9.7486
4pass,A,-7.0700,b1,0.0000,-999.0000,999.0000,Em,6.2076,0.0228,5.4968,0.0235,6.4639,-0.2563,0.0228,-11.2391
4pass,A,-7.0700,b1,0.0000,-999.0000,999.0000,Pmz,-5.5829,0.0354,7.9955,0.0323,-5.0748,-0.5082,0.0354,-14.3353
4pass,A,-7.0700,b1,0.0000,-999.0000,999.0000,Pmx,-5.4346,0.0361,8.7623,0.0320,-5.2801,-0.1546,0.0361,-4.2776
4pass,B,-5.6700,b1,0.0000,-999.0000,999.0000,W,8.5834,0.3873,25.5609,0.4133,8.5082,0.0753,0.3873,0.1943
4pass,B,-5.6700,b1,0.0000,-999.0000,999.0000,Em,-3.6635,0.1158,6.5454,0.1418,-3.1751,-0.4883,0.1158,-4.2186
4pass,B,-5.6700,b1,0.0000,-999.0000,999.0000,Pmz,5.1674,0.1387,8.1808,0.1598,5.3786,-0.2112,0.1387,-1.5227
4pass,B,-5.6700,b1,0.0000,-999.0000,999.0000,Pmx,-6.2041,0.1522,9.0562,0.1739,-5.9668,-0.2373,0.1522,-1.5588
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,W,3.7664,1.2505,29.0894,1.3871,3.0491,0.7173,1.2505,0.5736
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,Em,-14.1876,0.2901,6.3090,0.2957,-14.3124,0.1248,0.2901,0.4304
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,Pmz,14.4998,0.3786,8.7406,0.4415,15.1314,-0.6316,0.3786,-1.6679
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,Pmx,-4.6540,0.4289,9.5430,0.4421,-8.6495,3.9955,0.4289,9.3157
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,W,5.5993,1.3030,29.7197,1.6348,9.8809,-4.2816,1.3030,-3.2860
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,Em,-15.3588,0.3439,7.0369,0.4478,-14.2343,-1.1245,0.3439,-3.2700
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,Pmz,15.5657,0.3609,8.2129,0.4139,16.3345,-0.7688,0.3609,-2.1304
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,Pmx,-5.9363,0.4549,10.0131,0.5288,-3.8900,-2.0463,0.4549,-4.4986
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,W,11.2271,1.2647,26.6921,1.4119,9.0019,2.2251,1.2647,1.7594
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,Em,-14.3480,0.4188,8.1054,0.5043,-13.2945,-1.0535,0.4188,-2.5153
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,Pmz,16.3032,0.3178,6.7718,0.3122,15.2580,1.0452,0.3178,3.2886
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,Pmx,-7.2654,0.6103,11.0257,0.7631,-13.6243,6.3589,0.6103,10.4201
