fit_k_sigma,setting,run,e_beam_GeV,hms_p_GeV,hms_angle_deg,shms_p_GeV,shms_angle_deg,dp_label,dp_lo,dp_hi,bin_center,var,norm_win_lo_MeV,norm_win_hi_MeV,intD_win,intS_win,sim_scale,entriesD,entriesS,entriesD_fit_range,entriesS_fit_range,seed_muD_MeV,seed_sigD_MeV,seed_loD_MeV,seed_hiD_MeV,fit_loD_MeV,fit_hiD_MeV,muD_MeV,muD_err_MeV,sigD_MeV,sigD_err_MeV,statusD,chi2D,ndfD,seed_muS_MeV,seed_sigS_MeV,seed_loS_MeV,seed_hiS_MeV,fit_loS_MeV,fit_hiS_MeV,muS_MeV,muS_err_MeV,sigS_MeV,sigS_err_MeV,statusS,chi2S,ndfS,offset_MeV,offset_err_MeV,fit_valid
0.500000,C,25476,10.671600,4.720000,26.395000,-6.720000,18.560000,b1,-0.500000,2.500000,1.000000,W,933.688368,963.118405,448.000000,0.107704,4159.563735,1206.000000,13296.000000,448.000000,436.385341,948.403386,29.430038,866.000000,1013.000000,933.688368,963.118405,887.948649,42.651358,78.432719,39.227151,0,0.202672,1,950.183690,23.861417,873.000000,1020.000000,936.183690,964.183690,944.502513,1.657865,22.371268,3.004069,0,0.000577,1,-56.553864,42.683567,1
0.750000,C,25476,10.671600,4.720000,26.395000,-6.720000,18.560000,b1,-0.500000,2.500000,1.000000,W,926.330858,970.475915,595.000000,0.137836,4316.731499,1206.000000,13296.000000,595.000000,532.247052,948.403386,29.430038,866.000000,1013.000000,926.330858,970.475915,947.502004,4.084675,32.017325,11.611395,0,2.363385,3,950.183690,23.861417,873.000000,1020.000000,932.287626,968.079753,946.943886,0.490631,21.185538,0.901564,0,9.169902,3,0.558118,4.114036,1
1.000000,C,25476,10.671600,4.720000,26.395000,-6.720000,18.560000,b1,-0.500000,2.500000,1.000000,W,918.973349,977.833424,724.000000,0.158204,4576.378930,1206.000000,13296.000000,724.000000,679.928211,948.403386,29.430038,866.000000,1013.000000,918.973349,977.833424,950.486246,2.740627,32.728209,6.218202,0,3.457758,5,950.183690,23.861417,873.000000,1020.000000,926.322272,974.045107,946.943886,0.490631,21.185538,0.901564,0,9.169902,3,3.542361,2.784197,1
1.500000,C,25476,10.671600,4.720000,26.395000,-6.720000,18.560000,b1,-0.500000,2.500000,1.000000,W,904.258330,992.548443,903.000000,0.183178,4929.628399,1206.000000,13296.000000,903.000000,870.926118,948.403386,29.430038,866.000000,1013.000000,904.258330,992.548443,950.268053,1.232845,27.792263,1.382291,0,5.553673,10,950.183690,23.861417,873.000000,1020.000000,914.391563,985.975816,947.396721,0.275822,21.965580,0.334329,0,17.514650,7,2.871331,1.263323,1
2.000000,C,25476,10.671600,4.720000,26.395000,-6.720000,18.560000,b1,-0.500000,2.500000,1.000000,W,889.543311,1007.263462,970.000000,0.190232,5099.047959,1206.000000,13296.000000,970.000000,934.033954,948.403386,29.430038,866.000000,1013.000000,889.543311,1007.263462,950.928059,1.070795,28.873636,1.036490,0,9.410966,14,950.183690,23.861417,873.000000,1020.000000,902.460855,997.906524,948.370781,0.224649,22.290781,0.209712,0,64.417632,11,2.557277,1.094107,1
0.500000,C,25476,10.671600,4.720000,26.395000,-6.720000,18.560000,b1,-0.500000,2.500000,1.000000,Em,-11.147577,-3.147577,445.000000,0.002193,202933.093730,1206.000000,13296.000000,445.000000,23914.471962,-7.147577,7.871785,-30.000000,12.000000,-11.147577,-3.147577,-8.789155,1.127169,6.124952,2.921916,0,0.262936,1,7.211063,5.546315,-16.000000,26.000000,3.211063,11.211063,5.240352,0.291005,4.049977,0.224358,0,0.303530,1,-14.029508,1.164128,1
0.750000,C,25476,10.671600,4.720000,26.395000,-6.720000,18.560000,b1,-0.500000,2.500000,1.000000,Em,-13.051416,-1.243738,573.000000,0.007955,72032.660849,1206.000000,13296.000000,573.000000,8488.625569,-7.147577,7.871785,-30.000000,12.000000,-13.051416,-1.243738,-9.006165,0.691548,6.636521,1.318267,0,0.301327,3,7.211063,5.546315,-16.000000,26.000000,3.051327,11.370799,5.240352,0.291005,4.049977,0.224358,0,0.303530,1,-14.246517,0.750282,1
1.000000,C,25476,10.671600,4.720000,26.395000,-6.720000,18.560000,b1,-0.500000,2.500000,1.000000,Em,-15.019362,0.724208,684.000000,0.022943,29813.591643,1206.000000,13296.000000,684.000000,4182.456854,-7.147577,7.871785,-30.000000,12.000000,-15.019362,0.724208,-9.160940,0.435731,6.405842,0.606658,0,0.654023,5,7.211063,5.546315,-16.000000,26.000000,1.664749,12.757378,5.597092,0.086261,3.790431,0.100470,0,2.606454,2,-14.758033,0.444188,1
1.500000,C,25476,10.671600,4.720000,26.395000,-6.720000,18.560000,b1,-0.500000,2.500000,1.000000,Em,-18.955255,4.660101,802.000000,0.079304,10112.951189,1206.000000,13296.000000,802.000000,1524.831113,-7.147577,7.871785,-30.000000,12.000000,-18.955255,4.660101,-8.840999,0.317956,6.501951,0.340162,0,4.226043,8,7.211063,5.546315,-16.000000,26.000000,-1.108409,15.530535,5.916207,0.045564,4.067499,0.046069,0,151.208129,6,-14.757206,0.321204,1
2.000000,C,25476,10.671600,4.720000,26.395000,-6.720000,18.560000,b1,-0.500000,2.500000,1.000000,Em,-22.891148,8.595994,881.000000,0.129101,6824.123439,1206.000000,13296.000000,881.000000,1088.089422,-7.147577,7.871785,-30.000000,12.000000,-22.891148,8.595994,-8.230110,0.268160,6.796372,0.276912,0,39.279463,12,7.211063,5.546315,-16.000000,26.000000,-3.881566,18.303692,6.064247,0.045242,4.041166,0.039548,0,348.539656,8,-14.294357,0.271950,1
