fit_k_sigma,setting,shms_p_GeV,bin_center,dp_lo,dp_hi,variable,mu,mu_err,sigma,sigma_err,fit_valid,statusD,statusS
0.500000,C,-6.720000,1.000000,-0.500000,2.500000,W,-56.553864,42.683567,78.432719,39.227151,1,0,0
0.750000,C,-6.720000,1.000000,-0.500000,2.500000,W,0.558118,4.114036,32.017325,11.611395,1,0,0
1.000000,C,-6.720000,1.000000,-0.500000,2.500000,W,3.542361,2.784197,32.728209,6.218202,1,0,0
1.500000,C,-6.720000,1.000000,-0.500000,2.500000,W,2.871331,1.263323,27.792263,1.382291,1,0,0
2.000000,C,-6.720000,1.000000,-0.500000,2.500000,W,2.557277,1.094107,28.873636,1.036490,1,0,0
0.500000,C,-6.720000,1.000000,-0.500000,2.500000,Em,-14.029508,1.164128,6.124952,2.921916,1,0,0
0.750000,C,-6.720000,1.000000,-0.500000,2.500000,Em,-14.246517,0.750282,6.636521,1.318267,1,0,0
1.000000,C,-6.720000,1.000000,-0.500000,2.500000,Em,-14.758033,0.444188,6.405842,0.606658,1,0,0
1.500000,C,-6.720000,1.000000,-0.500000,2.500000,Em,-14.757206,0.321204,6.501951,0.340162,1,0,0
2.000000,C,-6.720000,1.000000,-0.500000,2.500000,Em,-14.294357,0.271950,6.796372,0.276912,1,0,0
0.500000,C,-6.720000,1.000000,-0.500000,2.500000,Pmz,12.410857,1.103623,9.913617,1.038598,1,0,0
0.750000,C,-6.720000,1.000000,-0.500000,2.500000,Pmz,13.613000,1.568364,11.937034,1.185761,1,0,0
1.000000,C,-6.720000,1.000000,-0.500000,2.500000,Pmz,17.377466,1.485755,11.937034,1.185761,1,0,0
1.500000,C,-6.720000,1.000000,-0.500000,2.500000,Pmz,13.424871,0.394100,9.112102,0.324370,1,0,0
2.000000,C,-6.720000,1.000000,-0.500000,2.500000,Pmz,13.361736,0.401260,9.281076,0.332821,1,0,0
0.500000,C,-6.720000,1.000000,-0.500000,2.500000,Pmy,8.018771,0.516995,9.149689,0.749229,1,0,0
0.750000,C,-6.720000,1.000000,-0.500000,2.500000,Pmy,8.018771,0.516995,9.149689,0.749229,1,0,0
1.000000,C,-6.720000,1.000000,-0.500000,2.500000,Pmy,8.121400,0.416792,9.339337,0.481023,1,0,0
1.500000,C,-6.720000,1.000000,-0.500000,2.500000,Pmy,8.452749,0.347197,9.790159,0.327893,1,0,0
2.000000,C,-6.720000,1.000000,-0.500000,2.500000,Pmy,8.496041,0.332986,10.234650,0.292744,1,0,0
