setting,bin,dp_idx,dp_lo,dp_hi,dthe_fit,dthe_fit_err,dpe_b1_fit,dpe_b1_fit_err,dpe_b2_fit,dpe_b2_fit_err,dpe_b3_fit,dpe_b3_fit_err,dpe_b4_fit,dpe_b4_fit_err,dpe_b5_fit,dpe_b5_fit_err,dthp_fit,dthp_fit_err,dpp_fit,dpp_fit_err,dW_measured,dW_err,dEm_measured,dEm_err,dPmz_measured,dPmz_err,dPmy_measured,dPmy_err,dW_pred,dW_pred_err,dEm_pred,dEm_pred_err,dPmz_pred,dPmz_pred_err,dPmy_pred,dPmy_pred_err,dW_resid,dW_resid_err,dEm_resid,dEm_resid_err,dPmz_resid,dPmz_resid_err,dPmy_resid,dPmy_resid_err,chi2_min,n_obs_used,n_params,ndf,chi2_ndf,fit_prob,fit_valid,fit_note,cov_dthe_dthe,cov_dthe_dpe_b1,cov_dthe_dpe_b2,cov_dthe_dpe_b3,cov_dthe_dpe_b4,cov_dthe_dpe_b5,cov_dthe_dthp,cov_dthe_dpp,cov_dpe_b1_dthe,cov_dpe_b1_dpe_b1,cov_dpe_b1_dpe_b2,cov_dpe_b1_dpe_b3,cov_dpe_b1_dpe_b4,cov_dpe_b1_dpe_b5,cov_dpe_b1_dthp,cov_dpe_b1_dpp,cov_dpe_b2_dthe,cov_dpe_b2_dpe_b1,cov_dpe_b2_dpe_b2,cov_dpe_b2_dpe_b3,cov_dpe_b2_dpe_b4,cov_dpe_b2_dpe_b5,cov_dpe_b2_dthp,cov_dpe_b2_dpp,cov_dpe_b3_dthe,cov_dpe_b3_dpe_b1,cov_dpe_b3_dpe_b2,cov_dpe_b3_dpe_b3,cov_dpe_b3_dpe_b4,cov_dpe_b3_dpe_b5,cov_dpe_b3_dthp,cov_dpe_b3_dpp,cov_dpe_b4_dthe,cov_dpe_b4_dpe_b1,cov_dpe_b4_dpe_b2,cov_dpe_b4_dpe_b3,cov_dpe_b4_dpe_b4,cov_dpe_b4_dpe_b5,cov_dpe_b4_dthp,cov_dpe_b4_dpp,cov_dpe_b5_dthe,cov_dpe_b5_dpe_b1,cov_dpe_b5_dpe_b2,cov_dpe_b5_dpe_b3,cov_dpe_b5_dpe_b4,cov_dpe_b5_dpe_b5,cov_dpe_b5_dthp,cov_dpe_b5_dpp,cov_dthp_dthe,cov_dthp_dpe_b1,cov_dthp_dpe_b2,cov_dthp_dpe_b3,cov_dthp_dpe_b4,cov_dthp_dpe_b5,cov_dthp_dthp,cov_dthp_dpp,cov_dpp_dthe,cov_dpp_dpe_b1,cov_dpp_dpe_b2,cov_dpp_dpe_b3,cov_dpp_dpe_b4,cov_dpp_dpe_b5,cov_dpp_dthp,cov_dpp_dpp,end_marker
C,b1,1,-2.000000,-1.000000,-51.152670,0.126151,117.714141,0.287075,117.574947,0.287182,117.526991,0.286976,117.340388,0.285643,117.041383,0.286595,63.414978,0.163656,-163.244881,0.403022,-10.701509,2.025061,-19.848375,0.408305,18.148835,0.578927,3.999799,0.405557,-3.182463,0.782625,-17.713597,0.309657,15.886421,0.248529,8.786656,0.259090,7.519046,2.171031,2.134778,0.512446,-2.262414,0.630018,4.786857,0.481253,386.957952,20,8,12,32.246496,0.000000,1,ok_tminuit,0.015914,-0.035057,-0.035069,-0.035049,-0.035108,-0.035107,-0.018741,0.049862,-0.035057,0.082412,0.080424,0.080427,0.080402,0.080424,0.044755,-0.114193,-0.035069,0.080424,0.082473,0.080429,0.080407,0.080428,0.044723,-0.114209,-0.035049,0.080427,0.080429,0.082355,0.080406,0.080428,0.044780,-0.114195,-0.035108,0.080402,0.080407,0.080406,0.081592,0.080414,0.044575,-0.114224,-0.035107,0.080424,0.080428,0.080428,0.080414,0.082137,0.044640,-0.114233,-0.018741,0.044755,0.044723,0.044780,0.044575,0.044640,0.026783,-0.062943,0.049862,-0.114193,-0.114209,-0.114195,-0.114224,-0.114233,-0.062943,0.162427,done
C,b2,2,-1.000000,0.000000,-51.152670,0.126151,117.714141,0.287075,117.574947,0.287182,117.526991,0.286976,117.340388,0.285643,117.041383,0.286595,63.414978,0.163656,-163.244881,0.403022,-5.508780,1.793823,-17.574907,0.425560,15.571230,0.533306,6.298251,0.424734,-1.688915,0.783250,-16.779608,0.312500,15.225251,0.250905,8.128270,0.263511,3.819865,1.957366,0.795299,0.527975,-0.345979,0.589380,1.830019,0.499837,386.957952,20,8,12,32.246496,0.000000,1,ok_tminuit,0.015914,-0.035057,-0.035069,-0.035049,-0.035108,-0.035107,-0.018741,0.049862,-0.035057,0.082412,0.080424,0.080427,0.080402,0.080424,0.044755,-0.114193,-0.035069,0.080424,0.082473,0.080429,0.080407,0.080428,0.044723,-0.114209,-0.035049,0.080427,0.080429,0.082355,0.080406,0.080428,0.044780,-0.114195,-0.035108,0.080402,0.080407,0.080406,0.081592,0.080414,0.044575,-0.114224,-0.035107,0.080424,0.080428,0.080428,0.080414,0.082137,0.044640,-0.114233,-0.018741,0.044755,0.044723,0.044780,0.044575,0.044640,0.026783,-0.062943,0.049862,-0.114193,-0.114209,-0.114195,-0.114224,-0.114233,-0.062943,0.162427,done
C,b3,3,0.000000,1.000000,-51.152670,0.126151,117.714141,0.287075,117.574947,0.287182,117.526991,0.286976,117.340388,0.285643,117.041383,0.286595,63.414978,0.163656,-163.244881,0.403022,-2.893351,1.981422,-16.531793,0.410939,13.875484,0.537357,8.253782,0.392480,-1.174343,0.781272,-16.457821,0.305302,14.997458,0.244994,7.901437,0.255136,1.719008,2.129887,0.073972,0.511938,1.121974,0.590571,-0.352345,0.468119,386.957952,20,8,12,32.246496,0.000000,1,ok_tminuit,0.015914,-0.035057,-0.035069,-0.035049,-0.035108,-0.035107,-0.018741,0.049862,-0.035057,0.082412,0.080424,0.080427,0.080402,0.080424,0.044755,-0.114193,-0.035069,0.080424,0.082473,0.080429,0.080407,0.080428,0.044723,-0.114209,-0.035049,0.080427,0.080429,0.082355,0.080406,0.080428,0.044780,-0.114195,-0.035108,0.080402,0.080407,0.080406,0.081592,0.080414,0.044575,-0.114224,-0.035107,0.080424,0.080428,0.080428,0.080414,0.082137,0.044640,-0.114233,-0.018741,0.044755,0.044723,0.044780,0.044575,0.044640,0.026783,-0.062943,0.049862,-0.114193,-0.114209,-0.114195,-0.114224,-0.114233,-0.062943,0.162427,done
C,b4,4,1.000000,2.000000,-51.152670,0.126151,117.714141,0.287075,117.574947,0.287182,117.526991,0.286976,117.340388,0.285643,117.041383,0.286595,63.414978,0.163656,-163.244881,0.403022,1.426127,1.279315,-14.544433,0.300192,13.372353,0.458259,9.110069,0.376259,0.827904,0.700926,-15.205716,0.238719,14.111096,0.210042,7.018806,0.233887,-0.598223,1.458748,-0.661283,0.383539,0.738743,0.504102,-2.091263,0.443028,386.957952,20,8,12,32.246496,0.000000,1,ok_tminuit,0.015914,-0.035057,-0.035069,-0.035049,-0.035108,-0.035107,-0.018741,0.049862,-0.035057,0.082412,0.080424,0.080427,0.080402,0.080424,0.044755,-0.114193,-0.035069,0.080424,0.082473,0.080429,0.080407,0.080428,0.044723,-0.114209,-0.035049,0.080427,0.080429,0.082355,0.080406,0.080428,0.044780,-0.114195,-0.035108,0.080402,0.080407,0.080406,0.081592,0.080414,0.044575,-0.114224,-0.035107,0.080424,0.080428,0.080428,0.080414,0.082137,0.044640,-0.114233,-0.018741,0.044755,0.044723,0.044780,0.044575,0.044640,0.026783,-0.062943,0.049862,-0.114193,-0.114209,-0.114195,-0.114224,-0.114233,-0.062943,0.162427,done
C,b5,5,2.000000,3.000000,-51.152670,0.126151,117.714141,0.287075,117.574947,0.287182,117.526991,0.286976,117.340388,0.285643,117.041383,0.286595,63.414978,0.163656,-163.244881,0.403022,9.532190,1.333014,-11.521913,0.403632,12.580698,0.442116,9.452929,0.416462,4.036230,0.744845,-13.199392,0.284598,12.690821,0.236579,5.604511,0.252984,-5.495960,1.526997,-1.677479,0.493877,0.110123,0.501434,-3.848418,0.487280,386.957952,20,8,12,32.246496,0.000000,1,ok_tminuit,0.015914,-0.035057,-0.035069,-0.035049,-0.035108,-0.035107,-0.018741,0.049862,-0.035057,0.082412,0.080424,0.080427,0.080402,0.080424,0.044755,-0.114193,-0.035069,0.080424,0.082473,0.080429,0.080407,0.080428,0.044723,-0.114209,-0.035049,0.080427,0.080429,0.082355,0.080406,0.080428,0.044780,-0.114195,-0.035108,0.080402,0.080407,0.080406,0.081592,0.080414,0.044575,-0.114224,-0.035107,0.080424,0.080428,0.080428,0.080414,0.082137,0.044640,-0.114233,-0.018741,0.044755,0.044723,0.044780,0.044575,0.044640,0.026783,-0.062943,0.049862,-0.114193,-0.114209,-0.114195,-0.114224,-0.114233,-0.062943,0.162427,done
E,b1,1,-2.000000,-1.000000,-14.651717,0.130678,34.406770,0.297687,34.374554,0.296425,34.444251,0.296024,34.236277,0.296427,34.120745,0.295905,17.899079,0.169055,-44.736852,0.416876,-0.478528,2.680015,-20.004601,0.440300,20.137676,0.656922,4.605024,0.522648,-8.312848,0.867340,-19.264115,0.348594,17.550520,0.275662,7.053797,0.292164,-7.834320,2.816870,0.740486,0.561589,-2.587156,0.712416,2.448773,0.598766,307.217600,20,8,12,25.601467,0.000000,1,ok_tminuit,0.017077,-0.037479,-0.037484,-0.037512,-0.037559,-0.037588,-0.020002,0.053330,-0.037479,0.088618,0.086019,0.086002,0.086003,0.086002,0.047770,-0.122194,-0.037484,0.086019,0.087868,0.086015,0.086021,0.086020,0.047847,-0.122183,-0.037512,0.086002,0.086015,0.087630,0.086004,0.086004,0.047755,-0.122179,-0.037559,0.086003,0.086021,0.086004,0.087869,0.086019,0.047793,-0.122152,-0.037588,0.086002,0.086020,0.086004,0.086019,0.087559,0.047748,-0.122158,-0.020002,0.047770,0.047847,0.047755,0.047793,0.047748,0.028579,-0.067333,0.053330,-0.122194,-0.122183,-0.122179,-0.122152,-0.122158,-0.067333,0.173785,done
E,b2,2,-1.000000,0.000000,-14.651717,0.130678,34.406770,0.297687,34.374554,0.296425,34.444251,0.296024,34.236277,0.296427,34.120745,0.295905,17.899079,0.169055,-44.736852,0.416876,-16.132075,1.865682,-19.884042,0.403566,18.799734,0.493724,4.011802,0.396496,-7.967169,0.814273,-19.047944,0.297515,17.397493,0.244671,6.901415,0.254629,8.164906,2.035635,0.836098,0.501379,-1.402241,0.551024,2.889613,0.471217,307.217600,20,8,12,25.601467,0.000000,1,ok_tminuit,0.017077,-0.037479,-0.037484,-0.037512,-0.037559,-0.037588,-0.020002,0.053330,-0.037479,0.088618,0.086019,0.086002,0.086003,0.086002,0.047770,-0.122194,-0.037484,0.086019,0.087868,0.086015,0.086021,0.086020,0.047847,-0.122183,-0.037512,0.086002,0.086015,0.087630,0.086004,0.086004,0.047755,-0.122179,-0.037559,0.086003,0.086021,0.086004,0.087869,0.086019,0.047793,-0.122152,-0.037588,0.086002,0.086020,0.086004,0.086019,0.087559,0.047748,-0.122158,-0.020002,0.047770,0.047847,0.047755,0.047793,0.047748,0.028579,-0.067333,0.053330,-0.122194,-0.122183,-0.122179,-0.122152,-0.122158,-0.067333,0.173785,done
E,b3,3,0.000000,1.000000,-14.651717,0.130678,34.406770,0.297687,34.374554,0.296425,34.444251,0.296024,34.236277,0.296427,34.120745,0.295905,17.899079,0.169055,-44.736852,0.416876,-14.713780,1.839984,-20.175817,0.350041,16.861644,0.564738,5.796717,0.400701,-8.715023,0.788126,-19.515615,0.279354,17.728556,0.236429,7.231084,0.249927,5.998757,2.001670,0.660202,0.447848,0.866912,0.612232,1.434367,0.472255,307.217600,20,8,12,25.601467,0.000000,1,ok_tminuit,0.017077,-0.037479,-0.037484,-0.037512,-0.037559,-0.037588,-0.020002,0.053330,-0.037479,0.088618,0.086019,0.086002,0.086003,0.086002,0.047770,-0.122194,-0.037484,0.086019,0.087868,0.086015,0.086021,0.086020,0.047847,-0.122183,-0.037512,0.086002,0.086015,0.087630,0.086004,0.086004,0.047755,-0.122179,-0.037559,0.086003,0.086021,0.086004,0.087869,0.086019,0.047793,-0.122152,-0.037588,0.086002,0.086020,0.086004,0.086019,0.087559,0.047748,-0.122158,-0.020002,0.047770,0.047847,0.047755,0.047793,0.047748,0.028579,-0.067333,0.053330,-0.122194,-0.122183,-0.122179,-0.122152,-0.122158,-0.067333,0.173785,done
E,b4,4,1.000000,2.000000,-14.651717,0.130678,34.406770,0.297687,34.374554,0.296425,34.444251,0.296024,34.236277,0.296427,34.120745,0.295905,17.899079,0.169055,-44.736852,0.416876,-5.637769,1.549246,-17.487694,0.402975,15.271881,0.598459,7.794469,0.384912,-6.483457,0.789700,-18.120105,0.300885,16.740677,0.254296,6.247364,0.252968,-0.845688,1.738905,-0.632411,0.502912,1.468796,0.650246,-1.547105,0.460598,307.217600,20,8,12,25.601467,0.000000,1,ok_tminuit,0.017077,-0.037479,-0.037484,-0.037512,-0.037559,-0.037588,-0.020002,0.053330,-0.037479,0.088618,0.086019,0.086002,0.086003,0.086002,0.047770,-0.122194,-0.037484,0.086019,0.087868,0.086015,0.086021,0.086020,0.047847,-0.122183,-0.037512,0.086002,0.086015,0.087630,0.086004,0.086004,0.047755,-0.122179,-0.037559,0.086003,0.086021,0.086004,0.087869,0.086019,0.047793,-0.122152,-0.037588,0.086002,0.086020,0.086004,0.086019,0.087559,0.047748,-0.122158,-0.020002,0.047770,0.047847,0.047755,0.047793,0.047748,0.028579,-0.067333,0.053330,-0.122194,-0.122183,-0.122179,-0.122152,-0.122158,-0.067333,0.173785,done
E,b5,5,2.000000,3.000000,-14.651717,0.130678,34.406770,0.297687,34.374554,0.296425,34.444251,0.296024,34.236277,0.296427,34.120745,0.295905,17.899079,0.169055,-44.736852,0.416876,-0.875105,1.278071,-15.893454,0.372737,14.805626,0.530365,9.021082,0.358480,-5.243799,0.756847,-17.344886,0.276025,16.191900,0.242240,5.700898,0.240442,-4.368694,1.485356,-1.451432,0.463813,1.386274,0.583067,-3.320184,0.431648,307.217600,20,8,12,25.601467,0.000000,1,ok_tminuit,0.017077,-0.037479,-0.037484,-0.037512,-0.037559,-0.037588,-0.020002,0.053330,-0.037479,0.088618,0.086019,0.086002,0.086003,0.086002,0.047770,-0.122194,-0.037484,0.086019,0.087868,0.086015,0.086021,0.086020,0.047847,-0.122183,-0.037512,0.086002,0.086015,0.087630,0.086004,0.086004,0.047755,-0.122179,-0.037559,0.086003,0.086021,0.086004,0.087869,0.086019,0.047793,-0.122152,-0.037588,0.086002,0.086020,0.086004,0.086019,0.087559,0.047748,-0.122158,-0.020002,0.047770,0.047847,0.047755,0.047793,0.047748,0.028579,-0.067333,0.053330,-0.122194,-0.122183,-0.122179,-0.122152,-0.122158,-0.067333,0.173785,done
